"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:32:02::"	"and"	"him"	"year-old"	"to"	"year-old_and"	"and_him"	"him_to"	"-_year-old_and"	"year-old_and_him"	"and_him_to"	"him_to_run"	"ε"	"JJ"	"CC"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"like"	"hand"	"a"	"loaded"	"automatic"	"an"	"year-old"	"and"	"tell"	"him"	"to"	"run"	"out"	"and"	"play"	"he"	"comment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"buchheister"	"delegates"	"∅"	"to"	"∅_buchheister"	"buchheister_delegates"	"delegates_to"	"∅_∅_buchheister"	"∅_buchheister_delegates"	"buchheister_delegates_to"	"delegates_to_the"	"ε"	"ε"	"NNP"	"VB"	"NNS"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tell"	"delegates"	"to"	"the"	"west_coast_audubon_convention"	"that"	"aerial"	"spraying"	"in"	"louisiana"	"fail"	"to"	"destroy"	"its"	"target"	"the"	"fire_ant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"buchheister"	"the"	","	"delegates"	",_buchheister"	"buchheister_the"	"the_delegates"	"''_,_buchheister"	",_buchheister_the"	"buchheister_the_delegates"	"the_delegates_."	"ε"	"ε"	"NNP"	"VB"	"DT"	"NNS"	"ε"	"of"	"their"	"experiments"	"reach"	"the"	"farmers"	"who"	"forget"	"that"	"birds"	"be"	"the_most"	"efficient"	"natural"	"enemies"	"of"	"insects"	"and"	"rodents"	"are"	"encourage"	"to"	"try"	"to"	"get_rid_of"	"all"	"birds"	"that"	"occasionally"	"peck"	"their"	"grapes"	"or"	"their"	"blueberries"	"buchheister"	"tell"	"delegates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"had"	"the"	"he"	"jury"	"he_had"	"had_the"	"the_jury"	"say_he_had"	"he_had_the"	"had_the_jury"	"the_jury_that"	"VB"	"PRP"	"VBD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lee"	"he"	"had"	"tell"	"the"	"jury"	"that"	"he"	"make"	"an"	"agreement"	"in"	"april"	"with"	"stein"	"to"	"supply"	"and"	"supervise"	"janitors"	"in"	"mccormick_place"	"0"	"0"	"0"	
"2:32:04::"	"huff"	"gregorio"	"∅"	"that"	"∅_huff"	"huff_gregorio"	"gregorio_that"	"∅_∅_huff"	"∅_huff_gregorio"	"huff_gregorio_that"	"gregorio_that_he"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tell"	"gregorio"	"that"	"he"	"take"	"the"	"money"	"to"	"pay"	"the"	"ordinary"	"bills"	"and"	"expenses"	"of"	"suburban"	"living"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"he"	"his"	","	"parishioners"	",_he"	"he_his"	"his_parishioners"	"day_,_he"	",_he_his"	"he_his_parishioners"	"his_parishioners_,"	"NN"	"ε"	"PRP"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"so"	"the"	"young"	"minister"	"resign"	"to"	"go"	"and"	"study"	"pray"	"having"	"never"	"pass"	"a"	"day"	"he"	"tell"	"his"	"parishioners"	"when"	"i"	"did"	"not"	"gain"	"from"	"you"	"far"	"more_than"	"i"	"ever"	"give"	"to"	"you"	
"2:32:04::"	"to"	"him"	"first"	"what"	"first_to"	"to_him"	"him_what"	"the_first_to"	"first_to_him"	"to_him_what"	"him_what_be"	"VB"	"JJ"	"TO"	"VB"	"PRP"	"WP"	"VB"	"0"	"0"	"0"	"yet"	"we"	"who"	"lean"	"upon"	"such"	"a"	"man"	"and"	"draw"	"strength"	"from"	"him"	"and"	"expect"	"interpretation"	"of"	"the"	"infinite"	"through"	"him"	"we"	"who"	"readily"	"accept"	"his"	"sacrifice"	"as"	"our"	"due"	"of"	"the"	"congregations"	"be"	"first"	"to"	"tell"	"him"	"what"	"be"	"in"	"our"	"minds"	"instead"	"of"	"listen"	"to"	"what"	"be"	"in"	"his"	"soul"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"the"	"us"	"story"	"us_to"	"to_the"	"the_story"	"enable_us_to"	"us_to_the"	"to_the_story"	"the_story_over_and_over_again"	"VB"	"PRP"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"this"	"near"	"tragedy"	"which"	"to"	"border_on"	"comedy"	"enable"	"us"	"to"	"tell"	"the"	"story"	"over_and_over_again"	"always"	"warm"	"ourselves"	"with"	"a"	"glow"	"of"	"complacency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"without"	"over_and_over_again"	"at_all"	"what"	"at_all_without"	"without_over_and_over_again"	"over_and_over_again_what"	"talk_at_all_without"	"at_all_without_over_and_over_again"	"without_over_and_over_again_what"	"over_and_over_again_what_sort_of"	"VB"	"RB"	"IN"	"VB"	"RB"	"WP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"joint"	"investigations"	"of"	"linguistics"	"and"	"psychiatry"	"have"	"establish"	"in_point_of_fact"	"that"	"no_matter"	"the"	"subject"	"of"	"conversation"	"be"	"or"	"what"	"words"	"are_involved"	"it"	"impossible"	"for"	"people"	"to"	"talk"	"at_all"	"without"	"tell"	"over_and_over_again"	"what"	"sort_of"	"people"	"they"	"be"	"and_how"	"they"	"relate"	"to"	"the"	"rest"	"of"	"the"	"world"	"0"	
"2:32:04::"	"she"	"me"	"``"	"he"	"``_she"	"she_me"	"me_he"	"∅_``_she"	"``_she_me"	"she_me_he"	"me_he_be"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tell"	"me"	"he"	"be"	"in"	"germany"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
