"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:41:00::"	"he"	"a"	"that"	"wide"	"that_he"	"he_a"	"a_wide"	"reporters_that_he"	"that_he_a"	"he_a_wide"	"a_wide_acquaintance"	"NNS"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"he"	"testify"	"for"	"minutes"	"stein"	"who"	"live"	"at"	"admit"	"to"	"reporters"	"that"	"he"	"have"	"a"	"wide"	"acquaintance"	"with"	"crime"	"syndicate"	"hoodlums"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:04::"	"pesce"	"offices"	"by"	"in"	"by_pesce"	"pesce_offices"	"offices_in"	"run_by_pesce"	"by_pesce_offices"	"pesce_offices_in"	"offices_in_the"	"VB"	"VB"	"NNP"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"deodorant"	"run"	"by"	"pesce"	"have"	"offices"	"in"	"the"	"headquarters"	"of"	"glimco"	"discredited"	"taxi"	"drivers"	"union"	"at"	"blue_island"	"av."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"i"	"advice"	"if"	"and"	"if_i"	"i_advice"	"advice_and"	"ask_if_i"	"if_i_advice"	"i_advice_and"	"advice_and_,"	"VB"	"IN"	"PRP"	"VB"	"NN"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"if"	"i"	"have"	"advice"	"and"	"heady"	"with_success"	"i"	"rush"	"it"	"in"	"i"	"hope"	"not"	"too"	"late"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"i"	"with"	"talk"	"another"	"talk_i"	"i_with"	"with_another"	"recent_talk_i"	"talk_i_with"	"i_with_another"	"with_another_minister"	"JJ"	"NN"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"very"	"honest"	"act"	"the"	"recent"	"talk"	"i"	"have"	"with"	"another"	"minister"	"a"	"modest"	"methodist"	"who"	"say"	"i"	"feel"	"so"	"deeply"	"blessed"	"by"	"god"	"when"	"i"	"can"	"give"	"a"	"message"	"of"	"love"	"and"	"comfort"	"to"	"men"	"and"	"i"	"would"	"have"	"it"	"no"	"way"	"and"	"it"	"be"	"unworthy"	"to"	"think_of"	"self"	
"2:40:00::"	"so"	"no"	"and"	"need"	"and_so"	"so_no"	"no_need"	"creation_and_so"	"and_so_no"	"so_no_need"	"no_need_of"	"NN"	"CC"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"an"	"ancient"	"and"	"venerable"	"tradition"	"in"	"the"	"church"	"which"	"derive"	"however"	"from"	"the"	"heritage"	"of"	"the"	"greek"	"than"	"from"	"the"	"bible"	"that"	"god"	"be"	"completely"	"independent"	"of"	"his"	"creation"	"and"	"so"	"have"	"no"	"need"	"of"	"man"	"for"	"accomplish"	"his"	"work"	"in"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"fraternity"	"a"	"any"	"constitutional"	"any_fraternity"	"fraternity_a"	"a_constitutional"	"that_any_fraternity"	"any_fraternity_a"	"fraternity_a_constitutional"	"a_constitutional_right"	"IN"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"as"	"an"	"encouragement"	"to"	"revisionist"	"thinking"	"it"	"be"	"fair"	"to"	"admit"	"that"	"any"	"fraternity"	"have"	"a"	"constitutional"	"right"	"to"	"refuse"	"to"	"accept"	"persons"	"it"	"dislike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"they"	"no"	"for"	"redeeming"	"for_they"	"they_no"	"no_redeeming"	",_for_they"	"for_they_no"	"they_no_redeeming"	"no_redeeming_features"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interfaith"	"conflicts"	"which"	"spring"	"from"	"psychological"	"deficiencies"	"the_most"	"unfortunate"	"of"	"all"	"for"	"they"	"have"	"no"	"redeeming"	"features"	"whatsoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"you"	"the"	"if"	"recorded"	"if_you"	"you_the"	"the_recorded"	"-_if_you"	"if_you_the"	"you_the_recorded"	"the_recorded_transcript"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"way"	"macarthur"	"say"	"line"	"if"	"you"	"have"	"the"	"recorded"	"transcript"	"of"	"a"	"professional"	"linguist"	"would"	"probably"	"have"	"go"	"like"	"this"	"primary"	"stresses"	"on"	"emeralds"	"and"	"wish"	"note"	"pitch"	"pretty"	"high"	"on"	"emeralds"	"but"	"with"	"a"	"slight"	"degree"	"of"	"drawl"	"one"	"degree"	"of"	"oversoftness"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"we"	"the"	"whether"	"resource"	"whether_we"	"we_the"	"the_resource"	"remain_whether_we"	"whether_we_the"	"we_the_resource"	"the_resource_for"	"VB"	"IN"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"much"	"having"	"been"	"say"	"question"	"remain"	"whether"	"we"	"have"	"the"	"resource"	"for"	"the"	"job"	"we"	"have"	"to"	"do"	"defeat"	"communism"	"and"	"if"	"so"	"how"	"those"	"resource"	"ought"	"to"	"be"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"who"	"doubt"	"americans"	","	"americans_who"	"who_doubt"	"doubt_,"	"those_americans_who"	"americans_who_doubt"	"who_doubt_,"	"doubt_,_and"	"DT"	"NNP"	"WP"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"often"	"search"	"for"	"a"	"graphic"	"of"	"impress"	"our"	"superiority"	"on"	"those"	"americans"	"who"	"have"	"doubt"	"and"	"i"	"think"	"person"	"has"	"do"	"it"	"well"	"in"	"his"	"new"	"book"	"american_might_and_soviet_myth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
