"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:41:00::"	"they"	"in_concert"	"if"	"to"	"if_they"	"they_in_concert"	"in_concert_to"	"that_if_they"	"if_they_in_concert"	"they_in_concert_to"	"in_concert_to_eliminate"	"IN"	"IN"	"PRP"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paradoxically"	"the"	"same"	"week"	"in_which"	"senator_mcclellan"	"was"	"attempt"	"to"	"extend"	"anti-trust"	"act"	"to"	"labor"	"in"	"transportation"	"the"	"civil_aeronautics_board"	"assure"	"the"	"airlines"	"that"	"if"	"they"	"meet"	"in_concert"	"to"	"eliminate"	"many"	"costly"	"features"	"of"	"air_travel"	"the"	"action"	"would"	"not"	"be"	"deem"	"a"	"violation"	"of"	"the"	"anti-trust"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"to"	"one"	"them"	"or"	"them_to"	"to_one"	"one_or"	"wish_them_to"	"them_to_one"	"to_one_or"	"one_or_a_few"	"VB"	"PRP"	"TO"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"occasion"	"on"	"which"	"everyone"	"already"	"everyone"	"else"	"and"	"the"	"host"	"wish"	"them"	"to"	"meet"	"one"	"or"	"a_few"	"honored"	"newcomer"	"then"	"the"	"open_house"	"system"	"be"	"advantageous"	"because"	"the"	"honored"	"guest"	"be"	"fixed"	"connective"	"point"	"and"	"the"	"drifting"	"guest"	"make"	"and"	"break"	"connection"	"at"	"the"	"door"	
"2:42:02::"	"can"	"its"	","	"image"	",_can"	"can_its"	"its_image"	"l_,_can"	",_can_its"	"can_its_image"	"its_image_except"	"NN"	"ε"	"MD"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"observe"	"first"	"that"	"line"	"l"	"can"	"meet"	"its"	"image"	"except"	"at"	"one"	"of"	"its"	"intersections"	"with"	"q"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"these"	"q"	"of"	"in"	"of_these"	"these_q"	"q_in"	"each_of_these"	"of_these_q"	"these_q_in"	"q_in_two"	"DT"	"IN"	"DT"	"VB"	"NN"	"RB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"invariant"	"lines"	"be"	"the"	"lines"	"of"	"the"	"congruence"	"secants"	"of"	"g"	"since"	"each"	"of"	"these"	"meet"	"q"	"in"	"two"	"points"	"which"	"be"	"invariant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	","	"the"	"q"	"image"	"q_,"	",_the"	"the_image"	"on_q_,"	"q_,_the"	",_the_image"	"the_image_of"	"IN"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"conic"	"c"	"be"	"a"	"curve"	"on"	"meet"	"the"	"image"	"of"	"any"	"line"	"of"	"f"	"which"	"we"	"have"	"already"	"find"	"to"	"be"	"a"	"f"	"curve"	"on"	"q"	"in"	"f"	"points"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"which"	"a"	"lines"	"twisted"	"lines_which"	"which_a"	"a_twisted"	"the_lines_which"	"lines_which_a"	"which_a_twisted"	"a_twisted_curve"	"DT"	"NNS"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"observations"	"make"	"it"	"clear"	"that"	"there"	"exist"	"line"	"involutions"	"of"	"all"	"orders"	"greater"	"than"	"with"	"no"	"complex"	"of"	"invariant"	"lines"	"and"	"with"	"a"	"complex"	"of"	"singular"	"lines"	"consist_of"	"exclusively"	"of"	"the"	"lines"	"a"	"twisted"	"curve"	"g"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"which"	"\"	"line"	"g"	"line_which"	"which_\"	"\_g"	"every_line_which"	"line_which_\"	"which_\_g"	"\_g_in"	"DT"	"NN"	"WDT"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"do"	"this"	"we"	"must"	"show"	"that"	"every"	"line"	"which"	"meet"	"g"	"in"	"a"	"point"	"p"	"meet"	"its"	"image"	"at"	"p"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"p"	"its"	"point"	"image"	"point_p"	"p_its"	"its_image"	"a_point_p"	"point_p_its"	"p_its_image"	"its_image_at"	"DT"	"NN"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"do"	"this"	"we"	"must"	"first"	"show"	"that"	"line"	"which"	"meet"	"g"	"in"	"a"	"point"	"p"	"meet"	"its"	"image"	"at"	"p"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"which"	"\"	"lines"	"g"	"lines_which"	"which_\"	"\_g"	"the_lines_which"	"lines_which_\"	"which_\_g"	"\_g_."	"DT"	"NNS"	"WDT"	"VB"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"now"	"observe"	"that"	"the"	"case"	"in_which"	"g"	"be"	"a"	"f"	"curve"	"on"	"a"	"quadric"	"be"	"impossible"	"if"	"complex"	"of"	"singular"	"lines"	"consist_of"	"exclusively"	"the"	"lines"	"which"	"meet"	"g"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	","	"q"	"l"	"in"	"l_,"	",_q"	"q_in"	",_l_,"	"l_,_q"	",_q_in"	"q_in_two"	"ε"	"NN"	"ε"	"VB"	"NN"	"RB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"consider"	"an"	"line"	"l"	"meet"	"q"	"in"	"two"	"points"	"f"	"and"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
