"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:41:00::"	"to"	"in_case"	"where"	"of"	"where_to"	"to_in_case"	"in_case_of"	"or_where_to"	"where_to_in_case"	"to_in_case_of"	"in_case_of_an"	"CC"	"WRB"	"TO"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._hawksley"	"say"	"he"	"be"	"not"	"critical"	"of"	"city"	"for"	"not"	"know"	"what"	"to"	"do"	"or"	"where"	"to"	"assemble"	"in_case"	"of"	"an"	"air_attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"jar"	"∅"	","	"∅_to"	"to_jar"	"jar_,"	"∅_∅_to"	"∅_to_jar"	"to_jar_,"	"jar_,_put"	"ε"	"ε"	"TO"	"VB"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"jar"	"put"	"paper"	"pattern"	"b"	"for"	"base"	"in"	"bottom"	"of"	"mold"	"and"	"clay"	"disk"	"b"	"on"	"top"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"lid"	"∅"	","	"∅_to"	"to_lid"	"lid_,"	"∅_∅_to"	"∅_to_lid"	"to_lid_,"	"lid_,_press"	"ε"	"ε"	"TO"	"VB"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"lid"	"press"	"clay"	"piece"	"c"	"in"	"cavity"	"of"	"wooden"	"design"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"eugene_lester"	"a"	"∅"	"witty"	"∅_eugene_lester"	"eugene_lester_a"	"a_witty"	"∅_∅_eugene_lester"	"∅_eugene_lester_a"	"eugene_lester_a_witty"	"a_witty_and"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"a"	"witty"	"and"	"explicit"	"score"	"for"	"an"	"american_journey"	"and"	"malcolm_mccormick"	"give"	"it"	"sprightly"	"imaginative"	"costumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"ever"	"together"	"manufacturer"	"at_one_time"	"manufacturer_ever"	"ever_together"	"together_at_one_time"	"one_manufacturer_ever"	"manufacturer_ever_together"	"ever_together_at_one_time"	"together_at_one_time_."	"CD"	"NN"	"RB"	"VB"	"RB"	"RB"	"ε"	"collection"	"to"	"be"	"show"	"by"	"sanger-harris"	"and"	"anderson"	"studio"	"have"	"perhaps"	"more"	"different"	"types"	"of"	"woods"	"and"	"decorations"	"than"	"any"	"manufacturer"	"ever"	"together"	"at_one_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"quietly"	"in"	"been"	"a_thousand"	"been_quietly"	"quietly_in"	"in_a_thousand"	"have_been_quietly"	"been_quietly_in"	"quietly_in_a_thousand"	"in_a_thousand_district"	"VBP"	"VBN"	"RB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"california_democrats"	"weekend"	"will"	"take_off"	"the"	"wraps"	"off"	"a"	"model"	"campaign"	"vehicle"	"which"	"they"	"have"	"been"	"quietly"	"assemble"	"in"	"a_thousand"	"district"	"headquarters"	"party"	"clubrooms"	"and"	"workers"	"backyards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"congress"	","	"in"	"that"	"in_congress"	"congress_,"	",_that"	"united_states_of_america_in_congress"	"in_congress_,"	"congress_,_that"	",_that_the"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"act"	"of"	"july"	"stat."	"as"	"amend"	"u._s._c."	"is"	"further"	"amend"	"to"	"read"	"as_follows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"∅"	"and"	"∅"	"maintain"	"∅_∅"	"∅_and"	"and_maintain"	"∅_∅_∅"	"∅_∅_and"	"∅_and_maintain"	"and_maintain_pertinent"	"ε"	"ε"	"ε"	"VB"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"maintain"	"pertinent"	"and"	"current"	"scientific"	"literature"	"both"	"domestic"	"and"	"foreign"	"and"	"issue"	"bibliographical"	"data"	"with_respect_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"congress"	","	"in"	"that"	"in_congress"	"congress_,"	",_that"	"united_states_of_america_in_congress"	"in_congress_,"	"congress_,_that"	",_that_the"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"make"	"or"	"cause"	"to"	"be"	"make"	"a"	"study"	"cover"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"congress"	","	"in"	"that"	"in_congress"	"congress_,"	",_that"	"united_states_of_america_in_congress"	"in_congress_,"	"congress_,_that"	",_that_the"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"establish"	"and"	"maintain"	"a"	"program"	"of"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"and"	"zinc"	"ore"	"and"	"concentrate"	"in_order"	"to"	"stabilize"	"the"	"mining"	"of"	"lead"	"and"	"zinc"	"by"	"small"	"domestic"	"producer"	"on"	"public"	"indian"	"and"	"land"	"as"	"provide"	"in_this"	"act"	
