"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:35:00::"	"to"	"a"	"continue"	"larger"	"continue_to"	"to_a"	"a_larger"	"compacts_continue_to"	"continue_to_a"	"to_a_larger"	"a_larger_share"	"NNS"	"VB"	"TO"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"local"	"compacts"	"continue"	"to"	"grab"	"a"	"larger"	"share"	"of"	"the"	"market"	"at"	"the"	"expense"	"of"	"lower-priced"	"standard"	"models"	"and"	"foreign"	"cars"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"``"	"another"	","	"drink"	",_``"	"``_another"	"another_drink"	"briskly_,_``"	",_``_another"	"``_another_drink"	"another_drink_if"	"RB"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"say"	"grab"	"another"	"drink"	"if"	"you"	"want"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"'ll"	"horses"	"we"	"''"	"we_'ll"	"'ll_horses"	"horses_''"	"``_we_'ll"	"we_'ll_horses"	"'ll_horses_''"	"horses_''_,"	"ε"	"PRP"	"MD"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"horses"	"dean"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"a_bit"	","	"of"	",_and"	"and_a_bit"	"a_bit_of"	"refuel_,_and"	",_and_a_bit"	"and_a_bit_of"	"a_bit_of_mrs._fogg"	"VB"	"ε"	"CC"	"VB"	"RB"	"IN"	"NNP"	"0"	"usually"	"back"	"in"	"concord"	"by"	"noon"	"there"	"be"	"just"	"time"	"to"	"get"	"partially"	"thawed"	"out"	"refuel"	"grab"	"a_bit"	"of"	"mrs._fogg"	"hot"	"broth"	"before"	"start"	"the"	"second"	"trip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"upon"	"power"	"promise"	","	"promise_upon"	"upon_power"	"power_,"	"khrushchev_promise_upon"	"promise_upon_power"	"upon_power_,"	"power_,_and"	"NNP"	"VB"	"IN"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"be"	"to"	"speed_up"	"domestic"	"production"	"the"	"ussr"	"which"	"khrushchev"	"promise"	"upon"	"grab"	"power"	"and"	"try"	"to"	"end"	"the"	"permanent"	"recession"	"in"	"russian"	"living"	"standards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"had"	"for"	"he"	"her"	"he_had"	"had_for"	"for_her"	"that_he_had"	"he_had_for"	"had_for_her"	"for_her_."	"IN"	"PRP"	"VBD"	"VB"	"IN"	"PRP$"	"ε"	"in"	"the"	"kitchen"	"as"	"she"	"was"	"watch"	"the"	"kettle"	"wait"	"for"	"the"	"water"	"to"	"boil"	"he"	"had"	"for"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"person"	"door"	"by"	"door_,"	",_person"	"person_by"	"the_door_,"	"door_,_person"	",_person_by"	"person_by_the"	"DT"	"NN"	"ε"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"open"	"door"	"grab"	"person"	"by"	"the"	"shoulder"	"and"	"pull"	"him"	"into"	"the"	"barn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"him"	"∅"	"by"	"∅_person"	"person_him"	"him_by"	"∅_∅_person"	"∅_person_him"	"person_him_by"	"him_by_the"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grab"	"him"	"by"	"the"	"shoulder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"the"	"try"	"wheel"	"try_to"	"to_the"	"the_wheel"	"was_try_to"	"try_to_the"	"to_the_wheel"	"the_wheel_,"	"VBD"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"try"	"to"	"grab"	"the"	"wheel"	"though"	"the"	"swerve"	"of"	"the"	"truck"	"was"	"throw"	"him"	"away"	"from_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"my"	"but"	"arm"	"but_person"	"person_my"	"my_arm"	",_but_person"	"but_person_my"	"person_my_arm"	"my_arm_in"	"ε"	"CC"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"have"	"stand"	"there"	"and"	"die"	"if"	"leave"	"to"	"myself"	"but"	"person"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"and_then"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	
