"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:31:00::"	"tax_court"	"."	"the"	"∅"	"the_tax_court"	"tax_court_."	"._∅"	",_the_tax_court"	"the_tax_court_."	"tax_court_._∅"	"._∅_∅"	"ε"	"DT"	"NNP"	"VB"	"ε"	"ε"	"ε"	"of"	"a"	"public_relations"	"firm"	"owe"	"no"	"income_tax"	"on"	"payments"	"he"	"receive"	"from"	"a"	"client"	"company"	"and"	"kick_back"	"to"	"the"	"company"	"advertising"	"manager"	"the"	"tax_court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"taxable"	"could"	"to"	"could_be"	"be_taxable"	"taxable_to"	"employes_could_be"	"could_be_taxable"	"be_taxable_to"	"taxable_to_them"	"NNS"	"MD"	"VB"	"VB"	"JJ"	"TO"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"possible"	"upshots"	"the"	"company"	"could"	"be"	"deny"	"a"	"deduction"	"for"	"its"	"pension"	"payments"	"or"	"those"	"payments"	"for"	"the"	"and"	"employes"	"could"	"be"	"rule"	"taxable"	"to"	"them"	"in"	"the"	"year"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"over"	"choose"	"the"	"choose_to"	"to_over"	"over_the"	"was_choose_to"	"choose_to_over"	"to_over_the"	"over_the_festivities"	"VBD"	"VB"	"TO"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"achaeans"	"entertain"	"wednesday"	"last"	"at"	"annual"	"carnival"	"masquerade_ball"	"miss_margaret_pierson"	"was"	"choose"	"to"	"rule"	"over"	"the"	"festivities"	"present"	"at"	"the"	"muncipal_auditorium"	"and"	"choose"	"as"	"her"	"ladies"	"in"	"waiting"	"be"	"misses"	"clayton_nairne"	"eleanor_eustis"	"lynn_chapman"	"irwin_leatherman"	"of"	"robinsonville"	"miss."	"and"	"helene_rowley"	
"2:41:00::"	"has"	"turkey"	"which"	"since"	"which_has"	"has_turkey"	"turkey_since"	"junta_which_has"	"which_has_turkey"	"has_turkey_since"	"turkey_since_the"	"NN"	"WDT"	"VBZ"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bypass"	"the"	"junta"	"which"	"has"	"rule"	"turkey"	"since"	"the"	"overthrow"	"of"	"premier_adnan_menderes"	"months"	"ago"	"the"	"army"	"general_staff"	"lead"	"by"	"gen._cedvet_sunay"	"had"	"set"	"a"	"deadline"	"for"	"the"	"parties"	"to"	"join"	"in"	"a"	"national"	"coalition"	"government"	"0"	
"2:41:00::"	"who"	"the"	"him"	"thunder"	"him_who"	"who_the"	"the_thunder"	"but_him_who"	"him_who_the"	"who_the_thunder"	"the_thunder_put"	"CC"	"PRP"	"WP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"none"	"him"	"who"	"rule"	"the"	"thunder"	"put"	"this"	"man"	"and"	"woman"	"asunder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"had"	"previously"	"who"	"that"	"who_had"	"had_previously"	"previously_that"	",_who_had"	"who_had_previously"	"had_previously_that"	"previously_that_the"	"ε"	"WP"	"VBD"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"its"	"ruling"	"the"	"state"	"board_of_education"	"uphold"	"dr._michael_f._walsh"	"commissioner"	"of"	"education"	"who"	"had"	"rule"	"previously"	"that"	"the"	"warwick"	"board"	"err"	"when"	"it"	"name"	"maurice_f._tougas"	"as"	"coordinator"	"of"	"audio-visual"	"education"	"without"	"first"	"find"	"that"	"the"	"school_superintendent"	"candidate"	"be"	"not"	"suitable"	"0"	"0"	
"2:41:00::"	"had"	"here"	"government"	"in"	"government_had"	"had_here"	"here_in"	"successive_government_had"	"government_had_here"	"had_here_in"	"here_in_three"	"JJ"	"NN"	"VBD"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"damage"	"had"	"do"	"in"	"the"	"battle"	"of"	"vientiane"	"fight"	"less_than"	"month"	"earlier"	"when"	"four"	"successive"	"government"	"had"	"rule"	"here"	"in"	"three"	"day"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"housekeeping"	"should"	"the"	"be"	"the_housekeeping"	"housekeeping_should"	"should_be"	",_the_housekeeping"	"the_housekeeping_should"	"housekeeping_should_be"	"should_be_spell_out"	"ε"	"DT"	"NN"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"family"	"has"	"settle"	"the"	"shelter"	"the"	"housekeeping"	"rule"	"should"	"be"	"spell_out"	"by"	"the"	"adult"	"in"	"charge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"∅"	"economic"	"∅_the"	"the_of"	"of_economic"	"∅_∅_the"	"∅_the_of"	"the_of_economic"	"of_economic_integration"	"ε"	"ε"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rule"	"of"	"economic"	"integration"	"in"	"congregational"	"life"	"can"	"be"	"see"	"in"	"the"	"missionary"	"outreach"	"of"	"the"	"major"	"denomination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"issue"	"and"	"may"	"regulation"	"may_issue"	"issue_and"	"and_regulation"	"secretary_of_the_interior_may_issue"	"may_issue_and"	"issue_and_regulation"	"and_regulation_to"	"NN"	"MD"	"VB"	"NN"	"CC"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"may"	"issue"	"rule"	"and"	"regulation"	"to"	"effectuate"	"the"	"purpose"	"of_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
