"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"2:38:00::"	"were"	"toward"	"guerrillas"	"him"	"guerrillas_were"	"were_toward"	"toward_him"	"∅_guerrillas_were"	"guerrillas_were_toward"	"were_toward_him"	"toward_him_."	"ε"	"NNS"	"VBD"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"were"	"race"	"toward"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"alongside"	"officers"	","	"officers_,"	",_alongside"	"alongside_,"	"armed_officers_,"	"officers_,_alongside"	",_alongside_,"	"alongside_,_blaze_away"	"JJ"	"NNS"	"ε"	"VB"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"police_cars"	"loaded"	"armed"	"officers"	"race"	"alongside"	"blaze_away"	"at"	"the"	"tires"	"of"	"the"	"big"	"jet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"in"	"way"	"the"	"way_to"	"to_in"	"in_the"	"his_way_to"	"way_to_in"	"to_in_the"	"in_the_new_zealand"	"PRP$"	"NN"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tool"	"through"	"sydney"	"his"	"way"	"to"	"race"	"in"	"the"	"new_zealand"	"grand_prix"	"britain"	"balding"	"ace_driver_stirling_moss"	"all_but"	"smother"	"himself"	"in"	"his"	"own"	"exhaust"	"of"	"self-crimination"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"cloud"	"upon"	"the"	"them"	"the_cloud"	"cloud_upon"	"upon_them"	"notice_the_cloud"	"the_cloud_upon"	"cloud_upon_them"	"upon_them_-"	"VB"	"DT"	"NN"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"the"	"cloud"	"race"	"upon"	"them"	"heavy"	"ominous"	"leaden"	"cloud"	"that"	"form"	"even"	"as"	"they"	"slice"	"over"	"the"	"crest"	"of"	"the"	"surrounding"	"hills"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"towards"	"bullet"	"the"	"bullet_,"	",_towards"	"towards_the"	"of_bullet_,"	"bullet_,_towards"	",_towards_the"	"towards_the_arroyo"	"IN"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"first"	"report"	"person"	"horse"	"wheel"	"to"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"person"	"follow"	"by"	"hail"	"of"	"bullet"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"his"	"horse"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"the"	"be"	"of"	"the"	"of_the"	"the_be"	"be_the"	"runaway_of_the"	"of_the_be"	"the_be_the"	"be_the_'55"	"NN"	"IN"	"DT"	"NN"	"VB"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"only"	"group"	"club"	"that"	"get_off_the_ground"	"to"	"a"	"start"	"and"	"make"	"a"	"runaway"	"of"	"the"	"race"	"be"	"the"	"group"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"the"	","	"make"	"it"	"make_the"	"the_,"	",_it"	"to_make_the"	"make_the_,"	"the_,_it"	",_it_vote"	"TO"	"VB"	"DT"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"crowd"	"was"	"ask"	"whether"	"it"	"to"	"wait"	"one"	"more"	"term"	"to"	"make"	"the"	"race"	"it"	"vote"	"no"	"and"	"there"	"be"	"no"	"dissent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"first"	","	"a"	"one"	"a_first"	"first_,"	",_one"	"make_a_first"	"a_first_,"	"first_,_one"	",_one_of"	"VB"	"DT"	"JJ"	"NN"	"ε"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"largest"	"hurdle"	"the"	"republican"	"would"	"have"	"to"	"face"	"be"	"a"	"state"	"which"	"say"	"that"	"before"	"make"	"a"	"first"	"race"	"one"	"of"	"two"	"alternative"	"course"	"must"	"be"	"take"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"his"	"for"	"open"	"governor"	"open_his"	"his_for"	"for_governor"	"person_open_his"	"open_his_for"	"his_for_governor"	"for_governor_in"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"race"	"for"	"governor"	"in"	"with"	"a"	"battle"	"in"	"the"	"legislature"	"against"	"the"	"issuance"	"of"	"million"	"worth"	"of"	"additional"	"rural"	"road"	"bond"	"propose"	"by"	"then"	"person"	
"1:11:00::"	"seventh"	"here"	"feature"	"today"	"feature_seventh"	"seventh_here"	"here_today"	",_feature_seventh"	"feature_seventh_here"	"seventh_here_today"	"here_today_,"	"ε"	"VB"	"JJ"	"NN"	"RB"	"NN"	"ε"	"her"	"second"	"straight"	"victory"	"person"	"garden_fresh"	"a"	"year"	"old"	"filly"	"down"	"promising"	"colt"	"in"	"the"	"st._patrick's_day_purse"	"feature"	"seventh"	"race"	"here"	"and"	"pay"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
