"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:30:00::"	"be"	"by"	"must"	"the"	"must_be"	"be_by"	"by_the"	"deduction_must_be"	"must_be_by"	"be_by_the"	"by_the_value"	"NN"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"such"	"instance"	"revenuers"	"stress"	"deduction"	"must"	"be"	"reduce"	"by"	"the"	"value"	"of"	"the"	"benefit"	"receive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"its"	"had"	"embassy"	"had_to"	"to_its"	"its_embassy"	"u._s._had_to"	"had_to_its"	"to_its_embassy"	"its_embassy_and"	"NNP"	"VB"	"VB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"hours"	"after"	"a"	"parade"	"of"	"his"	"new"	"soviet"	"tanks"	"and"	"artillery"	"dictator_fidel_castro"	"suddenly"	"confront"	"the"	"u._s."	"with"	"a"	"blunt"	"and"	"drastic"	"demand"	"within"	"hours"	"the"	"u._s."	"to"	"reduce"	"its"	"embassy"	"and"	"consulate"	"staffs"	"in"	"cuba"	"to"	"a"	"total"	"of"	"eleven"	"persons"	"the"	"embassy"	"staff"	"alone"	"total"	"u._s."	"citizens"	"plus"	"cuban"	"employees"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:06::"	","	"this"	"coexistence"	"concept"	"coexistence_,"	",_this"	"this_concept"	"peaceful_coexistence_,"	"coexistence_,_this"	",_this_concept"	"this_concept_merely"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"molotov"	"altogether"	"reject"	"the"	"of"	"peaceful"	"coexistence"	"reduce"	"this"	"concept"	"merely"	"to"	"the"	"state"	"of"	"peace"	"or"	"rather"	"the"	"absence"	"of"	"war"	"at"	"a"	"given"	"moment"	"and"	"to"	"a"	"denial"	"of"	"the"	"of"	"avert"	"a"	"world_war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"have"	"her"	"could"	"to"	"could_have"	"have_her"	"her_to"	"what_could_have"	"could_have_her"	"have_her_to"	"her_to_this"	"WP"	"MD"	"VB"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"stand"	"look"	"down"	"at"	"her"	"a"	"moment"	"wonder"	"what"	"could"	"have"	"reduce"	"her"	"to"	"this"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"dependence"	"attention"	"on"	"attention_to"	"to_dependence"	"dependence_on"	"adequate_attention_to"	"attention_to_dependence"	"to_dependence_on"	"dependence_on_imports"	"JJ"	"NN"	"TO"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"foresee"	"balance-of-payments"	"with"	"adequate"	"attention"	"to"	"reduce"	"dependence"	"on"	"imports"	"and"	"adopt"	"realistic"	"exchange_rates"	"to"	"encourage"	"infant"	"industries"	"and"	"spur"	"exports"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"would"	"the"	"it"	"total"	"it_would"	"would_the"	"the_total"	"yesterday_it_would"	"it_would_the"	"would_the_total"	"the_total_amount"	"NN"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"baltimore"	"and"	"announce"	"yesterday"	"it"	"would"	"reduce"	"the"	"total"	"amount"	"of"	"its"	"payroll"	"by"	"per_cent"	"through"	"salary"	"cuts"	"and"	"lay-offs"	"effective"	"at"	"a._m."	"next"	"saturday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"cannot"	"the"	"railroad"	"salary"	"railroad_cannot"	"cannot_the"	"the_salary"	"the_railroad_cannot"	"railroad_cannot_the"	"cannot_the_salary"	"the_salary_of"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"railroad"	"cannot"	"reduce"	"the"	"salary"	"of"	"individual"	"union_members"	"under"	"contract"	"it"	"must"	"accomplish"	"its"	"payroll"	"reduction"	"by"	"place"	"some"	"of"	"the"	"men"	"on"	"furlough"	"a"	"b."	"o."	"spokesman"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"now"	"to"	"are"	"a"	"are_now"	"now_to"	"to_a"	"staying_put_are_now"	"are_now_to"	"now_to_a"	"to_a_minor"	"NN"	"VBP"	"RB"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"the"	"adherents"	"staying_put"	"are"	"now"	"reduce"	"to"	"a"	"minor"	"even"	"a"	"miniscule"	"sect"	"and"	"their"	"credo"	"home-keeping"	"hearts"	"be"	"happiest"	"be"	"as"	"disreputable"	"as"	"socinianism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"their"	"not"	"freight_rates"	"not_to"	"to_their"	"their_freight_rates"	"railroads_not_to"	"not_to_their"	"to_their_freight_rates"	"their_freight_rates_on"	"NNS"	"RB"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"board"	"of"	"suspension"	"of"	"the"	"interstate_commerce"	"has"	"order"	"a"	"group"	"of"	"railroads"	"not"	"to"	"reduce"	"their"	"freight_rates"	"on"	"grain"	"as"	"they"	"had"	"plan"	"to"	"do"	"this"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"or"	"ways"	"eliminate"	"ways_to"	"to_or"	"or_eliminate"	"obvious_ways_to"	"ways_to_or"	"to_or_eliminate"	"or_eliminate_the"	"JJ"	"NNS"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"four"	"obvious"	"ways"	"to"	"reduce"	"or"	"eliminate"	"the"	"vulnerability"	"of"	"aircraft"	"on_the_ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
