"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"
"4:02:00::"	"seed_grain"	"."	"of"	"∅"	"of_seed_grain"	"seed_grain_."	"._∅"	"bag_of_seed_grain"	"of_seed_grain_."	"seed_grain_._∅"	"._∅_∅"	"NN"	"IN"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"sputtered"	"back"	"to"	"his"	"foot"	"and"	"madly"	"to"	"pull"	"his"	"bag"	"of"	"seed_grain"	"forward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"lean"	"over"	"person"	"the"	"person_lean"	"lean_over"	"over_the"	"∅_person_lean"	"person_lean_over"	"lean_over_the"	"over_the_desk"	"ε"	"NNP"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lean"	"forward"	"over"	"the"	"desk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"holiday"	"to"	"midweek"	"monday"	"midweek_holiday"	"holiday_to"	"to_monday"	"move_midweek_holiday"	"midweek_holiday_to"	"holiday_to_monday"	"to_monday_or"	"VB"	"JJ"	"NN"	"RB"	"TO"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"investigate"	"possibility"	"move"	"midweek"	"holiday"	"forward"	"to"	"monday"	"or"	"back"	"to"	"friday"	"in_order"	"to"	"have"	"an"	"uninterrupted"	"work"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"bend"	"over"	"and"	"the"	"and_bend"	"bend_over"	"over_the"	",_and_bend"	"and_bend_over"	"bend_over_the"	"over_the_horn"	"ε"	"CC"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"swing"	"up"	"and"	"bend"	"forward"	"over"	"the"	"horn"	"he"	"urge"	"his"	"mount"	"down"	"the"	"meandering"	"draw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"lean"	"again"	"person"	","	"person_lean"	"lean_again"	"again_,"	"∅_person_lean"	"person_lean_again"	"lean_again_,"	"again_,_rock"	"ε"	"NNP"	"VB"	"RB"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lean"	"forward"	"again"	"rock"	"comfortably"	"with"	"his"	"arm"	"still"	"wrap"	"around"	"one"	"knee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"or"	"roll"	","	"."	",_or"	"or_roll"	"roll_."	"somersault_,_or"	",_or_roll"	"or_roll_."	"roll_._∅"	"NN"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"essential"	"to"	"the"	"beginner"	"program"	"be"	"the"	"somersault"	"or"	"forward"	"roll"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"strain"	"."	"they"	"∅"	"they_strain"	"strain_."	"._∅"	"∅_they_strain"	"they_strain_."	"strain_._∅"	"._∅_∅"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strain"	"forward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"move"	"."	"person"	"∅"	"person_move"	"move_."	"._∅"	",_person_move"	"person_move_."	"move_._∅"	"._∅_∅"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"countless"	"barrier"	"disappointment"	"person"	"move"	"forward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:fore(a):00"	"unique"	"corner"	"a"	"point"	"a_unique"	"unique_corner"	"corner_point"	"correspond_a_unique"	"a_unique_corner"	"unique_corner_point"	"corner_point_,"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"each"	"paired"	"vertex"	"and"	"point"	"there"	"correspond"	"a"	"unique"	"forward"	"corner"	"point"	"i.e."	"the"	"corner"	"on"	"c"	"reach"	"first"	"by"	"proceed"	"along"	"c"	"from"	"the"	"vertex"	"in"	"the"	"direction"	"of"	"increasing"	"t"	
"5:00:00:fore(a):00"	"corresponding"	"corner"	"its"	"point"	"its_corresponding"	"corresponding_corner"	"corner_point"	"and_its_corresponding"	"its_corresponding_corner"	"corresponding_corner_point"	"corner_point_."	"CC"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"with"	"each"	"vertex"	"we"	"associate"	"certain"	"numerical"	"value"	"namely"	"the"	"set"	"of"	"difference"	"in"	"the"	"parameter"	"t"	"between"	"vertex"	"and"	"corresponding"	"forward"	"corner"	"point"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
