"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:38:01::"	"reams"	"from"	"the"	"investment"	"the_reams"	"reams_from"	"from_investment"	"by_the_reams"	"the_reams_from"	"reams_from_investment"	"from_investment_firms"	"IN"	"DT"	"NNS"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"letters"	"the"	"reams"	"come_in"	"from"	"investment"	"firms"	"all_over"	"the"	"nation"	"all_of"	"them"	"want"	"to"	"get"	"a"	"part"	"of"	"the"	"shares"	"that"	"would"	"be"	"sell"	"to"	"the"	"public"	"at"	"with"	"another"	"reserve"	"for"	"morton"	"foods"	"employes"	"at"	"a"	"share"	
"2:38:02::"	"outsiders"	"and"	"resent"	"tell"	"resent_outsiders"	"outsiders_and"	"and_tell"	"probably_resent_outsiders"	"resent_outsiders_and"	"outsiders_and_tell"	"and_tell_them"	"RB"	"VB"	"NNS"	"VB"	"CC"	"VB"	"PRP"	"n't"	"know"	"much"	"about"	"them"	"owen"	"admit"	"but"	"i"	"suppose"	"they"	"have"	"their"	"own"	"religion"	"they"	"probably"	"resent"	"outsiders"	"and"	"tell"	"them"	"what"	"to"	"do"	"and"	"what"	"not"	"to"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"signal"	"loud"	"the"	"and"	"the_signal"	"signal_loud"	"loud_and"	"and_the_signal"	"the_signal_loud"	"signal_loud_and"	"loud_and_clear"	"CC"	"DT"	"NN"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"turn_on"	"the"	"electric"	"and"	"the"	"signal"	"come_in"	"loud"	"and"	"clear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"car"	"steady"	"'s"	"and"	"'s_car"	"car_steady"	"steady_and"	"dowling_'s_car"	"'s_car_steady"	"car_steady_and"	"steady_and_clear"	"NNP"	"POS"	"NN"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"go_in"	"to"	"get"	"the"	"hamburgers"	"and"	"switch_on"	"the"	"device"	"again"	"and"	"keep"	"signal"	"from"	"dowling"	"car"	"come_in"	"steady"	"and"	"clear"	"until"	"i"	"see"	"her"	"start"	"back"	"with"	"the"	"hamburgers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"buzzes"	"loud"	"the"	"and"	"the_buzzes"	"buzzes_loud"	"loud_and"	"but_the_buzzes"	"the_buzzes_loud"	"buzzes_loud_and"	"loud_and_clear"	"CC"	"DT"	"NNS"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"turn_on"	"the"	"device"	"again"	"half"	"fearful"	"that"	"might"	"find"	"silence"	"but"	"the"	"buzzes"	"come_in"	"loud"	"and"	"clear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"rourke"	"six"	"when"	"or"	"when_rourke"	"rourke_six"	"six_or"	"cognac_when_rourke"	"when_rourke_six"	"rourke_six_or"	"six_or_eight"	"NN"	"WRB"	"NNP"	"VB"	"CD"	"CC"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"stand"	"at"	"the"	"end"	"of"	"bar"	"enjoy"	"a"	"slug"	"of"	"cognac"	"when"	"rourke"	"come_in"	"six"	"or"	"eight"	"minutes"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"still"	"from"	"are"	"shareholders"	"are_still"	"still_from"	"from_shareholders"	"letters_are_still"	"are_still_from"	"still_from_shareholders"	"from_shareholders_of"	"NNS"	"VBP"	"RB"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"day"	"period"	"be"	"over"	"letters"	"are"	"still"	"come_in"	"from"	"shareholders"	"of"	"these"	"four"	"funds"	"complain"	"about"	"mistakes"	"in"	"their"	"accounts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"have"	"before"	"that"	"the"	"that_have"	"have_before"	"before_the"	"teeth_that_have"	"that_have_before"	"have_before_the"	"before_the_first"	"NNS"	"WDT"	"VBP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"that"	"have"	"come_in"	"before"	"the"	"first"	"ones"	"have"	"fall"	"out"	"make"	"a"	"double"	"row"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"who"	"or"	"being"	"out"	"being_who"	"who_or"	"or_out"	"sentient_being_who"	"being_who_or"	"who_or_out"	"or_out_of"	"JJ"	"NN"	"WP"	"VB"	"CC"	"IN"	"IN"	"0"	"0"	"0"	"all"	"i"	"know"	"be"	"that"	"you"	"be"	"outside"	"the"	"bubbles"	"last"	"night"	"and"	"you"	"be"	"the"	"sentient"	"being"	"who"	"come_in"	"or"	"out"	"of"	"our"	"alarm"	"web"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"person"	"."	"when"	"∅"	"when_person"	"person_."	"._∅"	"dressing_room_when_person"	"when_person_."	"person_._∅"	"._∅_∅"	"NN"	"WRB"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"game"	"person"	"was"	"take_off"	"sweatshirt"	"in"	"the"	"dressing_room"	"when"	"person"	"come_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
