"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"1:09:00::"	"field"	"."	"better"	"∅"	"better_field"	"field_."	"._∅"	"be_better_field"	"better_field_."	"field_._∅"	"._∅_∅"	"VB"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"second"	"be"	"better"	"field"	"technique"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"linguistic"	"for"	"many"	"reduce"	"many_linguistic"	"linguistic_for"	"for_reduce"	"the_many_linguistic"	"many_linguistic_for"	"linguistic_for_reduce"	"for_reduce_the"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"linguistic"	"technique"	"for"	"reduce"	"the"	"amount"	"of"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"data_processing"	"as"	"certain"	"a"	"certain_data_processing"	"data_processing_as"	"as_a"	"of_certain_data_processing"	"certain_data_processing_as"	"data_processing_as_a"	"as_a_solution"	"IN"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"suggest"	"the"	"of"	"certain"	"data_processing"	"technique"	"as"	"a"	"solution"	"to"	"the"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"selling"	"which"	"the"	"best"	"the_selling"	"selling_which"	"which_best"	"examine_the_selling"	"the_selling_which"	"selling_which_best"	"which_best_suit"	"VB"	"DT"	"NN"	"NN"	"WDT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"examine"	"the"	"selling"	"technique"	"which"	"best"	"suit"	"your"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"or"	"of"	"trick"	"sexual"	"trick_or"	"or_of"	"of_sexual"	"some_trick_or"	"trick_or_of"	"or_of_sexual"	"of_sexual_play"	"JJ"	"NN"	"CC"	"NN"	"IN"	"JJ"	"NN"	"husband"	"person"	"continue"	"worry"	"about"	"how"	"well"	"they"	"do"	"and"	"fear"	"that"	"success"	"depend_on"	"some"	"trick"	"or"	"of"	"sexual"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"new"	"be"	"this"	"primarily"	"this_new"	"new_be"	"be_primarily"	"pioneer_this_new"	"this_new_be"	"new_be_primarily"	"be_primarily_interested"	"VB"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"present"	"time"	"the"	"team"	"which"	"pioneer"	"this"	"new"	"technique"	"be"	"primarily"	"interested"	"in"	"advance"	"and"	"perfect"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	"allow"	"today"	"exact"	"today_'s"	"'s_allow"	"allow_exact"	"but_today_'s"	"today_'s_allow"	"'s_allow_exact"	"allow_exact_measurement"	"CC"	"NN"	"POS"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"original"	"electrocardiograph"	"primarily"	"indicate"	"irregularity"	"the"	"heartbeat"	"but"	"today"	"technique"	"allow"	"exact"	"measurement"	"of"	"the"	"flow"	"of"	"blood"	"through"	"the"	"aorta"	"dimensioning"	"of"	"the"	"heart"	"and"	"its"	"chamber"	"and"	"a"	"much"	"more"	"detailed"	"study"	"of"	"each"	"heartbeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"these"	"."	"of"	"∅"	"of_these"	"these_."	"._∅"	"some_of_these"	"of_these_."	"these_._∅"	"._∅_∅"	"DT"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"of"	"researcher"	"at"	"the"	"group"	"have"	"a"	"paper"	"which"	"briefly"	"outline"	"some"	"of"	"these"	"technique"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"has"	"of"	"been"	"of_this"	"this_has"	"has_been"	"refinement_of_this"	"of_this_has"	"this_has_been"	"has_been_describe"	"NN"	"RB"	"RB"	"NN"	"VBZ"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"of"	"this"	"technique"	"has"	"been"	"describe"	"by"	"person"	"and"	"person"	"and"	"person"	"of"	"the"	"group"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"important"	"of"	"an"	"submarine"	"an_important"	"important_of"	"of_submarine"	"of_an_important"	"an_important_of"	"important_of_submarine"	"of_submarine_detection"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"most"	"application"	"of"	"an"	"important"	"technique"	"of"	"submarine"	"detection"	"be"	"in"	"the"	"exploration"	"of"	"the"	"human_body"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
