"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:23:00::"	"to"	"of"	"limit"	"the"	"limit_to"	"to_of"	"of_the"	"is_limit_to"	"limit_to_of"	"to_of_the"	"of_the_total"	"VBZ"	"VB"	"TO"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"federal"	"assistance"	"limit"	"to"	"half"	"of"	"the"	"total"	"expenditure"	"and"	"the"	"state"	"or"	"local"	"district"	"must"	"pay"	"at_least"	"half"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"at_least"	"."	"pay"	"∅"	"pay_at_least"	"at_least_."	"._∅"	"must_pay_at_least"	"pay_at_least_."	"at_least_._∅"	"._∅_∅"	"MD"	"VB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"federal"	"assistance"	"is"	"limit"	"to"	"half"	"of"	"the"	"total"	"and"	"the"	"state"	"or"	"local"	"district"	"must"	"pay"	"at_least"	"half"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"swim"	"wagon"	"his"	"wagon_,"	",_swim"	"swim_his"	"the_wagon_,"	"wagon_,_swim"	",_swim_his"	"swim_his_way"	"DT"	"NN"	"ε"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"nearly"	"sundown"	"and"	"he"	"to"	"the"	"back"	"of"	"the"	"wagon"	"half"	"swim"	"his"	"way"	"for"	"he"	"be"	"not"	"a"	"tall"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"more_than"	"be"	"literature"	"practically"	"literature_more_than"	"more_than_be"	"be_practically"	"for_literature_more_than"	"literature_more_than_be"	"more_than_be_practically"	"be_practically_unknown"	"IN"	"NN"	"RB"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the"	"recipient"	"of"	"nobel_prize"	"for"	"literature"	"more_than"	"half"	"be"	"practically"	"unknown"	"to"	"reader"	"of"	"english"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"first"	"of"	"the"	"the_charles_men"	"the_first"	"first_of"	"of_the_charles_men"	"∅_the_first"	"the_first_of"	"first_of_the_charles_men"	"of_the_charles_men_,"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"half"	"of"	"the_charles_men"	"end"	"on"	"the"	"climax"	"of"	"the"	"battle"	"of"	"location"	"in"	"be"	"more"	"dramatically"	"coherent"	"than"	"the"	"second"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"mincing"	"teeter"	"walk"	"teeter_,"	",_mincing"	"mincing_walk"	"'s_teeter_,"	"teeter_,_mincing"	",_mincing_walk"	"mincing_walk_."	"POS"	"VB"	"ε"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"catch"	"her"	"eye"	"come_back"	"around"	"the"	"with"	"the"	"boot"	"wearer"	"teeter"	"half"	"mincing"	"walk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:fractional:00"	"a"	"million"	"over"	"disabled"	"over_a"	"a_million"	"million_disabled"	"of_over_a"	"over_a_million"	"a_million_disabled"	"million_disabled_person"	"IN"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"successful"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"year"	"after"	"the"	"existing"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"an"	"estimated"	"two"	"million"	"disabled"	
"5:00:00:incomplete:00"	"be"	"closed"	"eye"	","	"eye_be"	"be_closed"	"closed_,"	"physical_eye_be"	"eye_be_closed"	"be_closed_,"	"closed_,_while"	"JJ"	"NN"	"VB"	"JJ"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"person"	"eye"	"be"	"half"	"closed"	"while"	"his"	"mind's_eye"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:fractional:00"	"look"	"crocked"	"person"	"to"	"person_look"	"look_crocked"	"crocked_to"	"∅_person_look"	"person_look_crocked"	"look_crocked_to"	"crocked_to_the"	"ε"	"NNP"	"VB"	"JJ"	"JJ"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"half"	"crocked"	"to"	"the"	"captain"	"it"	"would"	"be"	"just"	"like"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"was"	"hear"	"i"	";"	"i_was"	"was_hear"	"hear_;"	"oxford_english_i_was"	"i_was_hear"	"was_hear_;"	"hear_;_i"	"NN"	"PRP"	"VBD"	"RB"	"VB"	"ε"	"PRP"	"ear"	"were"	"drown"	"by"	"a"	"flow"	"of"	"what"	"i"	"take_to_be"	"spanish"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"wildly"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"the"	"pure"	"oxford_english"	"i"	"was"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"through"	"closed"	"peer"	"lid"	"peer_through"	"through_closed"	"closed_lid"	"person_peer_through"	"peer_through_closed"	"through_closed_lid"	"closed_lid_at"	"NNP"	"VB"	"IN"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"through"	"half"	"closed"	"lid"	"at"	"his"	"reflection"	"thrust"	"up"	"his"	"chin"	"in"	"a"	"gesture"	"of"	"satisfaction"	"and"	"about-face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"about"	"a"	"for"	"mile"	"for_about"	"about_a"	"a_mile"	"east_for_about"	"for_about_a"	"about_a_mile"	"a_mile_before"	"JJ"	"IN"	"IN"	"NN"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"run"	"for"	"about"	"half"	"a"	"mile"	"before"	"we"	"turn_back"	"to"	"the"	"road"	"pant"	"from"	"the"	"effort"	"and"	"soaked"	"with"	"sweat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
