"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"
"2:32:02::"	"is"	"for"	"it"	"an"	"it_is"	"is_for"	"for_an"	"-_it_is"	"it_is_for"	"is_for_an"	"for_an_off-broadway"	"ε"	"PRP"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._reavey"	"work"	"is"	"write"	"for"	"stage"	"it"	"is"	"mention"	"for"	"an"	"off-broadway"	"production"	"in"	"the"	"fall"	"and"	"in_addition"	"employ"	"an"	"avant-garde"	"structure"	"that"	"particularly"	"need"	"to"	"be"	"see"	"if"	"comprehension"	"be"	"to"	"be"	"encourage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"tasks"	"above"	"basic"	","	"basic_tasks"	"tasks_above"	"above_,"	"two_basic_tasks"	"basic_tasks_above"	"tasks_above_,"	"above_,_no"	"CD"	"JJ"	"NNS"	"VB"	"RB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"the"	"basic"	"tasks"	"mention"	"above"	"no"	"attention"	"was"	"pay_attention"	"by"	"statesman"	"or"	"scholar"	"to"	"an"	"idea"	"of"	"state"	"responsibility"	"either"	"internally"	"or"	"externally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"reasons"	"by"	"other"	"one-third"	"other_reasons"	"reasons_by"	"by_one-third"	"∅_other_reasons"	"other_reasons_by"	"reasons_by_one-third"	"by_one-third_or"	"ε"	"JJ"	"NNS"	"VB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reasons"	"mention"	"by"	"one-third"	"or"	"more"	"of"	"the"	"builders"	"be"	"resistance"	"to"	"high"	"interest_rates"	"cost"	"advantage"	"of"	"buy"	"over"	"rent"	"has"	"narrow"	"shelter"	"market"	"near"	"saturation"	"and"	"prospects"	"unable"	"to"	"qualify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"above"	"report"	"the"	"of"	"the_above"	"above_report"	"report_of"	"in_the_above"	"the_above_report"	"above_report_of"	"report_of_the"	"IN"	"DT"	"JJ"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"above"	"mention"	"report"	"of"	"the"	"notre_dame"	"chapter"	"of"	"the"	"american_association"	"of"	"university_professors"	"the"	"basic"	"outlook"	"of"	"the"	"new"	"breed"	"of"	"lay"	"faculty"	"emerge"	"very"	"clearly"	"in"	"the"	"very"	"statement"	"of"	"the"	"problem"	"as"	"the"	"members"	"see"	"it"	"even"	"with"	"the"	"best"	"of"	"intentions"	"he"	"the"	"president"	"of"	"the"	"university"	"be"	"loath"	"to"	"delegate"	"such"	"authority"	"and"	"responsibility"	"to"	"a"	"group"	"the"	"membership"	"of_which"	"consider"	"as"	"it"	"must"	"be"	"by"	"him"	"in"	"individual"	"terms"	"be"	"inhomogeneous"	"mortal"	"and"	"of"	"extremely"	"varying"	"temperament"	"interests"	"and"	"capabilities"	
"2:32:00::"	"i"	"that"	"when"	"for"	"when_i"	"i_that"	"that_for"	"∅_when_i"	"when_i_that"	"i_that_for"	"that_for_my"	"ε"	"WRB"	"PRP"	"VB"	"IN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"mention"	"that"	"for"	"my"	"first"	"long"	"voyage"	"i"	"did"	"not"	"even"	"have"	"the"	"money"	"for"	"the"	"return"	"fare"	"but"	"had"	"trust"	"to"	"luck"	"that"	"i"	"would"	"earn"	"a"	"sufficient"	"amount"	"the"	"young"	"people"	"look"	"at"	"me"	"doubtingly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"others"	"that"	"∅"	"i"	"∅_others"	"others_that"	"that_i"	"∅_∅_others"	"∅_others_that"	"others_that_i"	"that_i_might"	"ε"	"ε"	"NNS"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mention"	"that"	"i"	"might"	"have"	"had"	"to"	"ask"	"friends"	"or"	"even"	"strangers"	"for"	"help"	"and"	"that"	"to"	"be"	"stranded"	"in_a_foreign_country"	"without"	"sufficient"	"funds"	"did"	"not"	"contribute"	"to"	"international"	"understanding"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"hear"	"."	"seldom"	"∅"	"seldom_hear"	"hear_."	"._∅"	"have_seldom_hear"	"seldom_hear_."	"hear_._∅"	"._∅_∅"	"VB"	"RB"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"thing"	"i"	"notice"	"i"	"have"	"seldom"	"hear"	"mention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"fund"	"earlier"	"rotary"	"."	"rotary_fund"	"fund_earlier"	"earlier_."	"the_rotary_fund"	"rotary_fund_earlier"	"fund_earlier_."	"earlier_._∅"	"DT"	"JJ"	"NN"	"VB"	"RBR"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_that"	"ownership"	"of"	"all"	"vehicles"	"rest_on"	"with"	"the"	"state"	"motor_pool"	"cars"	"are"	"pay"	"with"	"funds"	"appropriate"	"to"	"the"	"agencies"	"but"	"transfer"	"to"	"the"	"rotary"	"fund"	"mention"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"never"	"a"	"have"	"new"	"have_never"	"never_a"	"a_new"	"i_have_never"	"have_never_a"	"never_a_new"	"a_new_artist"	"PRP"	"VBP"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"able"	"to"	"smell"	"a"	"bargain"	"and"	"a"	"masterpiece"	"a"	"continent"	"away"	"and"	"the"	"of"	"modern_art"	"alfred_barr"	"say"	"of"	"him"	"i"	"have"	"never"	"mention"	"a"	"new"	"artist"	"that"	"thompson"	"did"	"n't"	"know"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"not"	"what"	"did"	"steps"	"did_not"	"not_what"	"what_steps"	"statement_did_not"	"did_not_what"	"not_what_steps"	"what_steps_might"	"NN"	"VBD"	"RB"	"VB"	"WP"	"NNS"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"did"	"not"	"mention"	"what"	"steps"	"might"	"be"	"take"	"to"	"overcome"	"the"	"legal"	"obstacles"	"to"	"desegregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
