"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:38:00::"	"he"	"the"	"∅"	"street"	"∅_he"	"he_the"	"the_street"	"∅_∅_he"	"∅_he_the"	"he_the_street"	"the_street_and"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cross"	"the"	"street"	"and"	"walk"	"swiftly"	"southward"	"to"	"circle"	"back"	"to"	"the"	"boulevard"	"and"	"north"	"a"	"block"	"to"	"the"	"open"	"restaurant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"the"	"entrance"	"street"	"entrance_i"	"i_the"	"the_street"	"mosque_entrance_i"	"entrance_i_the"	"i_the_street"	"the_street_,"	"NN"	"NN"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"before"	"come"	"the"	"mosque"	"entrance"	"i"	"cross"	"the"	"street"	"enter"	"the"	"hippodrome"	"and"	"walk"	"ahead"	"to"	"the"	"obelisk"	"of"	"theodosius"	"originally"	"erect"	"in"	"heliopolis"	"in"	"egypt"	"about"	"b._c."	"by"	"thutmose"	"who"	"also"	"build"	"those"	"now"	"in"	"new_york"	"london"	"and"	"rome"	"at"	"the"	"lateran"	
"2:38:00::"	"them"	"the"	"watch"	"sidewalk"	"watch_them"	"them_the"	"the_sidewalk"	",_watch_them"	"watch_them_the"	"them_the_sidewalk"	"the_sidewalk_to"	"ε"	"VB"	"PRP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"men"	"watch"	"as"	"dave"	"the"	"door"	"behind"	"them"	"watch"	"them"	"cross"	"the"	"sidewalk"	"to"	"their"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"carruthers"	"the"	"∅"	"room"	"∅_carruthers"	"carruthers_the"	"the_room"	"∅_∅_carruthers"	"∅_carruthers_the"	"carruthers_the_room"	"the_room_to"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cross"	"the"	"room"	"to"	"a"	"metal"	"door"	"with"	"an"	"open"	"grillework"	"in"	"the"	"top"	"half"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"been"	"by"	"have"	"air"	"have_been"	"been_by"	"by_air"	"passengers_have_been"	"have_been_by"	"been_by_air"	"by_air_."	"NNS"	"VBP"	"VBN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"more_and_more"	"trans-atlantic"	"have"	"been"	"cross"	"by"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"briefly"	"paths"	"new"	"in"	"new_briefly"	"briefly_paths"	"paths_in"	"and_new_briefly"	"new_briefly_paths"	"briefly_paths_in"	"paths_in_the"	"CC"	"JJ"	"NN"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"old"	"new"	"briefly"	"cross"	"paths"	"in"	"the"	"u._s._senate"	"then"	"go"	"their"	"respective"	"ways"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"have"	"over"	"troops"	"into"	"troops_have"	"have_over"	"over_into"	"communist_troops_have"	"troops_have_over"	"have_over_into"	"over_into_territory"	"JJ"	"NN"	"VBP"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"answer"	"these"	"question"	"we"	"need"	"to"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"cross"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"and"	"not"	"merely"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"be"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"the"	"∅"	"lobby"	"∅_he"	"he_the"	"the_lobby"	"∅_∅_he"	"∅_he_the"	"he_the_lobby"	"the_lobby_and"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cross"	"the"	"lobby"	"and"	"ride"	"up"	"in"	"the"	"elevator"	"lost"	"in"	"his"	"own"	"thought"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"the"	"∅"	"narrow"	"∅_person"	"person_the"	"the_narrow"	"∅_∅_person"	"∅_person_the"	"person_the_narrow"	"the_narrow_street"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cross"	"the"	"narrow"	"street"	"squeeze"	"between"	"parked"	"car"	"to"	"reach"	"the"	"sidewalk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"**f"	"c"	"suppose"	"when"	"suppose_**f"	"**f_c"	"c_when"	"∅_suppose_**f"	"suppose_**f_c"	"**f_c_when"	"c_when_**f"	"ε"	"VB"	"NN"	"VB"	"NN"	"WRB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cross"	"c"	"when"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
