"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:06:01::"	"first"	"the"	"the"	"hefty"	"the_first"	"first_the"	"the_hefty"	"∅_the_first"	"the_first_the"	"first_the_hefty"	"the_hefty_pitcher"	"ε"	"DT"	"JJ"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"ball"	"the"	"hefty"	"pitcher"	"throw"	"come"	"in"	"for"	"person"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hand"	"into"	"his"	"fist"	"his_hand"	"hand_into"	"into_fist"	",_his_hand"	"his_hand_into"	"hand_into_fist"	"into_fist_at"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stiffen"	"hand"	"ball"	"into"	"fist"	"at"	"his"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"happy"	"player"	"n't"	"produce"	"n't_happy"	"happy_player"	"player_produce"	"should_n't_happy"	"n't_happy_player"	"happy_player_produce"	"player_produce_more"	"MD"	"RB"	"JJ"	"NN"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"true"	"that"	"contented"	"cow"	"give"	"more"	"why"	"should"	"n't"	"happy"	"ball"	"player"	"produce"	"more"	"base_hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"hard"	"hit"	"and"	"hit_the"	"the_hard"	"hard_and"	"have_hit_the"	"hit_the_hard"	"the_hard_and"	"hard_and_more"	"VBP"	"VB"	"DT"	"NN"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"top"	"talent"	"of"	"the"	"time"	"person"	"person"	"have"	"hit"	"the"	"ball"	"hard"	"and"	"more"	"successfully"	"so_far"	"this"	"early"	"season"	"than"	"at"	"any"	"period"	"in"	"career"	"which"	"to"	"be"	"frank"	"about"	"it"	"never"	"have"	"quite"	"reach"	"expectation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"over"	"hammer"	"the"	"hammer_the"	"the_over"	"over_the"	"person_hammer_the"	"hammer_the_over"	"the_over_the"	"over_the_left"	"NNP"	"VB"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"ball"	"over"	"the"	"left"	"fence"	"for"	"the"	"third"	"group"	"run"	"in"	"the"	"ninth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"the"	"of"	"watch"	"location"	"watch_the"	"the_of"	"of_location"	"and_watch_the"	"watch_the_of"	"the_of_location"	"of_location_dwindle"	"CC"	"VB"	"DT"	"NN"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"six"	"month"	"later"	"person"	"stand"	"in"	"the"	"observation_dome"	"the"	"gabriel"	"and"	"watch"	"the"	"ball"	"of"	"location"	"dwindle"	"above"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	","	"remove"	"can't"	"remove_the"	"the_,"	",_can't"	"can_remove_the"	"remove_the_,"	"the_,_can't"	",_can't_i"	"MD"	"VB"	"DT"	"NN"	"ε"	"MD"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"can"	"the"	"ball"	"can't"	"i"	"ask"	"person"	"of"	"an"	"official"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"embedded"	","	"the"	"a"	"the_embedded"	"embedded_,"	",_a"	"for_the_embedded"	"the_embedded_,"	"embedded_,_a"	",_a_3"	"IN"	"DT"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"score"	"a"	"the"	"embedded"	"ball"	"a"	"with"	"the"	"provisional"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"and"	"grab"	"throw"	"grab_the"	"the_and"	"and_throw"	"person_grab_the"	"grab_the_and"	"the_and_throw"	"and_throw_it"	"NNP"	"VB"	"DT"	"NN"	"CC"	"VB"	"PRP"	"a"	"hard"	"shot"	"off"	"person"	"glove"	"and"	"beat"	"it"	"out"	"for"	"a"	"single"	"and"	"when"	"person"	"grab"	"the"	"and"	"throw"	"it"	"over"	"first_baseman"	"person"	"head"	"person"	"took"	"third"	"and"	"person"	"second"	"on"	"the"	"error"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"bounce"	"to"	"slow"	"short"	"slow_bounce"	"bounce_to"	"to_short"	"a_slow_bounce"	"slow_bounce_to"	"bounce_to_short"	"to_short_which"	"DT"	"JJ"	"VB"	"NN"	"TO"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"single"	"a"	"slow"	"bounce"	"ball"	"to"	"short"	"which"	"person"	"cut_across"	"to"	"field"	"and"	"throw"	"wide"	"to"	"first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
