"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"1:04:00::"	"and"	"."	"thought"	"∅"	"thought_and"	"and_."	"._∅"	"much_thought_and"	"thought_and_."	"and_._∅"	"._∅_∅"	"JJ"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sanitation"	"in"	"the"	"confines"	"of"	"the"	"shelter"	"will"	"require"	"much"	"thought"	"and"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"∅"	"of"	"∅"	"vocational"	"∅_∅"	"∅_of"	"of_vocational"	"∅_∅_∅"	"∅_∅_of"	"∅_of_vocational"	"of_vocational_education"	"ε"	"ε"	"ε"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"vocational"	"education"	"program"	"and"	"course"	"is"	"orient"	"to"	"local"	"employer"	"need"	"for"	"trained_worker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"curriculum"	"."	"local"	"∅"	"local_curriculum"	"curriculum_."	"._∅"	"in_local_curriculum"	"local_curriculum_."	"curriculum_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"of"	"project"	"industry"	"and"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"future"	"?"	"for"	"∅"	"for_future"	"future_?"	"?_∅"	"basis_for_future"	"for_future_?"	"future_?_∅"	"?_∅_∅"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"the"	"probable"	"price"	"situation"	"in"	"your"	"been"	"forecast"	"as"	"a"	"basis"	"for"	"future"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"management"	"job"	"general"	"as"	"general_management"	"management_job"	"job_as"	"and_general_management"	"general_management_job"	"management_job_as"	"job_as_the"	"CC"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"provide"	"good"	"customer"	"service"	"require"	"thorough"	"a"	"marketing"	"and"	"general"	"management"	"planning"	"job"	"as"	"the"	"original"	"selling"	"of"	"the"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"and"	":"	"design"	"∅"	"design_and"	"and_:"	":_∅"	"product_design_and"	"design_and_:"	"and_:_∅"	":_∅_∅"	"NN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"service"	"start"	"product"	"design"	"and"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"marketing"	"."	"good"	"∅"	"good_marketing"	"marketing_."	"._∅"	"to_good_marketing"	"good_marketing_."	"marketing_._∅"	"._∅_∅"	"TO"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"single"	"problem"	"touch_on"	"be"	"related"	"to"	"good"	"marketing"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"are"	"and"	"∅"	"strategy"	"∅_are"	"are_and"	"and_strategy"	"∅_∅_are"	"∅_are_and"	"are_and_strategy"	"and_strategy_development"	"ε"	"ε"	"VBP"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"planning"	"and"	"strategy"	"development"	"emphasize"	"sufficiently"	"in"	"your"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	","	"smell"	"and"	"smell_of"	"of_,"	",_and"	"the_smell_of"	"smell_of_,"	"of_,_and"	",_and_a"	"DT"	"NN"	"IN"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"come"	"to"	"examine"	"the"	"scene"	"there"	"was"	"certain"	"staginess"	"to"	"it"	"it"	"have"	"the"	"smell"	"of"	"planning"	"and"	"a"	"swift"	"suspicion"	"dart"	"into"	"his"	"mind"	"0"	"0"	"0"	"0"	
"1:04:00::"	"give"	"assistance"	"to"	"to"	"to_give"	"give_assistance"	"assistance_to"	"authority_to_give"	"to_give_assistance"	"give_assistance_to"	"assistance_to_city"	"NN"	"TO"	"VB"	"NN"	"NN"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"pass"	"finally"	"and"	"send"	"to"	"the"	"senate"	"bill"	"extend"	"the"	"group"	"authority"	"to"	"give"	"planning"	"assistance"	"to"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
