"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"
"2:42:02::"	"particularly"	"to"	"that"	"be"	"that_particularly"	"particularly_to"	"to_be"	"structure_that_particularly"	"that_particularly_to"	"particularly_to_be"	"to_be_see"	"NN"	"IN"	"RB"	"VB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._reavey"	"work"	"is"	"write"	"for"	"the"	"stage"	"it"	"is"	"mention"	"for"	"an"	"off-broadway"	"production"	"the"	"fall"	"and"	"in_addition"	"employ"	"an"	"avant-garde"	"structure"	"that"	"particularly"	"need"	"to"	"be"	"see"	"if"	"comprehension"	"be"	"to"	"be"	"encourage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"load"	"to"	"student"	"meet"	"student_load"	"load_to"	"to_meet"	"the_student_load"	"student_load_to"	"load_to_meet"	"to_meet_the"	"DT"	"NN"	"NN"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"say"	"the"	"nation"	"medical"	"and"	"dental_schools"	"now"	"handle"	"the"	"student"	"load"	"need"	"to"	"meet"	"the"	"rise"	"need"	"for"	"health_care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"not"	"truism"	"be"	"truism_,"	",_not"	"not_be"	"a_truism_,"	"truism_,_not"	",_not_be"	"not_be_document"	"DT"	"NN"	"ε"	"VB"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"internal"	"national"	"responsibility"	"a"	"truism"	"need"	"not"	"be"	"document"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"church"	"preparatory"	"the"	"training"	"the_church"	"church_preparatory"	"preparatory_training"	"of_the_church"	"the_church_preparatory"	"church_preparatory_training"	"preparatory_training_,"	"IN"	"DT"	"NNP"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"grow"	"conviction"	"among"	"pastors"	"and"	"church"	"leaders"	"all"	"those"	"who"	"come"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"need"	"preparatory"	"training"	"include"	"those"	"come"	"by"	"transfer"	"of"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"equipment"	"for"	"purchase"	"a"	"purchase_equipment"	"equipment_for"	"for_a"	"in_purchase_equipment"	"purchase_equipment_for"	"equipment_for_a"	"for_a_sound"	"IN"	"VB"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"advantage"	"that"	"would"	"come"	"to"	"the"	"city"	"in"	"have"	"a"	"full-time"	"director"	"he"	"say"	"be"	"east_providence"	"would"	"become"	"eligible"	"to"	"apply"	"to"	"the"	"federal_government"	"for"	"financial_aid"	"in"	"purchase"	"equipment"	"need"	"for"	"a"	"sound"	"civil_defense"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"we"	"a"	"that"	"five"	"that_we"	"we_a"	"a_five"	"us_that_we"	"that_we_a"	"we_a_five"	"a_five_per_cent"	"PRP"	"IN"	"PRP"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._reama"	"who"	"retire"	"as"	"vice_president"	"of"	"the"	"american_screw_co."	"in"	"say"	"both"	"in"	"the"	"last"	"election"	"tell"	"us"	"that"	"we"	"need"	"a"	"five"	"per_cent"	"growth"	"in"	"the"	"gross_national_product"	"but"	"neither"	"tell"	"us"	"how"	"to"	"achieve"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"often"	"."	"it"	"∅"	"it_often"	"often_."	"._∅"	"which_it_often"	"it_often_."	"often_._∅"	"._∅_∅"	"WDT"	"PRP"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"executive"	"pay"	"tribute"	"to"	"research"	"and"	"development"	"and"	"technology"	"for"	"their"	"great"	"contributions"	"in_the_past"	"but"	"he"	"also"	"caution"	"industry"	"that"	"they"	"tend"	"to"	"be"	"great"	"equalizers"	"because"	"they"	"move"	"at"	"a"	"even"	"pace"	"within"	"an"	"industry"	"and"	"fail"	"to"	"give"	"it"	"the"	"short-term"	"advantage"	"which"	"it"	"often"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"badly"	"the"	"and"	"economic"	"and_badly"	"badly_the"	"the_economic"	"years_and_badly"	"and_badly_the"	"badly_the_economic"	"the_economic_lift"	"NNS"	"CC"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"board_chairman_howard_simpson"	"of"	"the"	"baltimore"	"ohio_railroad_co."	"testify"	"the"	"b"	"o"	"be"	"in"	"worst"	"financial_condition"	"since"	"the"	"depression"	"years"	"and"	"badly"	"need"	"the"	"economic"	"lift"	"it"	"would"	"get"	"from"	"consolidation"	"with"	"the"	"chesapeake"	"ohio_railroad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"we"	"1000"	"light"	"churches"	"light_we"	"we_1000"	"1000_churches"	"in_this_light_we"	"light_we_1000"	"we_1000_churches"	"1000_churches_in"	"RB"	"NN"	"PRP"	"VB"	"CD"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_this"	"we"	"need"	"churches"	"in"	"illinois"	"where"	"we"	"have"	"in"	"southern"	"new_england"	"we"	"have"	"we"	"need"	"in"	"rhode_island"	"we"	"have"	"none"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"we"	"100"	";"	"in"	";_we"	"we_100"	"100_in"	"60_;_we"	";_we_100"	"we_100_in"	"100_in_rhode_island"	"CD"	"ε"	"PRP"	"VB"	"CD"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_this"	"light"	"we"	"need"	"churches"	"in"	"illinois"	"where"	"we"	"have"	"in"	"southern"	"we"	"have"	"we"	"need"	"in"	"rhode_island"	"we"	"have"	"none"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
