"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"2:31:00::"	"to"	","	"and"	"he"	"and_to"	"to_,"	",_he"	"us_and_to"	"and_to_,"	"to_,_he"	",_he_say"	"PRP"	"CC"	"TO"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"leave"	"our"	"doors"	"open"	"the"	"united_states"	"peoples"	"the"	"opportunity"	"to"	"see"	"us"	"and"	"to"	"compare"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"this"	"∅"	"statement"	"∅_∅"	"∅_this"	"this_statement"	"∅_∅_∅"	"∅_∅_this"	"∅_this_statement"	"this_statement_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"statement"	"of"	"a"	"nineteenth-century"	"judge"	"with"	"how"	"congressman_martin"	"according_to"	"the"	"daily_labor_report"	"of"	"sept."	"defend"	"the"	"necessity"	"of"	"enact"	"anti-trust"	"legislation"	"in"	"the"	"field"	"of"	"labor"	"if"	"we"	"wish"	"to"	"prevent"	"monopolistic"	"fixing"	"of"	"wages"	"production"	"or"	"prices"	"and"	"if"	"we"	"wish"	"to"	"preserve"	"the"	"freedom"	"of"	"the"	"employer"	"and"	"his"	"employees"	"to"	"contract"	"on"	"wages"	"hours"	"and"	"conditions"	"of"	"employment"	"0"	
"2:31:00::"	"do"	"to"	"being"	"what"	"being_do"	"do_to"	"to_what"	"is_being_do"	"being_do_to"	"do_to_what"	"to_what_need"	"VBZ"	"VBG"	"VB"	"VB"	"TO"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"what"	"being"	"do"	"compare"	"to"	"what"	"need"	"to"	"be"	"do"	"it"	"behoove"	"the"	"hospital"	"management"	"to"	"do"	"some"	"mighty"	"careful"	"planning"	"toward"	"making"	"the"	"best"	"use"	"of"	"the"	"increase"	"granted"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"wedding"	"to"	"modest"	"some"	"modest_wedding"	"wedding_to"	"to_some"	",_modest_wedding"	"modest_wedding_to"	"wedding_to_some"	"to_some_of"	"ε"	"JJ"	"NN"	"VB"	"TO"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"tell"	"him"	"little"	"more_than"	"mrs._calhoun"	"had"	"remember"	"state"	"it"	"had"	"be"	"a"	"small"	"modest"	"wedding"	"compare"	"to"	"some"	"of"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"cars"	"favorably"	"personally-owned"	"with"	"personally-owned_cars"	"cars_favorably"	"favorably_with"	"of_personally-owned_cars"	"personally-owned_cars_favorably"	"cars_favorably_with"	"favorably_with_states"	"IN"	"JJ"	"NNS"	"VB"	"RB"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rhode_island"	"reimburseable"	"rate"	"of"	"per"	"mile"	"use"	"of"	"personally-owned"	"cars"	"compare"	"favorably"	"with"	"states"	"rates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"favorably"	"recently"	"with"	"recently_and"	"and_favorably"	"favorably_with"	"administrative_officials_recently_and"	"recently_and_favorably"	"and_favorably_with"	"favorably_with_states"	"NN"	"RB"	"CC"	"VB"	"RB"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"travel_allowances"	"include"	"subsistence"	"have"	"been"	"by"	"administrative_officials"	"recently"	"and"	"compare"	"favorably"	"with"	"states"	"allowances"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"per_cent"	"to"	"10"	"october"	"10_per_cent"	"per_cent_to"	"to_october"	"up_to_10_per_cent"	"10_per_cent_to"	"per_cent_to_october"	"to_october_,"	"JJ"	"CD"	"NN"	"VB"	"TO"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maryland"	"contracts"	"for"	"future"	"construction"	"during"	"total"	"up_to"	"per_cent"	"compare"	"to"	"october"	"f._w._dodge"	"dodge_corporation"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"increase"	"to"	"per_cent"	"the"	"per_cent_increase"	"increase_to"	"to_the"	"4_per_cent_increase"	"per_cent_increase_to"	"increase_to_the"	"to_the_corresponding"	"CD"	"NN"	"NN"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cumulative"	"total"	"of"	"construction"	"contracts"	"for"	"the"	"first"	"ten"	"of"	"amount"	"to"	"a"	"per_cent"	"increase"	"compare"	"to"	"the"	"corresponding"	"period"	"of"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"to"	"∅"	"the"	"∅_∅"	"∅_to"	"to_the"	"∅_∅_∅"	"∅_∅_to"	"∅_to_the"	"to_the_big"	"ε"	"ε"	"ε"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"big"	"established"	"magazines"	"my"	"first"	"efforts"	"seem"	"feeble"	"indeed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"mrs._b."	"her"	"∅"	"feelings"	"∅_mrs._b."	"mrs._b._her"	"her_feelings"	"∅_∅_mrs._b."	"∅_mrs._b._her"	"mrs._b._her_feelings"	"her_feelings_of"	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"compare"	"her"	"feelings"	"of"	"weakness"	"to"	"her"	"feelings"	"of"	"weakness"	"and"	"helplessness"	"at_the_time"	"of"	"her"	"mother"	"death"	"when"	"she"	"be"	"eight"	"as_well"	"as"	"her"	"subsequent"	"anger"	"at"	"her"	"father"	"for"	"remarry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
