"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"1:18:04::"	","	"''"	"say"	"."	"say_,"	",_''"	"''_."	"to_say_,"	"say_,_''"	",_''_."	"''_._∅"	"VB"	"VB"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"person"	"be_quiet"	"for"	"a"	"moment"	"long"	"then"	"he"	"say"	"there"	"nothing"	"i"	"want"	"to"	"captain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	","	"''"	"step"	"?"	"step_,"	",_''"	"''_?"	"next_step_,"	"step_,_''"	",_''_?"	"''_?_∅"	"JJ"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"the"	"step"	"captain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"."	"see"	"∅"	"see_the"	"the_."	"._∅"	"to_see_the"	"see_the_."	"the_._∅"	"._∅_∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"there"	"be"	"a"	"tap"	"at"	"the"	"door"	"and"	"person"	"enter"	"with"	"the"	"word"	"person"	"wish"	"see"	"the"	"captain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"''"	"with"	","	"with_the"	"the_''"	"''_,"	"agree_with_the"	"with_the_''"	"the_''_,"	"''_,_person"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"i"	"agree"	"the"	"captain"	"person"	"say"	"thoughtfully"	"but"	"the"	"conspiracy"	"be"	"ferocious"	"and"	"desperate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"a"	"should"	"as"	"with"	"as_a"	"a_should"	"should_with"	"deck_as_a"	"as_a_should"	"a_should_with"	"should_with_assurance"	"NN"	"RB"	"DT"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"a"	"while"	"he"	"dry"	"his"	"tear"	"walk"	"the"	"deck"	"as"	"a"	"captain"	"should"	"with"	"assurance"	"and"	"dignity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"``"	","	","	"may"	",_``"	"``_,"	",_may"	"say_,_``"	",_``_,"	"``_,_may"	",_may_i"	"VB"	"ε"	"ε"	"NN"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"captain"	"may"	"i"	"speak"	"please"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	","	"''"	"innocent"	","	"innocent_,"	",_''"	"''_,"	"be_innocent_,"	"innocent_,_''"	",_''_,"	"''_,_person"	"VB"	"JJ"	"ε"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"captain"	"person"	"say"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:03::"	"many"	"of"	"as"	"the"	"as_many"	"many_of"	"of_the"	",_as_many"	"as_many_of"	"many_of_the"	"of_the_era"	"ε"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"of"	"quell"	"dissension"	"as"	"many"	"captain"	"of"	"the"	"era"	"would"	"have"	"do"	"person"	"lop_off"	"a"	"man"	"head"	"off"	"under"	"similar"	"circumstance"	"person"	"decide"	"to"	"be"	"reasonable"	
"1:18:05::"	"the"	";"	"to"	"it"	"to_the"	"the_;"	";_it"	"crocked_to_the"	"to_the_;"	"the_;_it"	";_it_would"	"JJ"	"TO"	"DT"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"look"	"crocked"	"to"	"the"	"captain"	"it"	"would"	"be"	"just"	"like"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:05::"	","	"''"	"faint"	"."	"faint_,"	",_''"	"''_."	"the_faint_,"	"faint_,_''"	",_''_."	"''_._∅"	"DT"	"JJ"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"n't"	"faint"	"captain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
