"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:33:00::"	"which"	"our"	"problem"	"local"	"problem_which"	"which_our"	"our_local"	"continuous_problem_which"	"problem_which_our"	"which_our_local"	"our_local_and"	"JJ"	"NN"	"WDT"	"VB"	"PRP$"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"governor"	"write"	"miss_grant"	"that"	"he"	"has"	"concerned"	"for_some_time"	"with"	"the"	"continuous"	"problem"	"which"	"confront"	"our"	"local"	"and"	"state"	"law_enforcement"	"officers"	"as"	"a"	"result"	"of"	"the"	"laws"	"regulate"	"sunday"	"sales"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	"with"	"we"	"here"	"we_are"	"are_with"	"with_here"	"what_we_are"	"we_are_with"	"are_with_here"	"with_here_be"	"WP"	"PRP"	"VBP"	"VB"	"IN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"obviously"	"we"	"are"	"confront"	"with"	"here"	"be"	"the"	"identification"	"of"	"professional"	"with"	"narrow"	"skills"	"and"	"specialization"	"the"	"effective"	"servicing"	"of"	"a"	"client"	"rather_than"	"responsiveness"	"to"	"the"	"wider"	"and"	"deeper"	"meaning"	"and"	"associations"	"of"	"one"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"was"	"with"	"mr._kennedy"	"a"	"mr._kennedy_was"	"was_with"	"with_a"	",_mr._kennedy_was"	"mr._kennedy_was_with"	"was_with_a"	"with_a_delicate"	"ε"	"NNP"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"when"	"premier_khrushchev"	"intimate"	"even"	"before"	"inauguration"	"that"	"he"	"hope"	"an"	"early"	"meeting"	"with"	"the"	"new"	"president"	"mr._kennedy"	"was"	"confront"	"with"	"a"	"delicate"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"suddenly"	"the"	"dictator_fidel_castro"	"u._s."	"dictator_fidel_castro_suddenly"	"suddenly_the"	"the_u._s."	",_dictator_fidel_castro_suddenly"	"dictator_fidel_castro_suddenly_the"	"suddenly_the_u._s."	"the_u._s._with"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hours"	"after"	"a"	"parade"	"of"	"his"	"soviet"	"tanks"	"and"	"artillery"	"dictator_fidel_castro"	"suddenly"	"confront"	"the"	"u._s."	"with"	"a"	"blunt"	"and"	"drastic"	"demand"	"within"	"hours"	"the"	"u._s."	"had"	"to"	"reduce"	"its"	"embassy"	"and"	"consulate"	"staffs"	"in"	"cuba"	"to"	"a"	"total"	"of"	"eleven"	"persons"	"the"	"embassy"	"staff"	"alone"	"total"	"u._s."	"citizens"	"plus"	"cuban"	"employees"	
"2:33:00::"	"daily"	"with"	"are"	"the"	"are_daily"	"daily_with"	"with_the"	"express_are_daily"	"are_daily_with"	"daily_with_the"	"with_the_sight"	"NN"	"VBP"	"JJ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"home-bound"	"subway"	"riders"	"the"	"flushing-main_street"	"express"	"are"	"daily"	"confront"	"with"	"the"	"sight"	"of"	"the"	"local"	"depart"	"from"	"the"	"woodside"	"station"	"as"	"their"	"express"	"comes_to"	"a"	"stop"	"leave"	"them"	"stranded"	"and"	"strained"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"with"	"∅"	"this"	"∅_∅"	"∅_with"	"with_this"	"∅_∅_∅"	"∅_∅_with"	"∅_with_this"	"with_this_situation"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"this"	"situation"	"most"	"libraries"	"either"	"endure"	"the"	"severe"	"limitations"	"of"	"their"	"budgets"	"and"	"do"	"what"	"they"	"can"	"with"	"what"	"they"	"have"	"or_else"	"depend_on"	"the"	"bounty"	"of"	"patrons"	"and"	"local_governments"	"to"	"supplement"	"their"	"annual"	"funds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"inevitably"	"a"	"which"	"new"	"which_inevitably"	"inevitably_a"	"a_new"	"problems_which_inevitably"	"which_inevitably_a"	"inevitably_a_new"	"a_new_congressman"	"NNS"	"WDT"	"RB"	"VB"	"DT"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"above_all"	"he"	"be"	"a"	"person"	"to"	"whom"	"a"	"fledgling"	"representative"	"go"	"to"	"discuss"	"the"	"personal"	"and"	"professional"	"problems"	"which"	"inevitably"	"confront"	"a"	"new"	"congressman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"problem"	"davis"	"constant"	"on"	"constant_problem"	"problem_davis"	"davis_on"	"a_constant_problem"	"constant_problem_davis"	"problem_davis_on"	"davis_on_any"	"DT"	"JJ"	"NN"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"problem"	"confront"	"davis"	"on"	"any"	"proposals"	"for"	"new"	"taxes"	"will"	"be"	"the"	"charge"	"by"	"his"	"foes"	"that"	"he"	"has"	"not"	"try"	"to"	"economize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mind"	"the"	"scientific"	"universe"	"scientific_mind"	"mind_the"	"the_universe"	"the_scientific_mind"	"scientific_mind_the"	"mind_the_universe"	"the_universe_,"	"DT"	"JJ"	"NN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"slim"	"book"	"while"	"give"	"the"	"reader"	"a"	"fleeting"	"glimpse"	"of"	"the"	"scientific"	"mind"	"confront"	"the"	"universe"	"have"	"the"	"appeal"	"that"	"informed"	"conversation"	"always"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"problems"	"the"	"foreign"	"united_states"	"foreign_problems"	"problems_the"	"the_united_states"	"and_foreign_problems"	"foreign_problems_the"	"problems_the_united_states"	"the_united_states_."	"CC"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"press"	"clamor"	"for"	"many"	"days"	"promise"	"president_kennedy"	"reply"	"to"	"the_most"	"vital"	"domestic"	"and"	"foreign"	"problems"	"confront"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"person"	"him"	"when"	"."	"when_person"	"person_him"	"him_."	",_when_person"	"when_person_him"	"person_him_."	"him_._∅"	"ε"	"WRB"	"NNP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"what"	"this"	"all"	"about"	"he"	"when"	"person"	"confront"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"by"	"to"	"something"	"to_be"	"be_by"	"by_something"	"move_on_to_be"	"to_be_by"	"be_by_something"	"by_something_far"	"VB"	"TO"	"VB"	"VB"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"another"	"second"	"or"	"two"	"he"	"give_in"	"to"	"the"	"annoyance"	"was"	"direct"	"at"	"himself"	"then"	"his"	"mind"	"move_on"	"to"	"be"	"confront"	"by"	"something"	"far"	"more"	"serious"	"and"	"as"	"the"	"thought"	"expand"	"the"	"implication"	"jar"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"is"	"."	"he"	"∅"	"he_is"	"is_."	"._∅"	"which_he_is"	"he_is_."	"is_._∅"	"._∅_∅"	"WDT"	"PRP"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"will"	"not"	"be"	"surprised"	"to"	"find"	"that"	"general"	"principle"	"conflicting"	"result"	"in"	"the"	"factual"	"situation"	"with"	"which"	"he"	"is"	"confront"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"himself"	"with"	"find"	"a"	"find_himself"	"himself_with"	"with_a"	"person_find_himself"	"find_himself_with"	"himself_with_a"	"with_a_phalanx"	"NNP"	"VB"	"PRP"	"VB"	"IN"	"DT"	"NN"	"like"	"the"	"person"	"enjoy"	"and"	"love"	"live"	"together"	"even"	"in"	"troubled"	"times"	"and"	"as"	"in"	"the"	"person"	"home"	"any"	"young_man"	"who"	"call"	"on"	"the"	"person"	"find"	"himself"	"with"	"a"	"phalanx"	"of"	"femininity"	"which"	"make"	"it"	"rather"	"difficult"	"to"	"direct"	"his"	"particular"	"attention"	"to"	"any"	"one"	"of"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"were"	"with"	"person"	"a"	"person_were"	"were_with"	"with_a"	"and_person_were"	"person_were_with"	"were_with_a"	"with_a_unique"	"CC"	"NNP"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"then"	"person"	"and"	"person"	"were"	"confront"	"with"	"a"	"unique"	"dilemma"	"they"	"had"	"to"	"choose"	"between"	"illusion"	"and"	"representation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
