"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"1:26:00::"	","	"counselor"	"home"	"report"	"home_,"	",_counselor"	"counselor_report"	"american_home_,"	"home_,_counselor"	",_counselor_report"	"counselor_report_,"	"JJ"	"NN"	"ε"	"NN"	"NN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"growing"	"of"	"american"	"home"	"marriage"	"counselor"	"report"	"the"	"wife"	"is"	"take"	"a"	"commanding"	"role"	"in"	"sexual_relationship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"''"	"in"	"old-fashioned"	"which"	"old-fashioned_''"	"''_in"	"in_which"	"``_old-fashioned_''"	"old-fashioned_''_in"	"''_in_which"	"in_which_the"	"ε"	"JJ"	"ε"	"NN"	"RB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"there"	"remain"	"old-fashioned"	"marriage"	"in"	"which"	"the"	"husband"	"maintain"	"his"	"supremacy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"and"	"counselor"	"psychologist"	"agree"	"psychologist_and"	"and_counselor"	"counselor_agree"	"many_psychologist_and"	"psychologist_and_counselor"	"and_counselor_agree"	"counselor_agree_that"	"JJ"	"NN"	"CC"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"psychologist"	"and"	"marriage"	"counselor"	"agree"	"that"	"domination"	"of"	"the"	"sex"	"relationship"	"by"	"one"	"partner"	"or"	"the"	"other"	"be"	"unhealthy"	"and"	"even"	"dangerous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"can"	"``"	"survive"	"``_a"	"a_can"	"can_survive"	"∅_``_a"	"``_a_can"	"a_can_survive"	"can_survive_almost"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marriage"	"can"	"survive"	"almost"	"any"	"kind"	"of"	"stress"	"except"	"an"	"open"	"and"	"direct"	"challenge"	"to"	"the"	"husband"	"maleness"	"declare"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"counselor"	"by"	"."	"by_a"	"a_counselor"	"counselor_."	"describe_by_a"	"by_a_counselor"	"a_counselor_."	"counselor_._∅"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"typical"	"be"	"the"	"case"	"of"	"suburban"	"long_island"	"housewife"	"describe"	"by"	"a"	"marriage"	"counselor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"like"	"partner"	"these"	"partner_in"	"in_like"	"like_these"	"the_partner_in"	"partner_in_like"	"in_like_these"	"like_these_can"	"DT"	"NN"	"IN"	"NN"	"JJ"	"DT"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expert"	"say"	"partner"	"in"	"marriage"	"like"	"these"	"can"	"almost"	"be"	"type"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"for"	"."	"career"	"∅"	"career_for"	"for_."	"._∅"	"promising_career_for"	"career_for_."	"for_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"be"	"likely"	"to"	"be"	"young"	"sophisticated"	"smart_as_a_whip"	"often"	"girl"	"who"	"has"	"sacrifice"	"a"	"promising"	"career"	"for"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"in"	"."	"dominant"	"∅"	"dominant_in"	"in_."	"._∅"	"demandingly_dominant_in"	"dominant_in_."	"in_._∅"	"._∅_∅"	"RB"	"JJ"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sometimes"	"this"	"lead"	"to"	"become"	"demandingly"	"dominant"	"in"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"topsy-turvy"	"than"	"for"	"their"	"for_topsy-turvy"	"topsy-turvy_than"	"than_their"	"blame_for_topsy-turvy"	"for_topsy-turvy_than"	"topsy-turvy_than_their"	"than_their_wife"	"VB"	"IN"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"psychologist"	"in_fact"	"suggest"	"that"	"career"	"bound"	"husband"	"be"	"more"	"to"	"blame"	"for"	"topsy-turvy"	"marriage"	"than"	"their"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"bed"	"include"	"."	"include_the"	"the_bed"	"bed_."	",_include_the"	"include_the_bed"	"the_bed_."	"bed_._∅"	"ε"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"family"	"survival"	"on"	"our"	"own"	"western"	"frontier"	"for_example"	"could"	"quite"	"literally"	"depend_on"	"a"	"man"	"strength"	"and"	"ability"	"to"	"bring_home_the_bacon"	"and"	"the"	"wife"	"seldom"	"question"	"his"	"judgment"	"about"	"anything"	"include"	"the"	"marriage"	"bed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"."	"shake"	"∅"	"shake_the"	"the_."	"._∅"	"to_shake_the"	"shake_the_."	"the_._∅"	"._∅_∅"	"TO"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"expert"	"say"	"however"	"that"	"if"	"sexual"	"domination"	"by"	"one"	"or"	"the"	"partner"	"exist"	"longer"	"than"	"a"	"brief"	"period"	"it"	"be"	"likely"	"to"	"shake"	"the"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"back"	"get"	"where"	"get_a"	"a_back"	"back_where"	"to_get_a"	"get_a_back"	"a_back_where"	"back_where_it"	"TO"	"VB"	"DT"	"NN"	"RB"	"WRB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"a"	"marriage"	"back"	"where"	"it"	"belong"	"comment"	"person"	"of"	"the"	"group"	"the"	"husband"	"must"	"take"	"some"	"very"	"basic"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
