"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:32:01::"	"may"	"ambiguity"	"cetera"	"or"	"cetera_may"	"may_ambiguity"	"ambiguity_or"	"et_cetera_may"	"cetera_may_ambiguity"	"may_ambiguity_or"	"ambiguity_or_uncertainty"	"FW"	"NN"	"MD"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stammering"	"or"	"repetition"	"of"	"i"	"you"	"he"	"et"	"cetera"	"may"	"signal"	"ambiguity"	"or"	"uncertainty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"texas"	","	"in"	"once_again"	"in_texas"	"texas_,"	",_once_again"	"victory_in_texas"	"in_texas_,"	"texas_,_once_again"	",_once_again_,"	"NN"	"IN"	"NNP"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"defeat"	"louis_capet"	"john_tower"	"victory"	"texas"	"signal"	"once_again"	"the"	"end"	"of"	"the"	"divine"	"right"	"of"	"liberalism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"fiedler"	"``"	","	"release"	",_fiedler"	"fiedler_``"	"``_release"	"feet_,_fiedler"	",_fiedler_``"	"fiedler_``_release"	"``_release_''"	"NNS"	"ε"	"NNP"	"VB"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"feet"	"signal"	"release"	"and"	"start"	"the"	"roaring"	"pulse-jet"	"engine"	"then"	"streak"	"away"	"from"	"beneath"	"the"	"heinkel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"that"	"him"	"tonight"	"him_the"	"the_that"	"that_tonight"	"flash_him_the"	"him_the_that"	"the_that_tonight"	"that_tonight_be"	"VB"	"PRP"	"DT"	"NN"	"WDT"	"RB"	"VB"	"the"	"pattern"	"say"	"person"	"psychologist"	"at"	"new_york"	"group"	"be"	"for"	"the"	"husband"	"to"	"hover"	"about"	"anxiously"	"and"	"eagerly"	"virtually"	"tremble"	"in"	"hope"	"that"	"she"	"will"	"flash"	"him"	"the"	"that"	"tonight"	"be"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"video"	"is"	"the"	"amplify"	"the_video"	"video_is"	"is_amplify"	"∅_the_video"	"the_video_is"	"video_is_amplify"	"is_amplify_and"	"ε"	"DT"	"NN"	"NN"	"VBZ"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"video"	"signal"	"is"	"amplify"	"and"	"then"	"switch"	"in"	"synchronism"	"with"	"the"	"three"	"ultraviolet_light"	"source"	"which"	"are"	"sequence"	"by"	"the"	"rotating"	"mirror"	"so"	"that"	"during"	"one-twentieth"	"of"	"a"	"second"	"only"	"one"	"wavelength"	"correspond"	"to"	"red"	"green"	"or"	"blue"	"is"	"see"	
"1:10:00::"	"ultrasonic"	"proceed"	"of"	"fairly"	"of_ultrasonic"	"ultrasonic_proceed"	"proceed_fairly"	"transmission_of_ultrasonic"	"of_ultrasonic_proceed"	"ultrasonic_proceed_fairly"	"proceed_fairly_well"	"NN"	"IN"	"JJ"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"body"	"contain"	"so"	"liquid"	"transmission"	"of"	"ultrasonic"	"signal"	"proceed"	"fairly"	"well"	"in"	"muscle"	"and"	"blood_vessel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"to"	"give"	"obey"	"give_the"	"the_to"	"to_obey"	"had_give_the"	"give_the_to"	"the_to_obey"	"to_obey_."	"VBD"	"VB"	"DT"	"NN"	"TO"	"VB"	"ε"	"0"	"and"	"it"	"was"	"clear"	"that"	"person"	"be"	"not"	"mistaken"	"for"	"both"	"person"	"and"	"person"	"take"	"no"	"step"	"toward"	"aid"	"in"	"the"	"sending"	"up"	"the"	"new"	"topgallant_mast"	"till"	"had"	"give"	"the"	"signal"	"to"	"obey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"."	"glance"	"∅"	"glance_and"	"and_."	"._∅"	"by_glance_and"	"glance_and_."	"and_._∅"	"._∅_∅"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"follower"	"be"	"openly"	"sullen"	"and"	"morose"	"miss"	"muster"	"without"	"excuse"	"express"	"in"	"ominous"	"tone"	"their"	"displeasure"	"at"	"the"	"prisoner"	"being"	"keep"	"in"	"irons"	"communicate"	"the"	"three"	"by"	"glance"	"signal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"in"	"."	"hand"	"∅"	"hand_in"	"in_."	"._∅"	"a_hand_in"	"hand_in_."	"in_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"reappear"	"stop"	"on"	"the"	"hotel"	"lift"	"a"	"hand"	"in"	"signal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"when"	"give"	"he"	"give_a"	"a_when"	"when_he"	"and_give_a"	"give_a_when"	"a_when_he"	"when_he_first"	"CC"	"VB"	"DT"	"NN"	"WRB"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"two"	"thirty"	"he"	"send"	"person"	"to"	"top"	"of"	"the"	"wall"	"at"	"the"	"northeast"	"corner"	"of"	"mission"	"to"	"keep_an_eye_on"	"the"	"ridge"	"road"	"and"	"give"	"a"	"signal"	"when"	"he"	"first"	"glimpse"	"the"	"approach"	"of"	"person"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
