"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"1:09:00::"	"this"	"of"	"of"	"the"	"of_this"	"this_of"	"of_the"	"facet_of_this"	"of_this_of"	"this_of_the"	"of_the_literary"	"NN"	"RB"	"RB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"of"	"this"	"aspect"	"of"	"the"	"literary"	"process"	"have"	"special"	"significance"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"peripheral"	"of_this"	"some"	"influence"	"some_peripheral"	"peripheral_of_this"	"of_this_influence"	"indicate_some_peripheral"	"some_peripheral_of_this"	"peripheral_of_this_influence"	"of_this_influence_."	"VB"	"JJ"	"JJ"	"NN"	"RB"	"NN"	"ε"	"0"	"0"	"0"	"still"	"it"	"would"	"be"	"surprising"	"if"	"what"	"one"	"read"	"did"	"not"	"contribute"	"to"	"one"	"idea"	"of"	"right"	"and"	"wrong"	"certainly"	"the"	"awakened"	"alarm"	"over"	"the"	"comic_book"	"and"	"the"	"continuous"	"concern"	"over"	"prurient"	"literature"	"indicate"	"peripheral"	"aspect"	"of_this"	"influence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"vital"	"of"	"endanger"	"our"	"endanger_vital"	"vital_of"	"of_our"	"without_endanger_vital"	"endanger_vital_of"	"vital_of_our"	"of_our_security"	"IN"	"VB"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"task"	"of"	"provide"	"a"	"reasonable"	"of"	"military"	"strength"	"without"	"endanger"	"vital"	"aspect"	"of"	"our"	"security"	"is"	"greatly"	"complicate"	"by"	"the"	"swift"	"pace"	"of"	"scientific"	"progress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"from"	"of"	","	"a"	",_from"	"from_of"	"of_a"	"that_is_,_from"	",_from_of"	"from_of_a"	"of_a_universal"	"RB"	"ε"	"IN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"number"	"of"	"nineteenth"	"century"	"development"	"contribute"	"to"	"the"	"of"	"the"	"law_of_nations"	"into"	"international_law"	"that_is"	"from"	"aspect"	"of"	"a"	"universal"	"system"	"of"	"justice"	"into"	"particular"	"rule"	"govern"	"the"	"relations"	"of"	"sovereign"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"to"	"of"	"it"	"nineteenth"	"it_to"	"to_of"	"of_nineteenth"	"relate_it_to"	"it_to_of"	"to_of_nineteenth"	"of_nineteenth_century"	"VB"	"PRP"	"TO"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"appreciate"	"this"	"development"	"must"	"relate"	"it"	"to"	"aspect"	"of"	"nineteenth"	"century"	"philosophy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"some"	"of"	","	"the"	",_some"	"some_of"	"of_the"	"therapist_,_some"	",_some_of"	"some_of_the"	"of_the_therapist"	"NN"	"ε"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"particularly"	"hard"	"for"	"the"	"therapist"	"to"	"grasp"	"be"	"those"	"instance"	"in_which"	"the"	"is"	"manifest"	"an"	"introject"	"traceable"	"to"	"something"	"in"	"the"	"therapist"	"some"	"aspect"	"of"	"the"	"therapist"	"of"	"which"	"the"	"latter"	"be"	"himself"	"only"	"poorly"	"aware"	"and"	"the"	"recognition"	"of"	"which"	"as"	"a"	"part"	"of"	"himself"	"he"	"find"	"distinctly"	"unwelcome"	
"1:07:02::"	"conceptual"	"of"	"or"	"literature"	"or_conceptual"	"conceptual_of"	"of_literature"	"thematic_or_conceptual"	"or_conceptual_of"	"conceptual_of_literature"	"of_literature_and"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"recent"	"year"	"we"	"have"	"come"	"increasingly"	"to"	"recognize"	"that"	"idea"	"have"	"history"	"and"	"that"	"not"	"the"	"least"	"important"	"chapter"	"of"	"history"	"have"	"to"	"do"	"with"	"thematic"	"or"	"conceptual"	"aspect"	"of"	"literature"	"and"	"the"	"art"	"although"	"these"	"aspect"	"should"	"be"	"study"	"in_conjunction_with"	"the"	"history"	"of"	"philosophy"	"of"	"religion"	"and"	"of"	"the"	"science"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"these"	"should"	"although"	"be"	"although_these"	"these_should"	"should_be"	",_although_these"	"although_these_should"	"these_should_be"	"should_be_study"	"ε"	"IN"	"DT"	"NN"	"MD"	"VB"	"VB"	"year"	"we"	"have"	"come"	"increasingly"	"to"	"recognize"	"that"	"idea"	"have"	"a"	"history"	"and"	"that"	"not"	"the"	"least"	"important"	"chapter"	"of"	"this"	"history"	"have"	"to"	"do"	"with"	"thematic"	"or"	"conceptual"	"aspect"	"of"	"literature"	"and"	"the"	"art"	"although"	"these"	"should"	"be"	"study"	"in_conjunction_with"	"the"	"history"	"of"	"philosophy"	"of"	"religion"	"and"	"of"	"the"	"science"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"every"	"of"	"almost"	"school"	"almost_every"	"every_of"	"of_school"	"permeate_almost_every"	"almost_every_of"	"every_of_school"	"of_school_progress"	"VB"	"RB"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"primary"	"grade"	"permeate"	"almost"	"every"	"aspect"	"of"	"school"	"progress"	"and"	"the"	"child"	"early"	"experience"	"of"	"success"	"or"	"failure"	"in"	"learn"	"to"	"read"	"often"	"set"	"a"	"pattern"	"of"	"total"	"achievement"	"that"	"be"	"relatively"	"enduring"	"throughout"	"the"	"following"	"year"	"0"	"0"	"0"	
"1:09:00::"	"striking"	"of"	"most"	"the"	"most_striking"	"striking_of"	"of_the"	"the_most_striking"	"most_striking_of"	"striking_of_the"	"of_the_interaction"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"striking"	"aspect"	"of"	"the"	"interaction"	"demonstrate"	"be"	"the"	"marked"	"decrement"	"in"	"performance"	"suffer"	"by"	"the"	"highly"	"anxious"	"child"	"in"	"unstructured"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
