"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"1:10:00::"	"super"	","	"a"	"had"	"a_super"	"super_,"	",_had"	",_a_super"	"a_super_,"	"super_,_had"	",_had_been"	"ε"	"DT"	"JJ"	"NN"	"ε"	"VBD"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"lovely"	"caller"	"person"	"be"	"her"	"name"	"had"	"previously"	"do"	"three"	"filmed"	"for"	"zing"	"and"	"this_evening"	"the"	"fourth"	"a"	"super"	"production"	"had"	"been"	"film"	"at"	"the"	"home"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"∅"	"may"	"∅"	"fall"	"∅_∅"	"∅_may"	"may_fall"	"∅_∅_∅"	"∅_∅_may"	"∅_may_fall"	"may_fall_far"	"ε"	"ε"	"ε"	"NN"	"MD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"may"	"fall"	"far"	"below"	"expectation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"high"	"per"	"as"	"hen"	"as_high"	"high_per"	"per_hen"	"get_as_high"	"as_high_per"	"high_per_hen"	"per_hen_,"	"VB"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"part-time"	"farmer"	"need"	"skill"	"to"	"get"	"as"	"high"	"production"	"per"	"hen"	"per"	"cow"	"or"	"per"	"acre"	"as"	"can"	"be"	"obtain"	"by"	"a"	"competent"	"full-time"	"farmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	","	"volume"	"and"	"volume_,"	",_,"	",_and"	"sale_volume_,"	"volume_,_,"	",_,_and"	",_and_distribution_cost"	"NN"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"there"	"individual"	"in"	"your"	"organization"	"who"	"can"	"shepherd"	"a"	"new"	"product"	"to"	"commercialization"	"who"	"can"	"develop"	"reliable"	"estimate"	"of"	"sale"	"volume"	"production"	"and"	"distribution_cost"	"and"	"translate"	"the"	"whole"	"into"	"profit_and_loss"	"and"	"balance_sheet"	"figure"	"which"	"management"	"can"	"act_on"	"with"	"some"	"assurance"	
"1:04:00::"	"a"	"employee"	"before"	"be"	"before_a"	"a_employee"	"employee_be"	"work_before_a"	"before_a_employee"	"a_employee_be"	"employee_be_entitled"	"VB"	"IN"	"DT"	"NN"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"make"	"sure"	"you"	"have"	"reasonable"	"as"	"to"	"hours"	"work"	"before"	"a"	"production"	"employee"	"be"	"entitled"	"to"	"a"	"vacation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"large-scale"	"of"	"the"	"water"	"the_large-scale"	"large-scale_of"	"of_water"	"for_the_large-scale"	"the_large-scale_of"	"large-scale_of_water"	"of_water_of"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"increasing"	"shortage"	"of"	"usable"	"surface"	"and"	"ground_water"	"in"	"many"	"part"	"of"	"the"	"nation"	"and"	"the"	"importance"	"of"	"find"	"new"	"source"	"of"	"supply"	"to"	"meet"	"its"	"present"	"and"	"future"	"water"	"need"	"it"	"be"	"the"	"policy"	"of"	"the"	"congress"	"to"	"provide_for"	"the"	"development"	"of"	"practicable"	"low-cost"	"means"	"for"	"the"	"large-scale"	"of"	"water"	"of"	"a"	"quality"	"suitable"	"for"	"municipal"	"industrial"	"agricultural"	"and"	"beneficial"	"consumptive"	"use"	"from"	"saline"	"water"	"and"	"for"	"study"	"and"	"research"	"related"	"thereto"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"discourage"	"idea"	"discourage_the"	"the_of"	"of_idea"	"we_discourage_the"	"discourage_the_of"	"the_of_idea"	"of_idea_:"	"PRP"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by_no_means"	"would"	"discourage"	"the"	"production"	"of"	"idea"	"they"	"provide"	"raw_material"	"with"	"which"	"to"	"work"	"they"	"provide"	"stimulation"	"that"	"lead"	"to"	"further"	"production"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"further"	"."	"to"	"∅"	"to_further"	"further_."	"._∅"	"lead_to_further"	"to_further_."	"further_._∅"	"._∅_∅"	"VB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by_no_means"	"would"	"we"	"discourage"	"the"	"production"	"of"	"idea"	"they"	"provide"	"raw_material"	"which"	"to"	"work"	"they"	"provide"	"stimulation"	"that"	"lead"	"to"	"further"	"production"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"for"	"rent"	"for_the"	"the_of"	"of_rent"	"property_for_the"	"for_the_of"	"the_of_rent"	"of_rent_or"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"property"	"for"	"the"	"production"	"of"	"rent"	"or"	"royalty"	"you"	"subtract"	"in"	"compute"	"adjusted_gross_income"	"ordinary"	"and"	"necessary"	"expense"	"and"	"certain"	"deduction"	"attributable"	"to"	"the"	"property"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"group"	","	"a"	"need"	"a_group"	"group_,"	",_need"	",_a_group"	"a_group_,"	"group_,_need"	",_need_a"	"ε"	"DT"	"NNP"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"then"	"assistant"	"director"	"for"	"garrick_gaieties"	"a"	"group"	"production"	"need"	"a"	"lyricist"	"for"	"a"	"song"	"he"	"had"	"write"	"he"	"just"	"happened"	"not"	"to"	"need"	"any"	"actor"	"at"	"the"	"moment"	"however"	"0"	"0"	"0"	"0"	
