"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:32:01::"	"above"	"a"	"quote"	"successful"	"quote_above"	"above_a"	"a_successful"	"figures_quote_above"	"quote_above_a"	"above_a_successful"	"a_successful_year"	"NNS"	"VB"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expansion"	"and"	"relocation"	"of"	"industry"	"in"	"rhode_island"	"be"	"the"	"direct"	"of"	"the"	"development_council"	"industrial_division"	"and"	"the"	"figures"	"quote"	"above"	"indicate"	"a"	"successful"	"year"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"statements"	"their"	"make"	"guilt"	"make_statements"	"statements_their"	"their_guilt"	"trial_make_statements"	"make_statements_their"	"statements_their_guilt"	"their_guilt_at_the_time"	"NN"	"VB"	"NNS"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"defendants"	"in"	"the"	"police"	"burglary"	"trial"	"make"	"statements"	"indicate"	"their"	"guilt"	"at_the_time"	"of"	"their"	"arrest"	"judge_james_b._parsons"	"was"	"tell"	"in"	"criminal_court"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"∅"	"the"	"∅"	"way"	"∅_∅"	"∅_the"	"the_way"	"∅_∅_∅"	"∅_∅_the"	"∅_the_way"	"the_way_in_which"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"way"	"in_which"	"he"	"has"	"turn"	"his"	"back"	"on"	"his"	"philosophy"	"mr._reama"	"say"	"a"	"socialist"	"be"	"a"	"person"	"who"	"believe_in"	"divide"	"everything"	"he"	"does"	"not"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	","	","	"``"	",_he"	"he_,"	",_``"	"''_,_he"	",_he_,"	"he_,_``"	",_``_and"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"most"	"immediate"	"goal"	"be"	"to"	"increase"	"awareness"	"of"	"the"	"movement"	"he"	"indicate"	"and"	"to"	"tell"	"them"	"what"	"this"	"will"	"mean"	"for"	"the"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"to"	"that"	"house"	"any"	"house_to"	"to_that"	"that_any"	"entire_house_to"	"house_to_that"	"to_that_any"	"that_any_of"	"JJ"	"NN"	"TO"	"VB"	"IN"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"were"	"two"	"front_rooms"	"both"	"dark"	"behind"	"their"	"transoms"	"and"	"there"	"no"	"sound"	"or"	"light"	"in"	"the"	"entire"	"house"	"to"	"indicate"	"that"	"any"	"of"	"the"	"occupants"	"be"	"awake"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"does"	"festivities"	"she"	"will"	"she_does"	"does_festivities"	"festivities_will"	"but_she_does"	"she_does_festivities"	"does_festivities_will"	"festivities_will_start"	"CC"	"PRP"	"VBZ"	"VB"	"NNS"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"does"	"indicate"	"festivities"	"will"	"start"	"early"	"that"	"a"	"jazz"	"combo"	"will"	"give"	"with"	"the"	"basin_street"	"beat"	"during"	"the"	"cocktail"	"and"	"dinner"	"hours"	"and"	"that"	"lester_lanin"	"orchestra"	"will"	"take_over"	"during"	"the"	"dancing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"can"	"some"	"we"	"aspects"	"we_can"	"can_some"	"some_aspects"	",_we_can"	"we_can_some"	"can_some_aspects"	"some_aspects_of"	"ε"	"PRP"	"MD"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"a"	"complete"	"picture"	"be"	"give"	"we"	"can"	"indicate"	"some"	"aspects"	"of"	"life"	"into"	"which"	"the"	"christian"	"faith"	"enter"	"as"	"at_least"	"one"	"creative"	"factor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"a"	"word"	"waterfront"	"word_,"	",_a"	"a_waterfront"	"new_word_,"	"word_,_a"	",_a_waterfront"	"a_waterfront_type"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yachtel"	"a"	"relatively"	"word"	"indicate"	"a"	"waterfront"	"type"	"of"	"hotel"	"where"	"a"	"yachtsman"	"may"	"dock"	"and"	"find"	"overnight"	"accommodations"	"on"	"the"	"premises"	"as_well"	"as"	"services"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"need"	"in"	"of"	"the"	"of_need"	"need_in"	"in_the"	"rate_of_need"	"of_need_in"	"need_in_the"	"in_the_early"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"of"	"need"	"indicate"	"in"	"the"	"early"	"weeks"	"of"	"the"	"month"	"this"	"could"	"mean"	"a"	"shortage"	"of"	"as"	"high"	"as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"name"	","	"the"	"be"	"the_name"	"name_,"	",_be"	"as_the_name"	"the_name_,"	"name_,_be"	",_be_the"	"IN"	"DT"	"NN"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"john_harvey"	"arrive"	"in"	"bari"	"a"	"port"	"on"	"the"	"adriatic"	"on"	"november"	"make"	"for"	"porto_nuovo"	"which"	"as"	"the"	"name"	"indicate"	"be"	"the"	"ancient"	"city"	"new"	"and"	"modern"	"harbor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
