"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:32:00::"	"survey"	"there"	"recent"	"be"	"recent_survey"	"survey_there"	"there_be"	"a_recent_survey"	"recent_survey_there"	"survey_there_be"	"there_be_about"	"DT"	"JJ"	"NN"	"VB"	"EX"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"survey"	"disclose"	"there"	"be"	"about"	"commercially"	"and"	"municipally"	"operated"	"marinas"	"and"	"boatyards"	"in"	"the"	"united_states"	"the"	"majority"	"of_which"	"be"	"equipped"	"to"	"handle"	"outboard"	"boats"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"source"	","	"official"	"that"	"official_source"	"source_,"	",_that"	"high_official_source"	"official_source_,"	"source_,_that"	",_that_the"	"JJ"	"NN"	"NN"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"early"	"in"	"his"	"administration"	"he"	"inform"	"the"	"through"	"diplomatic"	"channels"	"a"	"high"	"official"	"source"	"disclose"	"that"	"the"	"new"	"administration"	"would"	"react"	"even"	"tougher"	"than"	"the"	"eisenhower"	"administration"	"would"	"during"	"the"	"formative"	"period"	"of"	"the"	"administration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"now"	"that"	"is"	"the"	"is_now"	"now_that"	"that_the"	"it_is_now"	"is_now_that"	"now_that_the"	"that_the_taxpayer"	"PRP"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"now"	"disclose"	"that"	"the"	"taxpayer"	"not_only"	"pay"	"for"	"high"	"wages"	"but"	"he"	"pay"	"the"	"employers"	"strike"	"expenses"	"when"	"the"	"latter"	"undertake"	"to"	"fight"	"a"	"strike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"us"	"that"	"to"	"the"	"to_us"	"us_that"	"that_the"	"supply_to_us"	"to_us_that"	"us_that_the"	"that_the_railroad"	"VB"	"TO"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"additional"	"information"	"to"	"us"	"disclose"	"that"	"the"	"railroad"	"gain"	"a"	"stabilized"	"supply"	"of"	"telegraphers"	"of_which"	"it"	"be"	"in"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"have"	"that"	"leaders"	"this"	"leaders_have"	"have_that"	"that_this"	"church_leaders_have"	"leaders_have_that"	"have_that_this"	"that_this_development"	"NN"	"NNS"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interviews"	"with"	"church"	"leaders"	"have"	"disclose"	"that"	"this"	"development"	"has"	"raise"	"the"	"question"	"whether"	"the"	"peace_corps"	"will"	"be"	"able"	"to"	"prevent"	"confusion"	"for"	"church"	"and"	"state"	"over"	"methods"	"means"	"and"	"goals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"autopsy"	"a"	"an"	"large"	"an_autopsy"	"autopsy_a"	"a_large"	"∅_an_autopsy"	"an_autopsy_a"	"autopsy_a_large"	"a_large_amount"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"autopsy"	"disclose"	"a"	"large"	"amount"	"of"	"morphine"	"in"	"diane"	"body"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"captain"	"also"	"navy"	"that"	"navy_captain"	"captain_also"	"also_that"	"the_navy_captain"	"navy_captain_also"	"captain_also_that"	"also_that_a"	"DT"	"NN"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"captain"	"disclose"	"also"	"that"	"a"	"list"	"of"	"questions"	"find"	"in"	"miss"	"gee"	"purse"	"would"	"if"	"complete"	"and"	"hand"	"back"	"have"	"give"	"the"	"kremlin"	"a"	"complete"	"picture"	"of"	"our"	"current"	"anti-submarine"	"effort"	"and"	"would"	"have"	"show"	"what"	"we"	"are"	"do"	"in"	"research"	"and"	"development"	"for"	"the"	"future"	
"2:32:00::"	"stein"	"in"	","	"an"	",_stein"	"stein_in"	"in_an"	"1959_,_stein"	",_stein_in"	"stein_in_an"	"in_an_interview"	"CD"	"ε"	"NNP"	"VB"	"IN"	"DT"	"NN"	"louis_arger"	"draw"	"from"	"stein"	"janitor"	"firm"	"the"	"national_maintenance"	"company"	"in"	"years"	"end"	"in"	"stein"	"disclose"	"in"	"interview"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"that"	"violations"	"government"	"violations_,"	",_that"	"that_government"	"income_tax_violations_,"	"violations_,_that"	",_that_government"	"that_government_prosecutors"	"NN"	"NNS"	"ε"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"witnesses"	"after"	"appearances"	"before"	"the"	"jury"	"which"	"is"	"probe"	"into"	"income_tax"	"violations"	"disclose"	"that"	"government"	"prosecutors"	"were"	"attempt"	"to"	"connect"	"stein"	"and"	"his"	"company"	"with"	"a_number_of"	"gangsters"	"include"	"glimco"	"and"	"alex"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"."	"argument"	"∅"	"argument_is"	"is_."	"._∅"	"'s_argument_is"	"argument_is_."	"is_._∅"	"._∅_∅"	"POS"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"it"	"be"	"in"	"just"	"such"	"a"	"situation"	"the"	"profundity"	"of"	"person"	"argument"	"is"	"disclose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
