"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:32:00::"	"and"	"at"	"lenses"	"extreme"	"lenses_and"	"and_at"	"at_extreme"	"mm._lenses_and"	"lenses_and_at"	"and_at_extreme"	"at_extreme_range"	"NN"	"NNS"	"CC"	"VB"	"IN"	"JJ"	"NN"	"her"	"first"	"song"	"she"	"wave"	"away"	"one"	"encroaching"	"photographer"	"who"	"dare"	"approach"	"the"	"throne"	"unbidden"	"and"	"thereafter"	"the"	"boys"	"with"	"the"	"cameras"	"had_to"	"unsheathe"	"their"	"mm."	"and"	"shoot"	"at"	"extreme"	"range"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"all"	"in"	"terror"	"lovely"	"terror_all"	"all_in"	"in_lovely"	"and_terror_all"	"terror_all_in"	"all_in_lovely"	"in_lovely_sunny"	"CC"	"NN"	"DT"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"french"	"film"	"set"	"in"	"italy"	"be"	"a"	"splurge"	"in"	"shock"	"and"	"terror"	"all"	"shoot"	"in"	"lovely"	"sunny"	"scenery"	"so"	"breath-taking"	"that"	"at_times"	"you"	"almost"	"forget"	"the"	"horrors"	"the"	"movie"	"is"	"deal"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"atoms"	"away"	"surface"	"from_it"	"surface_atoms"	"atoms_away"	"away_from_it"	"with_surface_atoms"	"surface_atoms_away"	"atoms_away_from_it"	"away_from_it_."	"IN"	"NN"	"NNS"	"VB"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._lyttleton"	"then"	"imagine"	"the"	"universe"	"as"	"large"	"hydrogen"	"sphere"	"with"	"surface"	"atoms"	"shoot"	"away"	"from_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"can"	"the"	"you"	"dress"	"you_can"	"can_the"	"the_dress"	"where_you_can"	"you_can_the"	"can_the_dress"	"the_dress_parade"	"WRB"	"PRP"	"MD"	"VB"	"DT"	"NN"	"NN"	"from"	"new_york"	"for_example"	"you"	"can"	"take"	"a"	"one"	"or"	"two-day"	"tour"	"to"	"annapolis"	"maryland"	"to"	"see"	"the"	"colonial"	"homes"	"and"	"the"	"u._s."	"naval_academy"	"where"	"you"	"can"	"the"	"dress"	"parade"	"on"	"wednesdays"	"to"	"washington"	"d._c."	"for"	"an"	"eye-filling"	"tour"	"of"	"the"	"city"	"or"	"to"	"lancaster"	"pa."	"the"	"center"	"of"	"the"	"pennsylvania_dutch"	"country"	"philadelphia"	"with"	"its"	"historic"	"buildings"	"and"	"nearby"	"valley_forge"	"to"	"west_point"	"n._y."	"the"	"famous"	"military_academy"	"in"	"a"	"beautiful"	"setting"	"on"	"the"	"hudson_river"	
"2:32:01::"	"to"	"it"	"where"	"be"	"where_to"	"to_it"	"it_be"	"and_where_to"	"where_to_it"	"to_it_be"	"it_be_in_order"	"CC"	"WRB"	"TO"	"VB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"foliage"	"be"	"outstanding"	"photo"	"subject"	"in"	"many_of"	"the"	"southern"	"locales"	"mention"	"and"	"some"	"specific"	"tips"	"on"	"how"	"and"	"where"	"to"	"shoot"	"it"	"be"	"in_order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	","	"game"	"even"	"game_to"	"to_,"	",_even"	"still_game_to"	"game_to_,"	"to_,_even"	",_even_with"	"RB"	"NN"	"TO"	"VB"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"modern"	"resource"	"use"	"and"	"game"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"be"	"sportsman"	"to"	"sportsman_to"	"to_be"	"be_to"	"more_sportsman_to"	"sportsman_to_be"	"to_be_to"	"be_to_encourage"	"JJ"	"NN"	"TO"	"VB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"effective"	"way"	"to"	"more"	"place"	"for"	"more"	"sportsman"	"to"	"shoot"	"be"	"to"	"encourage"	"properly"	"manage"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"financed"	"park"	"privately"	","	"privately_financed"	"financed_park"	"park_,"	"and_privately_financed"	"privately_financed_park"	"financed_park_,"	"park_,_trap"	"CC"	"RB"	"JJ"	"VB"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"the"	"effort"	"of"	"group"	"shooting"	"development"	"program"	"these"	"shooting"	"activity"	"and"	"many"	"include"	"assist"	"in"	"the"	"development"	"public"	"and"	"privately"	"financed"	"shoot"	"park"	"trap"	"and"	"skeet"	"league"	"rifle"	"and"	"pistol"	"marksmanship"	"program"	"have"	"been"	"promote"	"to"	"mention"	"only"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"'m"	"''"	"i"	"!"	"i_'m"	"'m_''"	"''_!"	",_i_'m"	"i_'m_''"	"'m_''_!"	"''_!_∅"	"ε"	"PRP"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"god"	"shoot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"marksman"	"five"	"trained"	"round"	"trained_marksman"	"marksman_five"	"five_round"	"a_trained_marksman"	"trained_marksman_five"	"marksman_five_round"	"five_round_at"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"marksman"	"shoot"	"five"	"round"	"at"	"a"	"target"	"all"	"under"	"practically"	"the"	"same"	"condition"	"may"	"hit"	"the"	"bull's_eye"	"from"	"to"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
