"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"2:38:01::"	"of"	"into"	"instead"	"the"	"instead_of"	"of_into"	"into_the"	"∅_instead_of"	"instead_of_into"	"of_into_the"	"into_the_curb"	"ε"	"RB"	"IN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"pull"	"into"	"the"	"curb"	"shayne"	"increase"	"his"	"speed"	"slightly"	"to"	"the"	"corner"	"where"	"he"	"swing"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"in_order_to"	"the"	"wife"	"door"	"wife_in_order_to"	"in_order_to_the"	"the_door"	"his_wife_in_order_to"	"wife_in_order_to_the"	"in_order_to_the_door"	"the_door_open"	"PRP$"	"NN"	"RB"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dave"	"have"	"the"	"latch"	"under"	"his"	"thumb"	"now"	"he"	"remove"	"his"	"arm"	"from"	"his"	"wife"	"in_order_to"	"pull"	"the"	"door"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"him"	"her"	"feel"	"to"	"feel_him"	"him_her"	"her_to"	",_feel_him"	"feel_him_her"	"him_her_to"	"her_to_the"	"ε"	"VB"	"PRP"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"she"	"reach"	"dave"	"and"	"feel"	"arm"	"go"	"around"	"her"	"feel"	"him"	"pull"	"her"	"to"	"the"	"safety"	"of"	"his"	"person"	"she"	"know"	"with"	"the"	"certainty"	"of"	"despair"	"that"	"something"	"bad"	"had"	"happen"	"to"	"lauren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"operator"	"the"	"the"	"lever"	"the_operator"	"operator_the"	"the_lever"	"suppose_the_operator"	"the_operator_the"	"operator_the_lever"	"the_lever_to"	"VB"	"DT"	"NN"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"how"	"the"	"scheme"	"suppose"	"the"	"operator"	"pull"	"the"	"lever"	"to"	"clear"	"a"	"particular"	"signal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"be"	"to"	"must"	"``"	"must_be"	"be_to"	"to_``"	"lever_must_be"	"must_be_to"	"be_to_``"	"to_``_clear"	"NN"	"MD"	"VB"	"VB"	"TO"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interlocking"	"signals"	"be"	"normally"	"at"	"stop"	"or"	"and"	"a"	"lever"	"must"	"be"	"pull"	"to"	"clear"	"the"	"signal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"his"	"madly"	"bag"	"madly_to"	"to_his"	"his_bag"	"scramble_madly_to"	"madly_to_his"	"to_his_bag"	"his_bag_of"	"VB"	"RB"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"sputtered"	"back"	"to"	"foot"	"and"	"scramble"	"madly"	"to"	"pull"	"his"	"bag"	"of"	"seed_grain"	"forward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"and"	"his"	","	"four"	",_and"	"and_his"	"his_four"	"back_,_and"	",_and_his"	"and_his_four"	"his_four_in"	"RB"	"ε"	"CC"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roger"	"person"	"person"	"call"	"back"	"pull"	"his"	"four"	"in"	"and"	"slightly"	"above"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"is"	"in"	"consumer"	"many"	"consumer_is"	"is_in"	"in_many"	"the_consumer_is"	"consumer_is_in"	"is_in_many"	"in_many_direction"	"DT"	"NN"	"VBZ"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"spend"	"his"	"money"	"the"	"consumer"	"is"	"pull"	"in"	"many"	"direction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"the"	"sigh"	"wet"	"sigh_and"	"and_the"	"the_wet"	"person_sigh_and"	"sigh_and_the"	"and_the_wet"	"the_wet_sweatshirt"	"NNP"	"VB"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"pull"	"the"	"wet"	"sweatshirt"	"over"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"he"	"a"	"hand"	"pad"	"hand_he"	"he_a"	"a_pad"	"free_hand_he"	"hand_he_a"	"he_a_pad"	"a_pad_and"	"JJ"	"NN"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"his"	"hand"	"he"	"pull"	"a"	"pad"	"and"	"pencil"	"toward"	"him"	"and"	"begin"	"to"	"make"	"note"	"as"	"he"	"listen"	"say"	"uh-huh"	"and"	"i"	"see"	"at"	"interval"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"person"	"pocket"	","	"after"	",_person"	"person_pocket"	"pocket_after"	"methodically_,_person"	",_person_pocket"	"person_pocket_after"	"pocket_after_pocket"	"RB"	"ε"	"NNP"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"comply"	"person"	"pull"	"pocket"	"after"	"pocket"	"inside_out"	"without"	"find"	"a"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
