"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"3:00:01::"	"her"	"eye"	","	"sparkling"	",_her"	"her_eye"	"eye_sparkling"	"explain_,_her"	",_her_eye"	"her_eye_sparkling"	"eye_sparkling_."	"VB"	"ε"	"PRP$"	"JJ"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"very"	"great"	"pope"	"this"	"one"	"old_woman"	"explain"	"her"	"black"	"eye"	"sparkling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"great"	"funnel"	"a"	"."	"a_great"	"great_funnel"	"funnel_."	"into_a_great"	"a_great_funnel"	"great_funnel_."	"funnel_._∅"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cloud"	"bulge"	"downward"	"burst"	"suddenly"	"into"	"a"	"great"	"black"	"funnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"turn"	"."	"world"	"∅"	"world_turn"	"turn_."	"._∅"	"their_world_turn"	"world_turn_."	"turn_._∅"	"._∅_∅"	"PRP$"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"their"	"turn"	"black"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:dark:01"	"the"	"line"	"see"	"of"	"see_the"	"the_line"	"line_of"	"she_see_the"	"see_the_line"	"the_line_of"	"line_of_the"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"she"	"was"	"talk"	"person"	"when"	"she"	"see"	"the"	"black"	"line"	"of"	"the"	"open"	"door"	"person"	"remember"	"it"	"clearly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unfortunate:00"	"'s"	"discovery"	"person"	"."	"person_'s"	"'s_discovery"	"discovery_."	"be_person_'s"	"person_'s_discovery"	"'s_discovery_."	"discovery_._∅"	"VB"	"NNP"	"POS"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"must"	"be"	"person"	"black"	"discovery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"'s"	"brush_cut"	"person"	"be"	"person_'s"	"'s_brush_cut"	"brush_cut_be"	"luggage_person_'s"	"person_'s_brush_cut"	"'s_brush_cut_be"	"brush_cut_be_just"	"NN"	"NNP"	"POS"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	
"3:00:01::"	"his"	"eye"	","	"glitter"	",_his"	"his_eye"	"eye_glitter"	"cackle_,_his"	",_his_eye"	"his_eye_glitter"	"eye_glitter_behind"	"VB"	"ε"	"PRP$"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tee-wah"	"the"	"driver"	"cackle"	"black"	"eye"	"glitter"	"behind"	"dull"	"silver"	"chicken"	"fencing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"brown"	"."	"and"	"∅"	"and_brown"	"brown_."	"._∅"	"spongy_and_brown"	"and_brown_."	"brown_._∅"	"._∅_∅"	"JJ"	"CC"	"JJ"	"JJ"	"ε"	"ε"	"ε"	"be"	"nothing"	"special"	"just"	"prairie"	"land"	"but"	"he"	"had"	"harrow"	"in"	"compost"	"until"	"it"	"be"	"loose"	"spongy"	"and"	"brown"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"wholly"	"suit"	"the"	","	"the_wholly"	"wholly_suit"	"suit_,"	"from_the_wholly"	"the_wholly_suit"	"wholly_suit_,"	"suit_,_my"	"IN"	"DT"	"RB"	"JJ"	"NN"	"ε"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"protestant"	"clergy"	"for_the_most_part"	"wear"	"or"	"some"	"variant"	"from"	"the"	"wholly"	"black"	"suit"	"my"	"roman_collar"	"and"	"black"	"garb"	"usually"	"identify"	"me"	"in"	"england"	"as"	"a"	"roman_catholic"	"cleric"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"garb"	"roman_collar"	"usually"	"roman_collar_and"	"and_garb"	"garb_usually"	"my_roman_collar_and"	"roman_collar_and_garb"	"and_garb_usually"	"garb_usually_identify"	"PRP$"	"NN"	"CC"	"JJ"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"protestant"	"clergy"	"for_the_most_part"	"wear"	"gray"	"or"	"some"	"variant"	"from"	"the"	"black"	"suit"	"my"	"roman_collar"	"and"	"black"	"garb"	"usually"	"identify"	"me"	"in"	"england"	"as"	"a"	"roman_catholic"	"cleric"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
