"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:04:00::"	"secure"	"in"	"of"	"the"	"of_secure"	"secure_in"	"in_the"	"expectation_of_secure"	"of_secure_in"	"secure_in_the"	"in_the_occupation"	"NN"	"IN"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unemployed"	"older"	"worker"	"who"	"no"	"expectation"	"of"	"secure"	"employment"	"in"	"the"	"occupation"	"in"	"which"	"they"	"be"	"skilled"	"should"	"be"	"able"	"to"	"secure"	"counseling"	"and"	"retraining"	"in"	"an"	"occupation"	"with"	"a"	"future"	"0"	"0"	"0"	
"1:04:02::"	"pre"	"training"	"of"	"for"	"of_pre"	"pre_training"	"training_for"	"period_of_pre"	"of_pre_training"	"pre_training_for"	"training_for_a"	"NN"	"IN"	"JJ"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"training"	"need"	"of"	"a"	"new"	"plant"	"be"	"a"	"short"	"period"	"of"	"pre"	"employment"	"training"	"for"	"a"	"large_number"	"of"	"semiskilled"	"machine"	"operator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"occupational"	"trend"	"and"	"and"	"and_occupational"	"occupational_trend"	"trend_and"	"industry_and_occupational"	"and_occupational_trend"	"occupational_trend_and"	"trend_and_publish"	"NN"	"CC"	"JJ"	"NN"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"department_of_labor"	"have"	"program"	"of"	"project"	"industry"	"and"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	"0"	
"1:04:00::"	"declining"	"."	"of"	"∅"	"of_declining"	"declining_."	"._∅"	"history_of_declining"	"of_declining_."	"declining_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"procedure"	"be"	"extremely"	"shortsighted"	"in"	"chronic"	"surplus"	"area"	"with"	"a"	"long"	"history"	"of"	"declining"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"better"	"opportunity"	"for"	"afterwards"	"for_better"	"better_opportunity"	"opportunity_afterwards"	"prospect_for_better"	"for_better_opportunity"	"better_opportunity_afterwards"	"opportunity_afterwards_,"	"NN"	"IN"	"JJ"	"NN"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"in"	"a"	"depressed"	"area"	"may"	"have"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	
"1:04:00::"	"and"	"opportunity"	"job"	"."	"job_and"	"and_opportunity"	"opportunity_."	"regular_job_and"	"job_and_opportunity"	"and_opportunity_."	"opportunity_._∅"	"JJ"	"NN"	"CC"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"choose"	"a"	"location"	"within"	"easy"	"commuting"	"of"	"both"	"the"	"regular"	"job"	"and"	"employment"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"total"	"obligation"	"your"	"be"	"your_total"	"total_obligation"	"obligation_be"	"that_your_total"	"your_total_obligation"	"total_obligation_be"	"obligation_be_minimized"	"RB"	"PRP$"	"JJ"	"NN"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"careful"	"to"	"restrict"	"the"	"number"	"people"	"on_leave"	"at_one_time"	"so"	"that"	"your"	"total"	"employment"	"obligation"	"be"	"minimized"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"gainful"	"."	","	"∅"	",_gainful"	"gainful_."	"._∅"	"productive_,_gainful"	",_gainful_."	"gainful_._∅"	"._∅_∅"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"ε"	"ε"	"its"	"inception"	"in"	"with"	"the"	"passage"	"of"	"public_law"	"group"	"the"	"purpose"	"of"	"the"	"vocational"	"rehabilitation_program"	"has"	"been"	"to"	"assist"	"the"	"state"	"by"	"means"	"of"	"grant-in-aid"	"to"	"return"	"disabled"	"man"	"woman"	"to"	"productive"	"gainful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"of"	"of"	"a"	"of_the"	"the_of"	"of_a"	"also_of_the"	"of_the_of"	"the_of_a"	"of_a_procedure"	"RB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"case"	"may"	"be"	"give"	"in"	"illustration"	"of"	"successful"	"use"	"of"	"analysis"	"and"	"also"	"of"	"the"	"employment"	"of"	"a"	"procedure"	"for"	"intensive"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"in"	"was"	"discrimination"	"call_for"	"discrimination_in"	"in_was"	"was_call_for"	"racial_discrimination_in"	"discrimination_in_was"	"in_was_call_for"	"was_call_for_yesterday"	"JJ"	"NN"	"IN"	"NN"	"VB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"and"	"federal"	"against"	"racial"	"discrimination"	"in"	"employment"	"was"	"call_for"	"yesterday"	"in"	"a"	"report"	"of"	"a"	"blue-ribbon"	"citizens_committee"	"on"	"the"	"aid"	"to"	"dependent"	"child"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
