"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"5:00:00:all(a):00"	"of"	"family"	"reach"	"in"	"reach_of"	"of_family"	"family_in"	"easy_reach_of"	"reach_of_family"	"of_family_in"	"family_in_a"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"view"	"there"	"should"	"be"	"a"	"school"	"which"	"offer"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"mark"	"step"	"had"	"in"	"had_mark"	"mark_step"	"step_in"	"that_had_mark"	"had_mark_step"	"mark_step_in"	"step_in_his"	"WDT"	"VBD"	"VB"	"JJ"	"NN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"assume"	"his"	"academic"	"career"	"with"	"same"	"intensity"	"and"	"thoroughness"	"that"	"had"	"mark"	"every"	"step"	"in"	"his"	"rise"	"from"	"boyhood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"in"	"basic"	"training"	"quality"	"training_in"	"in_basic"	"basic_quality"	"provide_training_in"	"training_in_basic"	"in_basic_quality"	"basic_quality_except"	"VB"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"russian"	"use"	"gymnastics"	"as"	"the"	"first_step"	"in"	"for"	"all"	"sport"	"because"	"it"	"provide"	"training"	"in"	"every"	"basic"	"quality"	"except"	"one"	"endurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:all(a):00"	"in_conjunction_with"	"eye-deceiving"	"always"	"and"	"always_in_conjunction_with"	"in_conjunction_with_eye-deceiving"	"eye-deceiving_and"	"almost_always_in_conjunction_with"	"always_in_conjunction_with_eye-deceiving"	"in_conjunction_with_eye-deceiving_and"	"eye-deceiving_and_eye-undeceiving"	"RB"	"RB"	"IN"	"JJ"	"JJ"	"CC"	"NN"	"0"	"0"	"in"	"later"	"collage"	"of"	"both"	"master"	"a"	"variety"	"of"	"extraneous"	"material"	"are"	"use"	"sometimes"	"in"	"the"	"same"	"work"	"and"	"almost"	"always"	"every"	"eye-deceiving"	"and"	"eye-undeceiving"	"device"	"they"	"can"	"think_of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"issue"	"time"	"be"	"a"	"be_issue"	"issue_time"	"time_a"	"would_be_issue"	"be_issue_time"	"issue_time_a"	"time_a_portion"	"MD"	"VB"	"VB"	"JJ"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department"	"apparently"	"intend"	"to"	"make"	"the"	"group"	"revolving_fund"	"under"	"which"	"new"	"bond"	"would"	"be"	"issue"	"every"	"time"	"a"	"portion"	"of"	"the"	"old"	"ones"	"are"	"pay_off"	"by"	"tax"	"authorities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"almost"	"person"	"which"	"confess"	"which_almost"	"almost_person"	"person_confess"	"experience_which_almost"	"which_almost_person"	"almost_person_confess"	"person_confess_in"	"NN"	"WDT"	"RB"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"in"	"his"	"lecture"	"refer"	"to"	"startling"	"experience"	"which"	"almost"	"every"	"person"	"confess"	"in"	"daylight"	"that"	"particular"	"passage"	"of"	"conversation"	"and"	"action"	"have"	"occur"	"to"	"him"	"in"	"the"	"same"	"order"	"before"	"whether"	"dream"	"or"	"wake"	"a"	"suspicion"	"that"	"they"	"have"	"be"	"with"	"precisely"	"these"	"person"	"in"	"precisely"	"this"	"room"	"and"	"hear"	"precisely"	"this"	"dialogue"	"at"	"some"	"former"	"hour"	"they"	"know"	"not"	"when"	
"5:00:00:all(a):00"	"∅"	"dream"	"∅"	","	"∅_∅"	"∅_dream"	"dream_,"	"∅_∅_∅"	"∅_∅_dream"	"∅_dream_,"	"dream_,_and"	"ε"	"ε"	"ε"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dream"	"and"	"this"	"be"	"true"	"of"	"a"	"mental_image"	"of"	"any"	"type"	"even"	"though"	"it"	"may"	"be"	"readily"	"interpret"	"into"	"its"	"equivalent"	"of"	"wakeful"	"thought"	"be"	"a"	"psychic_phenomenon"	"for"	"which"	"no"	"explanation"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:all(a):00"	"of"	"afternoon"	"most"	"in"	"most_of"	"of_afternoon"	"afternoon_in"	"remain_most_of"	"most_of_afternoon"	"of_afternoon_in"	"afternoon_in_bed"	"VB"	"RB"	"JJ"	"JJ"	"NN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"had"	"person"	"remain"	"most"	"of"	"every"	"afternoon"	"in"	"bed"	"until"	"he"	"be"	"strong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"in"	"part"	"dominantly"	"of_it"	"dominantly_in"	"in_part"	"part_of_it"	"function_dominantly_in"	"dominantly_in_part"	"in_part_of_it"	"part_of_it_."	"VB"	"RB"	"IN"	"JJ"	"NN"	"RB"	"ε"	"of"	"religion"	"in"	"the"	"simple"	"preliterate"	"society"	"be"	"quite"	"definite"	"as"	"a"	"complex"	"it"	"fit"	"into"	"the"	"whole"	"social_organization"	"and"	"function"	"dominantly"	"in"	"part"	"of_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:all(a):00"	"out"	"evening"	"ride"	"on"	"ride_out"	"out_evening"	"evening_on"	"been_ride_out"	"ride_out_evening"	"out_evening_on"	"evening_on_some"	"VBN"	"VB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"ride"	"out"	"every"	"evening"	"on"	"some"	"secret"	"business"	"of"	"his"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
