"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"2:38:00::"	"ones"	"."	"new"	"∅"	"new_ones"	"ones_."	"._∅"	"and_new_ones"	"new_ones_."	"ones_._∅"	"._∅_∅"	"CC"	"JJ"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"events"	"occur"	"and"	"victims"	"change"	"appearance"	"and"	"new"	"ones"	"arrive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"has"	"in"	"judy_garland"	"london"	"judy_garland_has"	"has_in"	"in_london"	"``_judy_garland_has"	"judy_garland_has_in"	"has_in_london"	"in_london_."	"ε"	"NNP"	"VBZ"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"judy_garland"	"arrive"	"in"	"london"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"john_harvey"	"in"	"the"	"bari"	"the_john_harvey"	"john_harvey_in"	"in_bari"	"∅_the_john_harvey"	"the_john_harvey_in"	"john_harvey_in_bari"	"in_bari_,"	"ε"	"DT"	"NNP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_harvey"	"arrive"	"in"	"bari"	"a"	"port"	"on"	"the"	"adriatic"	"on"	"november"	"th"	"make"	"for"	"porto_nuovo"	"which"	"as"	"the"	"name"	"indicate"	"be"	"the"	"ancient"	"city"	"new"	"and"	"modern"	"harbor"	
"2:38:00::"	"to"	"without"	"are"	"an"	"are_to"	"to_without"	"without_an"	"friends_are_to"	"are_to_without"	"to_without_an"	"without_an_invitation"	"NNS"	"VBP"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"are"	"to"	"arrive"	"without"	"an"	"invitation"	"or"	"without"	"at_least"	"telephone"	"beforehand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"who"	"two"	"swimmers"	"hours"	"swimmers_who"	"who_two"	"two_hours"	"afternoon_swimmers_who"	"swimmers_who_two"	"who_two_hours"	"two_hours_early"	"NN"	"NNS"	"WP"	"VB"	"CD"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"also"	"work_out"	"logistics"	"sunday"	"afternoon"	"swimmers"	"who"	"arrive"	"two"	"hours"	"early"	"with"	"their"	"weekend"	"guests"	"while"	"we"	"are"	"still"	"enjoy"	"an"	"alfresco"	"lunch"	"en_famille"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"police"	"the"	"when"	"man"	"when_police"	"police_the"	"the_man"	"∅_when_police"	"when_police_the"	"police_the_man"	"the_man_be"	"ε"	"WRB"	"NN"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"police"	"arrive"	"the"	"man"	"be"	"still"	"violent"	"slate"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"police"	","	"the"	"they"	"the_police"	"police_,"	",_they"	"when_the_police"	"the_police_,"	"police_,_they"	",_they_find"	"WRB"	"DT"	"NN"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"police"	"arrive"	"they"	"find"	"mcclellan"	"and"	"the"	"two"	"lawyers"	"sit"	"and"	"stare"	"silently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"with"	"schedule"	"monday"	"schedule_to"	"to_with"	"with_monday"	"is_schedule_to"	"schedule_to_with"	"to_with_monday"	"with_monday_morning"	"VBZ"	"VB"	"TO"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"publish"	"annually"	"by"	"william_hord_richardson"	"the"	"edition"	"subtitle"	"society_register"	"southern_california"	"is"	"schedule"	"to"	"arrive"	"with"	"monday"	"morning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"in"	"when"	"1945"	"when_they"	"they_in"	"in_1945"	"away_when_they"	"when_they_in"	"they_in_1945"	"in_1945_."	"RB"	"WRB"	"PRP"	"VB"	"IN"	"CD"	"ε"	"name"	"be"	"a"	"pseudynom"	"be"	"a"	"teacher"	"in"	"bucharest"	"and"	"a"	"member"	"of"	"the"	"armenian"	"revolutionary_federation"	"arf"	"two"	"reasons"	"the"	"communists"	"him"	"away"	"when"	"they"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"from"	"when"	"new_orleans"	"when_he"	"he_from"	"from_new_orleans"	"smiles_when_he"	"when_he_from"	"he_from_new_orleans"	"from_new_orleans_,"	"NNS"	"WRB"	"PRP"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fox"	"be"	"ingratiating"	"smiles"	"when"	"he"	"arrive"	"from"	"new_orleans"	"accompany"	"by"	"one"	"wharf_rat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
