"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:38:00::"	"to"	"virginia"	"want"	"coal"	"want_to"	"to_virginia"	"virginia_coal"	",_want_to"	"want_to_virginia"	"to_virginia_coal"	"virginia_coal_,"	"ε"	"VB"	"VB"	"VB"	"NNP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"steel_company"	"of"	"wales"	"a"	"steelmaker"	"want"	"to"	"bring_in"	"virginia"	"coal"	"cut_down"	"on"	"its"	"takings"	"of"	"welsh"	"coal"	"in_order_to"	"be"	"able"	"to"	"compete"	"more"	"effectively"	"especially"	"in"	"foreign"	"markets"	
"2:38:00::"	"steel_company"	"american"	"the"	"coal"	"the_steel_company"	"steel_company_american"	"american_coal"	"that_the_steel_company"	"the_steel_company_american"	"steel_company_american_coal"	"american_coal_."	"IN"	"DT"	"NN"	"VB"	"NNP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"welsh"	"coal_miners"	"communist-led"	"be"	"up"	"in"	"arms"	"the"	"suggestion"	"that"	"the"	"steel_company"	"bring_in"	"american"	"coal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"''"	"$"	"homer"	"2300000"	"homer_''"	"''_$"	"$_2300000"	"of_homer_''"	"homer_''_$"	"''_$_2300000"	"$_2300000_at"	"IN"	"NNP"	"ε"	"VB"	"ε"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rembrandt"	"aristotle"	"contemplating"	"bust"	"homer"	"bring_in"	"at"	"auction"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"will"	"more"	"sure"	"business"	"sure_will"	"will_more"	"more_business"	"are_sure_will"	"sure_will_more"	"will_more_business"	"more_business_."	"VB"	"JJ"	"MD"	"VB"	"JJR"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"ago"	"the"	"negro_radio_association"	"was"	"form"	"to"	"spur"	"which"	"the"	"odd"	"member"	"stations"	"are"	"sure"	"will"	"bring_in"	"more"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"that"	"the"	"windows"	"outdoors"	"windows_that"	"that_the"	"the_outdoors"	",_windows_that"	"windows_that_the"	"that_the_outdoors"	"the_outdoors_."	"ε"	"NNS"	"IN"	"VB"	"DT"	"RB"	"ε"	"chestnut"	"pecan"	"three"	"varieties"	"of"	"burl"	"hand-woven"	"philippine"	"cane"	"ceramic"	"tiles"	"marble"	"are"	"use"	"to"	"emphasize"	"the"	"feeling"	"of"	"texture"	"and"	"of"	"permanence"	"the"	"furniture"	"to"	"fit"	"into"	"rooms"	"with"	"tiled"	"floors"	"brick"	"or"	"paneled"	"walls"	"windows"	"that"	"bring_in"	"outdoors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"would"	"over"	"measure"	"an"	"measure_would"	"would_over"	"over_an"	"sales_tax_measure_would"	"measure_would_over"	"would_over_an"	"over_an_eight"	"NN"	"NN"	"MD"	"VB"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"could"	"tell"	"them"	"to"	"go_home"	"while"	"the"	"administration"	"continue"	"to"	"wage"	"battle"	"with"	"the"	"million"	"in"	"extra"	"revenues"	"the"	"sales_tax"	"measure"	"would"	"bring_in"	"over"	"an"	"eight"	"months"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"acts"	"staff"	"''"	"staff_to"	"to_acts"	"acts_''"	"fair_staff_to"	"staff_to_acts"	"to_acts_''"	"acts_''_,"	"JJ"	"NN"	"TO"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"the"	"chicago_association"	"commerce"	"and"	"industry"	"expect"	"to"	"establish"	"closer"	"relations"	"with"	"nations"	"and"	"their"	"cultural"	"activities"	"and"	"will"	"be"	"easy"	"as"	"a"	"member"	"of"	"the"	"fair"	"staff"	"to"	"bring_in"	"acts"	"explain"	"mrs._geraghty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"to"	"an"	"fees"	"additional"	"fees_to"	"to_an"	"an_additional"	"house_fees_to"	"fees_to_an"	"to_an_additional"	"an_additional_$"	"NN"	"NNS"	"TO"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"city"	"expect"	"the"	"higher"	"rooming_house"	"and"	"apartment"	"house"	"fees"	"to"	"bring_in"	"an"	"additional"	"a"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"to"	"the"	"need"	"income"	"need_to"	"to_the"	"the_income"	"'ll_need_to"	"need_to_the"	"to_the_income"	"the_income_you"	"MD"	"VB"	"VB"	"VB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"how"	"much"	"land"	"you"	"want"	"the"	"amount"	"you"	"need"	"to"	"bring_in"	"the"	"income"	"you"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"for"	"he"	"questioning"	"he_was"	"was_for"	"for_questioning"	"and_he_was"	"he_was_for"	"was_for_questioning"	"for_questioning_immediately"	"CC"	"PRP"	"VBD"	"VB"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once_again"	"person"	"be"	"the"	"first"	"and"	"likely"	"suspect"	"and"	"he"	"was"	"bring_in"	"for"	"questioning"	"immediately"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"be"	"and"	"to"	"put_through"	"to_be"	"be_and"	"and_put_through"	"had_to_be"	"to_be_and"	"be_and_put_through"	"and_put_through_trick"	"VB"	"VB"	"VB"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"like"	"child"	"in"	"a"	"loathsome"	"kind"	"of"	"way"	"the"	"young"	"in"	"our"	"family"	"always"	"had"	"to"	"be"	"bring_in"	"and"	"put_through"	"trick"	"for"	"his"	"entertainment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"from"	"location"	"the"	"location_was"	"was_from"	"from_the"	"for_location_was"	"location_was_from"	"was_from_the"	"from_the_south"	"IN"	"NNP"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"a"	"time"	"following"	"the"	"abandonment"	"of"	"local"	"plant"	"electric_current"	"for"	"location"	"was"	"bring_in"	"from"	"the"	"south"	"with"	"an"	"emergency"	"tie-in"	"with"	"the"	"group"	"system"	"to_the_north"	"0"	"0"	"0"	"0"	"0"	
