"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:36:00::"	"is"	"the"	","	"errors"	",_is"	"is_the"	"the_errors"	"al_,_is"	",_is_the"	"is_the_errors"	"the_errors_of"	"NNS"	"ε"	"VBZ"	"VB"	"DT"	"NNS"	"IN"	"present"	"republican"	"leadership"	"as"	"practice"	"by"	"mundt"	"goldwater"	"bridges"	"dirksen"	"et"	"al"	"is"	"the"	"errors"	"of"	"the"	"party"	"leadership"	"of"	"the"	"s"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"this"	"mean"	"error"	"mean_to"	"to_this"	"this_error"	"n't_mean_to"	"mean_to_this"	"to_this_error"	"this_error_."	"RB"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"may"	"be"	"sure"	"the"	"present"	"congressional"	"leadership"	"has"	"n't"	"mean"	"to"	"repeat"	"this"	"error"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	","	"though"	"over_and_over_again"	"though_he"	"he_,"	",_over_and_over_again"	",_though_he"	"though_he_,"	"he_,_over_and_over_again"	",_over_and_over_again_,"	"ε"	"IN"	"PRP"	"VB"	"ε"	"RB"	"ε"	"all"	"these"	"fairly"	"awkward"	"problems"	"khrushchev"	"was"	"to"	"skate_over"	"rather"	"lightly"	"and"	"though"	"repeat"	"over_and_over_again"	"the"	"spectacular"	"figures"	"of"	"industrial"	"and"	"agricultural"	"production"	"in"	"the"	"ordinary"	"people"	"in"	"russia"	"be"	"still"	"a_little"	"uncertain"	"as"	"to"	"how"	"communism"	"is"	"really"	"going"	"to"	"work"	"in_practice"	"especially"	"in"	"respect"	"of"	"food"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"and"	"."	"take_up"	"∅"	"take_up_and"	"and_."	"._∅"	"been_take_up_and"	"take_up_and_."	"and_._∅"	"._∅_∅"	"VBN"	"VB"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"shout"	"been"	"take_up"	"and"	"repeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"solemnly"	"a"	"also"	"warning"	"also_solemnly"	"solemnly_a"	"a_warning"	"has_also_solemnly"	"also_solemnly_a"	"solemnly_a_warning"	"a_warning_to"	"VBZ"	"RB"	"RB"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_state"	"also"	"solemnly"	"repeat"	"a"	"warning"	"to"	"the"	"soviet_union"	"that"	"the"	"united_states"	"will"	"not"	"stand_for"	"another"	"setback"	"in"	"berlin"	"an"	"affirmation"	"once_again"	"take_up"	"by"	"the"	"council"	"as_a_whole"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"merely"	","	"comedie"	"as"	"comedie_merely"	"merely_,"	",_as"	"the_comedie_merely"	"comedie_merely_,"	"merely_,_as"	",_as_accurately"	"DT"	"NNP"	"RB"	"VB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"serve"	"to"	"contradict"	"a"	"notion"	"that"	"the"	"comedie"	"merely"	"repeat"	"as"	"accurately"	"as"	"the"	"techniques"	"of"	"act"	"the"	"classics"	"that"	"prevail"	"in"	"the"	"th"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"she"	"."	"''"	"∅"	"''_she"	"she_."	"._∅"	"!_''_she"	"''_she_."	"she_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"somewhere"	"she"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"name"	"over_and_over"	"the"	","	"the_name"	"name_over_and_over"	"over_and_over_,"	",_the_name"	"the_name_over_and_over"	"name_over_and_over_,"	"over_and_over_,_anybody"	"ε"	"DT"	"NN"	"VB"	"RB"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"god"	"name"	"repeat"	"over_and_over"	"anybody"	"to"	"hear"	"not"	"be"	"a"	"fool"	"person"	"know"	"why"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"lambeth_conference"	"its"	"the"	"1908"	"the_lambeth_conference"	"lambeth_conference_its"	"its_1908"	",_the_lambeth_conference"	"the_lambeth_conference_its"	"lambeth_conference_its_1908"	"its_1908_condemnation"	"ε"	"DT"	"NNP"	"VB"	"PRP$"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"repeat"	"its"	"condemnation"	"of"	"contraception"	"and"	"issue"	"an"	"emphatic"	"warning"	"against"	"the"	"use"	"of"	"unnatural"	"means"	"for"	"the"	"avoidance"	"of"	"conception"	"together_with"	"the"	"grave"	"danger"	"physical"	"moral"	"and"	"religious"	"thereby"	"incur"	"and"	"against"	"the"	"evil"	"which"	"the"	"extension"	"of"	"such"	"use"	"threaten"	"the"	"human_race"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"once_more"	"the"	"i"	"absurdity"	"i_once_more"	"once_more_the"	"the_absurdity"	"tone_i_once_more"	"i_once_more_the"	"once_more_the_absurdity"	"the_absurdity_,"	"NN"	"PRP"	"RB"	"VB"	"DT"	"NN"	"ε"	"driver"	"suddenly"	"exclaim"	"with"	"something"	"so"	"definite"	"so"	"final"	"in"	"tone"	"i"	"once_more"	"the"	"absurdity"	"muster"	"all"	"my"	"latent"	"power"	"of"	"hypocrisy"	"to"	"sound"	"convinced"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
