"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:39:00::"	"could"	"with_anger"	"eyes"	","	"eyes_could"	"could_with_anger"	"with_anger_,"	"pretty_eyes_could"	"eyes_could_with_anger"	"could_with_anger_,"	"with_anger_,_her"	"RB"	"NNS"	"MD"	"VB"	"RB"	"ε"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"suddenly"	"think_of"	"mary_jane"	"brennan"	"way"	"her"	"pretty"	"eyes"	"could"	"flash"	"with_anger"	"her"	"quiet"	"competence"	"the"	"gentleness"	"and"	"sweetness"	"that"	"lie"	"just"	"beneath"	"the"	"surface"	"of"	"her"	"defenses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"eyes"	"angrily"	"her"	"."	"her_eyes"	"eyes_angrily"	"angrily_."	"∅_her_eyes"	"her_eyes_angrily"	"eyes_angrily_."	"angrily_._∅"	"ε"	"PRP$"	"NNS"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eyes"	"flash"	"angrily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"will"	"him"	"she"	"the"	"she_will"	"will_him"	"him_the"	"that_she_will"	"she_will_him"	"will_him_the"	"him_the_signal"	"IN"	"PRP"	"MD"	"VB"	"PRP"	"DT"	"NN"	"say"	"person"	"psychologist"	"at"	"new_york"	"group"	"be"	"for"	"the"	"husband"	"to"	"hover"	"about"	"anxiously"	"and"	"eagerly"	"virtually"	"tremble"	"in"	"his"	"hope"	"that"	"she"	"will"	"him"	"the"	"signal"	"that"	"tonight"	"be"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"person"	"''"	"."	"''_,"	",_person"	"person_."	"me_''_,"	"''_,_person"	",_person_."	"person_._∅"	"PRP"	"ε"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"do"	"n't"	"have"	"tell"	"me"	"flash"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"windshield"	":"	"in"	"red"	"in_windshield"	"windshield_:"	":_red"	"emergent_in_windshield"	"in_windshield_:"	"windshield_:_red"	":_red_lip"	"JJ"	"IN"	"NN"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suddenly"	"a"	"treble"	"auto"	"horn"	"tootley-toot-tootled"	"and"	"thumb"	"i"	"see"	"emergent"	"in"	"windshield"	"flash"	"red"	"lip"	"streaming"	"silk"	"of"	"blonde"	"hair"	"and"	"ah"	"trembling"	"confusion"	"of"	"hope"	"apprehension"	"despair"	"the"	"leering"	"face"	"of"	"old"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"tooth"	"at"	"white"	"me"	"white_tooth"	"tooth_at"	"at_me"	"'s_white_tooth"	"white_tooth_at"	"tooth_at_me"	"at_me_,"	"POS"	"JJ"	"NN"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_once"	"my"	"ear"	"were"	"drown"	"by"	"a"	"flow"	"of"	"what"	"take_to_be"	"spanish"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"wildly"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"be"	"the"	"pure"	"oxford_english"	"i"	"was"	"half"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	"0"	"0"	"0"	"0"	
"2:39:00::"	"again"	"back"	"tooth"	"at"	"tooth_again"	"again_back"	"back_at"	"∅_tooth_again"	"tooth_again_back"	"again_back_at"	"back_at_me"	"ε"	"NN"	"RB"	"VB"	"RB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"flash"	"back"	"at"	"me"	"the"	"driver"	"release"	"a"	"deluge"	"of"	"spanish"	"in"	"which"	"amigo"	"appear"	"every_so_often"	"like"	"an"	"island"	"in"	"the"	"stormy"	"wave"	"of"	"surrounding"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"glass"	"."	"and"	"∅"	"and_glass"	"glass_."	"._∅"	"chrome_and_glass"	"and_glass_."	"glass_._∅"	"._∅_∅"	"NN"	"CC"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"car"	"come"	"over"	"a"	"their"	"chrome"	"and"	"glass"	"flash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"scene"	"before"	"second"	"his"	"second_scene"	"scene_before"	"before_his"	"a_second_scene"	"second_scene_before"	"scene_before_his"	"before_his_mind"	"DT"	"JJ"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"scene"	"flash"	"before"	"his"	"mind"	"the"	"interior"	"of"	"the"	"garage"	"at"	"the"	"new"	"house"	"and"	"the"	"young"	"person"	"girl"	"turn"	"startled"	"to"	"meet"	"him"	"the"	"dim"	"dark"	"and"	"the"	"sudden"	"confusion"	"and"	"fear"	"and"	"then"	"the"	"brightness"	"as"	"person"	"had"	"click"	"on"	"the"	"light"	
"2:39:00::"	"their"	"light_bulb"	"of"	","	"of_their"	"their_light_bulb"	"light_bulb_,"	"because_of_their"	"of_their_light_bulb"	"their_light_bulb_,"	"light_bulb_,_tick"	"IN"	"IN"	"PRP$"	"VB"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"these"	"gadget"	"impressive"	"to"	"gullible"	"because"	"of"	"their"	"flash"	"light_bulb"	"tick"	"and"	"buzz"	"he"	"then"	"carry_out"	"a"	"vicious"	"medical"	"con_game"	"capitalize"	"on"	"people"	"respect"	"for"	"the"	"electrical"	"and"	"atomic"	"wonder"	"of"	"our"	"scientific"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
