"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"1:04:01::"	"assigned"	"."	"the"	"∅"	"the_assigned"	"assigned_."	"._∅"	"carry_out_the_assigned"	"the_assigned_."	"assigned_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"in"	"november"	"the"	"cloud"	"enough"	"to"	"carry_out"	"the"	"assigned"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"'s"	"be"	"person"	"the"	"person_'s"	"'s_be"	"be_the"	"∅_person_'s"	"person_'s_be"	"'s_be_the"	"be_the_last"	"ε"	"NNP"	"POS"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mission"	"be"	"the"	"last"	"to"	"leave"	"and"	"as"	"he"	"circle"	"the"	"ship"	"off"	"location"	"he"	"see"	"the"	"cloud"	"were"	"drop_down"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"if"	"the"	"if_the"	"the_of"	"of_the"	",_if_the"	"if_the_of"	"the_of_the"	"of_the_trial"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"the"	"mission"	"of"	"the"	"trial"	"be"	"to"	"convict"	"anti-semitism"	"how"	"could"	"it"	"have"	"fail"	"to"	"post"	"the"	"world"	"the"	"contrasting"	"fate"	"of"	"the"	"country"	"in"	"which"	"the"	"final_solution"	"was"	"aid"	"by"	"native"	"jew"	"hater"	"i.e."	"germany"	"poland"	"hungary"	"czechoslovakia"	"and"	"those"	"in"	"which"	"it"	"meet"	"the"	"obstacle"	"of"	"human"	"solidarity"	"denmark"	"holland"	"italy"	"bulgaria"	"france"	
"1:04:00::"	","	","	"dedication"	"significance"	"dedication_,"	",_,"	",_significance"	",_dedication_,"	"dedication_,_,"	",_,_significance"	",_significance_."	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"literature"	"may"	"be"	"say"	"to"	"people"	"a"	"sense_of_purpose"	"dedication"	"mission"	"significance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"of"	"to"	"transmutation"	"co-optation"	"transmutation_of"	"of_to"	"to_co-optation"	"the_transmutation_of"	"transmutation_of_to"	"of_to_co-optation"	"to_co-optation_is"	"DT"	"NN"	"IN"	"NN"	"TO"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"mission"	"to"	"co-optation"	"is"	"further"	"indicate"	"by"	"the"	"insignificance"	"of"	"educational_activity"	"worship"	"preaching"	"and"	"publicity"	"in"	"reach"	"new"	"member"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"of"	"character"	"the"	"character_and"	"and_of"	"of_the"	"changing_character_and"	"character_and_of"	"and_of_the"	"of_the_active"	"JJ"	"NN"	"CC"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"reserve"	"component"	"are"	"to"	"serve"	"effectively"	"in"	"time"	"of"	"their"	"basic"	"organization"	"and"	"objective"	"must"	"conform_to"	"the"	"changing"	"character"	"and"	"mission"	"of"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"."	"visit"	"∅"	"visit_the"	"the_."	"._∅"	"to_visit_the"	"visit_the_."	"the_._∅"	"._∅_∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"have"	"no"	"idea"	"person"	"want"	"to"	"visit"	"the"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	","	"to"	"then"	"to_the"	"the_,"	",_then"	"donate_to_the"	"to_the_,"	"the_,_then"	",_then_he"	"VB"	"TO"	"DT"	"NN"	"ε"	"RB"	"PRP"	"had"	"give"	"the"	"call"	"a_few"	"moment"	"thought"	"he"	"go_into"	"the"	"kitchen"	"to"	"ask"	"person"	"to"	"prepare"	"tea"	"and"	"sushi"	"for"	"the"	"visitor"	"use"	"the"	"formal"	"english"	"china"	"and"	"the"	"silver"	"tea_service"	"which"	"had"	"been"	"donate"	"the"	"then"	"he"	"go"	"outside"	"to"	"inspect"	"the"	"grounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"busy"	"."	"very"	"∅"	"very_busy"	"busy_."	"._∅"	"a_very_busy"	"very_busy_."	"busy_._∅"	"._∅_∅"	"DT"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"to"	"enact"	"a"	"little"	"tableau"	"this"	"afternoon"	"person"	"say"	"he"	"explain"	"about"	"visit"	"and"	"the"	"effect"	"he"	"wish"	"to"	"create"	"the"	"of"	"a"	"very"	"busy"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"to"	"of"	"keep_an_eye_on"	"of_the"	"the_to"	"to_keep_an_eye_on"	"corner_of_the"	"of_the_to"	"the_to_keep_an_eye_on"	"to_keep_an_eye_on_the"	"NN"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"two"	"thirty"	"he"	"send"	"person"	"to"	"the"	"of"	"the"	"wall"	"at"	"the"	"northeast"	"corner"	"of"	"the"	"mission"	"to"	"keep_an_eye_on"	"the"	"ridge"	"road"	"and"	"give"	"a"	"signal"	"when"	"he"	"first"	"glimpse"	"the"	"approach"	"of"	"person"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
