"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:32:00::"	"he"	"a"	"say"	"friend"	"say_he"	"he_a"	"a_friend"	"he_say_he"	"say_he_a"	"he_a_friend"	"a_friend_,"	"PRP"	"VB"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"he"	"contact"	"a"	"friend"	"henry_hall_wilson"	"on"	"the"	"president"	"staff"	"and"	"ask"	"whether"	"his"	"orchestra"	"could"	"play"	"in"	"the"	"series"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"friday"	"owners"	"night"	"owners_,"	",_friday"	"friday_night"	"and_owners_,"	"owners_,_friday"	",_friday_night"	"friday_night_for"	"CC"	"NNS"	"ε"	"VB"	"NNP"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"downtown"	"and"	"art"	"managers"	"and"	"owners"	"contact"	"friday"	"night"	"for"	"comment"	"on"	"the"	"coahr"	"request"	"say"	"they"	"have"	"no"	"knowledge"	"of"	"such"	"a"	"letter"	"and"	"that"	"it"	"be"	"not"	"in"	"the"	"friday"	"mail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"friendly"	"look"	"by"	"somewhat"	"by_friendly"	"friendly_look"	"look_somewhat"	"outreach_by_friendly"	"by_friendly_look"	"friendly_look_somewhat"	"look_somewhat_different"	"NN"	"IN"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	
"1:04:02::"	"friendly"	"in"	"about"	"metropolitan"	"about_friendly"	"friendly_in"	"in_metropolitan"	"known_about_friendly"	"about_friendly_in"	"friendly_in_metropolitan"	"in_metropolitan_neighborhood"	"JJ"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"such"	"be"	"of"	"with"	"of_such"	"such_be"	"be_with"	"majority_of_such"	"of_such_be"	"such_be_with"	"be_with_people"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"into"	"with"	"him"	"person"	"him_into"	"into_with"	"with_person"	"bring_him_into"	"him_into_with"	"into_with_person"	"with_person_,"	"VB"	"PRP"	"IN"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"association"	"him"	"into"	"contact"	"with"	"person"	"whose"	"snowball"	"person"	"relyric"	"as"	"lazybones"	"in"	"which"	"form"	"it"	"become"	"a"	"hit"	"and"	"mark"	"the"	"real"	"beginning"	"of"	"person"	"song"	"write"	"career"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"little"	"with"	"relatively"	"the"	"relatively_little"	"little_with"	"with_the"	"with_relatively_little"	"relatively_little_with"	"little_with_the"	"with_the_non"	"IN"	"RB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"noteworthy"	"about"	"this"	"large"	"group"	"of"	"teenager"	"be"	"that"	"although"	"their"	"attitude"	"hardly"	"differentiate"	"them"	"from"	"their"	"gentile"	"counterpart"	"they"	"actually"	"lead"	"their"	"life"	"in"	"a"	"vast"	"self-enclosed"	"jewish"	"cosmos"	"with"	"relatively"	"little"	"with"	"the"	"non"	"jewish"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"information"	"director"	"further"	","	"further_information"	"information_director"	"director_,"	"for_further_information"	"further_information_director"	"information_director_,"	"director_,_group"	"IN"	"JJ"	"NN"	"VB"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"information"	"contact"	"director"	"group"	"group"	"washington"	"dc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"group"	"information"	"in"	"information_,"	",_group"	"group_in"	"further_information_,"	"information_,_group"	",_group_in"	"group_in_atlanta"	"JJ"	"NN"	"ε"	"VB"	"NNP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"information"	"contact"	"group"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"washington"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"sba_regional"	"information"	"office"	"information_,"	",_sba_regional"	"sba_regional_office"	"further_information_,"	"information_,_sba_regional"	",_sba_regional_office"	"sba_regional_office_in"	"JJ"	"NN"	"ε"	"VB"	"NNP"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"information"	"contact"	"sba_regional"	"office"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"washington"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
