"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"1:15:01::"	"and"	"."	"moscow"	"∅"	"moscow_and"	"and_."	"._∅"	"in_moscow_and"	"moscow_and_."	"and_._∅"	"._∅_∅"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"be"	"a"	"contrast"	"even"	"more"	"decisive"	"than"	"a"	"hunger"	"fact"	"between"	"the"	"trial"	"in"	"jerusalem"	"and"	"those"	"in"	"moscow"	"and"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	","	"district"	"and"	"district_of"	"of_,"	",_and"	"17th_district_of"	"district_of_,"	"of_,_and"	",_and_i"	"JJ"	"NN"	"IN"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"people"	"of"	"district"	"of"	"new_york"	"and"	"i"	"as"	"their"	"representative"	"in"	"congress"	"take_pride"	"great"	"pride"	"in"	"the"	"group"	"as"	"one"	"of"	"the"	"great"	"and"	"authoritative"	"newspaper"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"at"	","	"lead"	"new_york"	"lead_at"	"at_,"	",_new_york"	"common_lead_at"	"lead_at_,"	"at_,_new_york"	",_new_york_,"	"JJ"	"NN"	"IN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"of"	"lead"	"as_long_as"	"the"	"market_price"	"for"	"common"	"lead"	"at"	"new_york"	"new_york"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	
"1:15:00::"	","	","	"new_york"	"as"	"new_york_,"	",_,"	",_as"	"at_new_york_,"	"new_york_,_,"	",_,_as"	",_as_determine"	"IN"	"NN"	"ε"	"NN"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"lead"	"as_long_as"	"the"	"market_price"	"for"	"common"	"lead"	"at"	"new_york"	"new_york"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	
"1:15:01::"	"a"	"psychologist"	"by"	","	"by_a"	"a_psychologist"	"psychologist_,"	"describe_by_a"	"by_a_psychologist"	"a_psychologist_,"	"psychologist_,_so"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"wife"	"by"	"a"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"that"	"she"	"actually"	"placed"	"their"	"sexual_relationship"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"the"	"thursday"	"night"	"neighborhood"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"at"	"'s"	"psychologist"	"group"	"psychologist_at"	"at_'s"	"'s_group"	",_psychologist_at"	"psychologist_at_'s"	"at_'s_group"	"'s_group_,"	"ε"	"NN"	"IN"	"NN"	"POS"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pattern"	"say"	"person"	"at"	"new_york"	"group"	"be"	"for"	"the"	"husband"	"to"	"hover"	"about"	"anxiously"	"and"	"eagerly"	"virtually"	"tremble"	"in"	"his"	"hope"	"that"	"she"	"will"	"flash"	"him"	"the"	"signal"	"that"	"tonight"	"be"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::;1:15:01::"	"to"	"as"	"go_back"	"person"	"go_back_to"	"to_as"	"as_person"	"n't_go_back_to"	"go_back_to_as"	"to_as_person"	"as_person_suggest"	"RB"	"VB"	"VB"	"NN"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"would"	"go_back"	"to"	"new_york"	"as"	"person"	"suggest"	"she"	"would"	"n't"	"run"	"like"	"a"	"scared"	"cat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::;1:15:01::"	"to"	"."	"return"	"∅"	"return_to"	"to_."	"._∅"	"person_return_to"	"return_to_."	"to_._∅"	"._∅_∅"	"NNP"	"VB"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"person"	"had"	"that"	"person"	"return"	"to"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	","	"location"	"in"	"location_,"	",_,"	",_in"	"in_location_,"	"location_,_,"	",_,_in"	",_in_1886"	"IN"	"NNP"	"ε"	"NN"	"ε"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"artist"	"in"	"location"	"new_york"	"in"	"and"	"until"	"two"	"year"	"ago"	"when"	"he"	"and"	"his"	"wife"	"move"	"to"	"california"	"he"	"live"	"in"	"western"	"new_york"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"western"	","	"in"	"in"	"in_western"	"western_,"	",_in"	"live_in_western"	"in_western_,"	"western_,_in"	",_in_location"	"VB"	"VB"	"JJ"	"NN"	"ε"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"artist"	"be_born"	"in"	"location"	"new_york"	"in"	"and"	"until"	"two"	"year"	"ago"	"when"	"he"	"his"	"wife"	"move"	"to"	"california"	"he"	"live"	"in"	"western"	"new_york"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
