"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"5:00:00:profound:00"	"his"	"self"	"find"	"."	"find_his"	"his_self"	"self_."	"to_find_his"	"find_his_self"	"his_self_."	"self_._∅"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"this"	"time"	"on"	"proceed"	"to"	"find"	"his"	"deep"	"self"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:profound:00"	"the"	"significance"	"to"	"of"	"to_the"	"the_significance"	"significance_of"	"clue_to_the"	"to_the_significance"	"the_significance_of"	"significance_of_his"	"NN"	"TO"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"curious"	"relationship"	"between"	"holmes"	"and"	"provide"	"an"	"important"	"clue"	"to"	"the"	"deep"	"significance"	"of"	"his"	"eccentric"	"behavior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:intense:00"	"and"	"and"	","	"abiding"	",_and"	"and_and"	"and_abiding"	"sincerity_,_and"	",_and_and"	"and_and_abiding"	"and_abiding_affection"	"NN"	"ε"	"CC"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"for"	"the"	"lady"	"they"	"be"	"full"	"charm"	"and"	"sincerity"	"and"	"deep"	"and"	"abiding"	"affection"	"for"	"this"	"hurrying"	"driving"	"honest"	"little"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:distant:01"	"home_run"	"into"	"long"	"the"	"long_home_run"	"home_run_into"	"into_the"	"a_long_home_run"	"long_home_run_into"	"home_run_into_the"	"into_the_corner"	"DT"	"JJ"	"NN"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"third"	"hammer"	"a"	"long"	"home_run"	"deep"	"into"	"the"	"corner"	"of"	"the"	"bleachers"	"in"	"right"	"center"	"about"	"foot"	"away"	"with"	"two"	"man"	"on"	
"5:00:00:low:03"	"a"	","	","	"liquid"	",_a"	"a_,"	",_liquid"	"loudly_,_a"	",_a_,"	"a_,_liquid"	",_liquid_eruption"	"RB"	"ε"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"figure"	"in"	"the"	"belch"	"loudly"	"a"	"deep"	"liquid"	"eruption"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:low:03"	"talk"	"."	"you"	"∅"	"you_talk"	"talk_."	"._∅"	"-_you_talk"	"you_talk_."	"talk_._∅"	"._∅_∅"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"deep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"breath"	"snatch"	"."	"snatch_a"	"a_breath"	"breath_."	"person_snatch_a"	"snatch_a_breath"	"a_breath_."	"breath_._∅"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"deep"	"breath"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"ethereal"	"heave"	"sigh"	"heave_a"	"a_ethereal"	"ethereal_sigh"	"person_heave_a"	"heave_a_ethereal"	"a_ethereal_sigh"	"ethereal_sigh_."	"NNP"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"deep"	"ethereal"	"sigh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"so"	"that"	"trance"	"person"	"trance_so"	"so_that"	"that_person"	"a_trance_so"	"trance_so_that"	"so_that_person"	"that_person_would"	"DT"	"NN"	"RB"	"JJ"	"IN"	"NNP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"continue"	"most"	"of"	"the"	"week"	"following"	"that"	"ill-starred"	"trip"	"to"	"church"	"during"	"which"	"period"	"person"	"stay"	"in"	"his"	"and"	"usually"	"in"	"a"	"trance"	"so"	"deep"	"that"	"person"	"would"	"have"	"pronounce"	"him"	"dead"	"had"	"he"	"not"	"see"	"it"	"before"	"0"	
"3:00:01::"	"of"	"sea"	"analysis"	"sediment"	"analysis_of"	"of_sea"	"sea_sediment"	"from_analysis_of"	"analysis_of_sea"	"of_sea_sediment"	"sea_sediment_and"	"IN"	"NN"	"IN"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"measure"	"of"	"the"	"total"	"mass"	"accretion"	"of"	"material"	"by"	"the"	"earth"	"is"	"obtain"	"from"	"analysis"	"of"	"deep"	"sea"	"sediment"	"and"	"dust"	"collect"	"in"	"remote"	"region"	"person"	"0"	"0"	
"5:00:00:distant:01"	"foot"	"into"	"375"	"left"	"375_foot"	"foot_into"	"into_left"	"fence_375_foot"	"375_foot_into"	"foot_into_left"	"into_left_."	"NN"	"CD"	"NN"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"ninth"	"person"	"lead"	"off"	"with"	"his"	"second"	"double"	"the"	"night"	"a"	"blast"	"off"	"the"	"fence"	"foot"	"deep"	"into"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:distant:01"	"single"	"into"	"person"	"the"	"person_single"	"single_into"	"into_the"	"∅_person_single"	"person_single_into"	"single_into_the"	"into_the_hole"	"ε"	"NNP"	"VB"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"single"	"deep"	"into"	"the"	"hole"	"at"	"short"	"to"	"start"	"the"	"rally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:profound:00"	"'s"	"experience"	"man"	"-"	"man_'s"	"'s_experience"	"experience_-"	"perpetuate_man_'s"	"man_'s_experience"	"'s_experience_-"	"experience_-_the"	"VB"	"NN"	"POS"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_last_analysis"	"religion"	"be"	"the"	"means"	"of"	"induce"	"formulate"	"express"	"enhance"	"and"	"perpetuate"	"man"	"deep"	"experience"	"the"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"leg"	"in"	"split"	"in_a"	"a_leg"	"leg_split"	"be_in_a"	"in_a_leg"	"a_leg_split"	"leg_split_as"	"VB"	"IN"	"DT"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"place"	"power_stands"	"in"	"position"	"adjust"	"their"	"height"	"so_that"	"this"	"will"	"correspond"	"the"	"height"	"of"	"your"	"shoulder"	"when"	"you"	"be"	"in"	"a"	"deep"	"leg"	"split"	"as"	"for"	"a"	"heavy"	"clean"	"0"	"0"	"0"	
"3:00:01::"	"a"	"leg"	"in"	"split"	"in_a"	"a_leg"	"leg_split"	"be_in_a"	"in_a_leg"	"a_leg_split"	"leg_split_."	"VB"	"IN"	"DT"	"JJ"	"NN"	"NN"	"ε"	"a"	"suitably"	"loaded"	"barbell"	"across"	"them"	"grasp"	"the"	"bar"	"which"	"will"	"rest"	"against"	"the"	"back"	"of"	"your"	"neck"	"extend"	"your"	"foot"	"forward"	"and"	"backward"	"until"	"be"	"in"	"a"	"leg"	"split"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"hypoactive"	"tendon"	"with"	"reflex"	"with_hypoactive"	"hypoactive_tendon"	"tendon_reflex"	",_with_hypoactive"	"with_hypoactive_tendon"	"hypoactive_tendon_reflex"	"tendon_reflex_."	"ε"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"time"	"a"	"detailed"	"neuromuscular"	"examination"	"reveal"	"diffuse"	"muscle"	"atrophy"	"that"	"be"	"moderate"	"in"	"the"	"hand"	"and"	"foot"	"but"	"more"	"marked"	"in"	"the"	"shoulder"	"hip"	"and"	"pelvic_girdle"	"with"	"hypoactive"	"tendon"	"reflex"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
