"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"1:06:00::"	"blue"	"which"	"the"	"still"	"the_blue"	"blue_which"	"which_still"	"in_the_blue"	"the_blue_which"	"blue_which_still"	"which_still_face"	"IN"	"NN"	"JJ"	"NN"	"WDT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"take_off"	"his"	"coat"	"sit"	"in"	"the"	"blue"	"chair"	"which"	"still"	"face"	"the"	"closed"	"bedroom"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"from"	"take_off"	"from_the"	"the_,"	",_take_off"	"rise_from_the"	"from_the_,"	"the_,_take_off"	",_take_off_his"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"from"	"the"	"chair"	"take_off"	"his"	"coat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"no"	"and"	"were"	"you"	"were_no"	"no_and"	"and_you"	"there_were_no"	"were_no_and"	"no_and_you"	"and_you_could"	"EX"	"VBD"	"DT"	"NN"	"CC"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"and"	"the"	"hours"	"be"	"six-thirty"	"in"	"the"	"morning"	"until"	"eleven"	"at"	"night"	"on"	"saturday"	"during"	"sale"	"and"	"were"	"no"	"chair"	"and"	"you"	"could"	"n't"	"smoke"	"and"	"the"	"cooling"	"was"	"overhead"	"fan"	"and"	"there"	"was"	"no"	"porter"	"or"	"janitor"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"in"	"university"	"physics"	"university_'s"	"'s_in"	"in_physics"	"the_university_'s"	"university_'s_in"	"'s_in_physics"	"in_physics_but"	"DT"	"NN"	"POS"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"return"	"to"	"copenhagen"	"apply"	"for"	"the"	"university"	"chair"	"in"	"physics"	"but"	"was"	"reject"	"because"	"he"	"was"	"probably"	"consider"	"more"	"a"	"philosopher"	"than"	"a"	"physicist"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"their"	","	"offer"	"and"	"offer_their"	"their_,"	",_and"	"and_offer_their"	"offer_their_,"	"their_,_and"	",_and_when"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"the"	"woman"	"and"	"offer"	"their"	"chair"	"and"	"when"	"they"	"were"	"all"	"seated"	"again"	"the"	"guest"	"make"	"their"	"inquiry"	"and"	"their"	"explanation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"and"	"on"	"a"	"on_the"	"the_and"	"and_a"	"jacket_on_the"	"on_the_and"	"the_and_a"	"and_a_straw_hat"	"NN"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"jacket"	"on"	"the"	"chair"	"and"	"a"	"straw_hat"	"on"	"the"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"that"	"in"	"block"	"in_a"	"a_that"	"that_block"	"sit_in_a"	"in_a_that"	"a_that_block"	"that_block_the"	"VB"	"IN"	"DT"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"in"	"a"	"chair"	"that"	"block"	"the"	"hall"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"."	"in"	"∅"	"in_his"	"his_."	"._∅"	"sit_back_in_his"	"in_his_."	"his_._∅"	"._∅_∅"	"VB"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"a"	"teaspoonful"	"of"	"powdered"	"coffee"	"in"	"his"	"cup"	"and"	"fill"	"it"	"with"	"hot"	"water"	"and"	"then"	"stir"	"he"	"sit_back"	"in"	"his"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"another"	"and"	"to"	"place"	"to_another"	"another_and"	"and_place"	"move_to_another"	"to_another_and"	"another_and_place"	"and_place_himself"	"VB"	"TO"	"DT"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"not"	"entirely"	"silent"	"or"	"openly"	"rude"	"ask"	"person"	"to"	"move"	"to"	"another"	"chair"	"and"	"place"	"himself"	"in"	"the"	"fauteuil"	"that"	"creak"	"so"	"alarmingly"	"be"	"an"	"act"	"of"	"rudeness"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"arm"	"grasp"	"and"	"grasp_the"	"the_arm"	"arm_and"	"she_grasp_the"	"grasp_the_arm"	"the_arm_and"	"arm_and_bring"	"PRP"	"VB"	"DT"	"NN"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"the"	"chair"	"arm"	"and"	"bring"	"her"	"thin"	"body"	"upright"	"like"	"a"	"bird"	"alert"	"for"	"flight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
