"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:15:02::"	"and"	","	"south_carolina"	"who"	"south_carolina_and"	"and_,"	",_who"	"to_south_carolina_and"	"south_carolina_and_,"	"and_,_who"	",_who_had"	"TO"	"NN"	"CC"	"NN"	"ε"	"WP"	"VBD"	"a_bit"	"sensitive"	"on"	"the"	"subject"	"of"	"their"	"complicity"	"in"	"negro"	"slavery"	"at"	"the"	"time"	"of"	"the"	"drafting"	"of"	"the"	"declaration_of_independence"	"as"	"person"	"explain"	"in"	"his"	"autobiography"	"the"	"clause"	"reprobate"	"the"	"enslaving"	"the"	"inhabitant"	"of"	"africa"	"was"	"strike_out"	"complaisance"	"to"	"south_carolina"	"and"	"who"	"had"	"never"	"attempt"	"to"	"restrain"	"the"	"importation"	"of"	"slave"	"and"	"who"	"on_the_contrary"	"still"	"wish"	"to"	"continue"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"splendid"	"soldier"	"a"	","	"a_splendid"	"splendid_soldier"	"soldier_,"	",_a_splendid"	"a_splendid_soldier"	"splendid_soldier_,"	"soldier_,_differ"	"ε"	"DT"	"JJ"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"splendid"	"georgia"	"soldier"	"differ"	"from"	"most_of"	"his"	"comrade"	"in"	"the"	"rank"	"in"	"that"	"he"	"be"	"the"	"owner"	"of"	"a"	"large"	"plantation"	"well-educated"	"and"	"nearly"	"fifty"	"year"	"of_age"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"a"	"soldier"	"∅"	"give"	"∅_a"	"a_soldier"	"soldier_give"	"∅_∅_a"	"∅_a_soldier"	"a_soldier_give"	"soldier_give_his"	"ε"	"ε"	"DT"	"NN"	"NN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"georgia"	"soldier"	"give"	"his"	"wife"	"the"	"following"	"description"	"of"	"the"	"cause"	"and"	"consequence"	"of"	"diarrhoea"	"i"	"have"	"be"	"a_little"	"sick"	"with"	"diarrhea"	"two"	"or"	"three"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	";"	"atlanta"	"boston"	"atlanta_,"	",_;"	";_boston"	"in_atlanta_,"	"atlanta_,_;"	",_;_boston"	";_boston_,"	"IN"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"washington"	"0"	
"1:15:00::"	","	";"	"atlanta"	"boston"	"atlanta_,"	",_;"	";_boston"	"in_atlanta_,"	"atlanta_,_;"	",_;_boston"	";_boston_,"	"IN"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"office"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"washington"	
"1:15:00::"	"many_of"	"'s"	"that"	"registration"	"that_many_of"	"many_of_'s"	"'s_registration"	"find_that_many_of"	"that_many_of_'s"	"many_of_'s_registration"	"'s_registration_and"	"VB"	"IN"	"JJ"	"NN"	"POS"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jury"	"say"	"did"	"find"	"that"	"many_of"	"georgia"	"registration"	"and"	"election"	"law"	"be"	"outmoded"	"or"	"inadequate"	"and"	"often"	"ambiguous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	"'s"	"implementation"	"automobile"	"implementation_of"	"of_'s"	"'s_automobile"	"∅_implementation_of"	"implementation_of_'s"	"of_'s_automobile"	"'s_automobile_title"	"ε"	"NN"	"IN"	"NN"	"POS"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"georgia"	"automobile"	"title"	"law"	"was"	"also"	"recommend"	"by"	"the"	"outgoing"	"jury"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"∅"	"republican"	"∅"	"are"	"∅_∅"	"∅_republican"	"republican_are"	"∅_∅_∅"	"∅_∅_republican"	"∅_republican_are"	"republican_are_get"	"ε"	"ε"	"ε"	"NN"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"republican"	"are"	"get"	"strong"	"encouragement"	"to"	"enter"	"a"	"candidate"	"in"	"the"	"governor's_race"	"a"	"top"	"official"	"say"	"wednesday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	"'s"	"some"	"most"	"some_of"	"of_'s"	"'s_most"	"on_some_of"	"some_of_'s"	"of_'s_most"	"'s_most_heavily"	"VB"	"DT"	"IN"	"NN"	"POS"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bond"	"issue"	"will"	"go"	"to"	"the"	"state"	"court"	"for"	"a"	"friendly"	"test_suit"	"to"	"test"	"the"	"validity"	"of"	"the"	"act"	"and_then"	"sale"	"will"	"begin"	"and"	"contract"	"let"	"for"	"repair"	"work"	"on"	"some"	"of"	"georgia"	"most"	"heavily"	"traveled"	"highway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"that"	"voter"	"point_out"	"last"	"point_out_that"	"that_voter"	"voter_last"	"person_point_out_that"	"point_out_that_voter"	"that_voter_last"	"voter_last_november"	"NNP"	"VB"	"IN"	"NN"	"NN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"that"	"georgia"	"voter"	"last"	"november"	"reject"	"a"	"constitutional"	"amendment"	"to"	"allow"	"legislator"	"to"	"vote"	"on"	"pay"	"raise"	"for"	"future"	"legislature"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
