"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:36:00::"	"and"	"us"	"-"	"!"	"-_and"	"and_us"	"us_!"	"master_-_and"	"-_and_us"	"and_us_!"	"us_!_∅"	"NN"	"ε"	"CC"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"we"	"to"	"be"	"the"	"master"	"of"	"the"	"atom"	"will"	"the"	"atom"	"be"	"our"	"master"	"and"	"destroy"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"without"	"the"	"and"	"natural"	"and_without"	"without_the"	"the_natural"	"schuylkill_expressway_and_without"	"and_without_the"	"without_the_natural"	"the_natural_beauty"	"NNP"	"CC"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"could"	"be"	"accomplish"	"without"	"the"	"expenditures"	"necessitate"	"by"	"the"	"schuylkill_expressway"	"and"	"without"	"destroy"	"the"	"natural"	"beauty"	"of"	"the"	"east_river_drive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"it"	"plan"	","	"plan_to"	"to_it"	"it_,"	"soldiers_plan_to"	"plan_to_it"	"to_it_,"	"it_,_after"	"NNS"	"VB"	"TO"	"VB"	"PRP"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"reverend_corder"	"save"	"the"	"when"	"union"	"soldiers"	"plan"	"to"	"destroy"	"it"	"after"	"fill"	"its"	"two"	"lanes"	"with"	"hay"	"and"	"straw"	"but"	"for"	"what"	"reason"	"is"	"not"	"record"	"nor"	"remember"	"certainly"	"not"	"because"	"of"	"pressure"	"from"	"an"	"opposing"	"confederate"	"force"	"0"	"0"	
"2:35:00::"	"will"	"the"	"they"	"shrines"	"they_will"	"will_the"	"the_shrines"	";_they_will"	"they_will_the"	"will_the_shrines"	"the_shrines_,"	"ε"	"PRP"	"MD"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"why"	"the"	"members"	"of"	"the"	"beat_generation"	"proudly"	"the"	"title"	"of"	"the"	"holy"	"barbarians"	"they"	"will"	"destroy"	"the"	"shrines"	"temples"	"museums"	"and"	"churches"	"of"	"the"	"state"	"that"	"be"	"the"	"implacable"	"enemy"	"of"	"the"	"life"	"they"	"believe_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"totally"	"overnight"	"almost"	"."	"almost_totally"	"totally_overnight"	"overnight_."	"been_almost_totally"	"almost_totally_overnight"	"totally_overnight_."	"overnight_._∅"	"VBN"	"RB"	"RB"	"VB"	"JJ"	"ε"	"ε"	"near"	"cloudburst"	"proportions"	"had"	"fall"	"for"	"three"	"full"	"days"	"and"	"it"	"was"	"still"	"rain"	"on"	"the"	"morning"	"of"	"friday"	"november"	"when"	"officials"	"of"	"the"	"post_office_department"	"railway_mail_service"	"realize"	"that"	"their"	"distribution"	"system"	"vermont"	"had"	"been"	"almost"	"totally"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"can"	"."	"nothing"	"∅"	"nothing_can"	"can_."	"._∅"	"which_nothing_can"	"nothing_can_."	"can_._∅"	"._∅_∅"	"WDT"	"NN"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"to"	"those"	"who"	"believe"	"on"	"his"	"name"	"and"	"belong"	"to"	"him"	"that"	"he"	"give"	"his"	"peace"	"not"	"that"	"empty"	"peace"	"the"	"world"	"offer"	"but"	"deep"	"abiding"	"peace"	"which"	"nothing"	"can"	"destroy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"everything"	","	"-"	",_that"	"that_everything"	"everything_-"	"1947_,_that"	",_that_everything"	"that_everything_-"	"everything_-_even"	"CD"	"ε"	"IN"	"VB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"you"	"be"	"familiar"	"i"	"be"	"sure"	"with"	"the"	"story"	"of"	"my"	"struggles"	"the"	"fire"	"in"	"january"	"that"	"destroy"	"everything"	"even"	"our"	"precious"	"list"	"of"	"subscribers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"itself"	"means"	"in"	"means_to"	"to_itself"	"itself_in"	"the_means_to"	"means_to_itself"	"to_itself_in"	"itself_in_minutes"	"DT"	"NNS"	"TO"	"VB"	"PRP"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nuclear_weapons"	"have"	"give"	"the"	"world"	"the"	"means"	"for"	"self-destruction"	"in"	"hours"	"days"	"and"	"now"	"rockets"	"have"	"give"	"it"	"the"	"means"	"to"	"destroy"	"itself"	"in"	"minutes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"the"	"side"	"opponent"	"side_to"	"to_the"	"the_opponent"	"neither_side_to"	"side_to_the"	"to_the_opponent"	"the_opponent_'s"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"because"	"this"	"vulnerability"	"be"	"mutual"	"it"	"be"	"the"	"advantage"	"of"	"neither"	"side"	"to"	"destroy"	"the"	"opponent"	"cities"	"at_least"	"so_long"	"as"	"the"	"opponent"	"have"	"nuclear_weapons"	"with"	"which"	"to"	"effect"	"reprisal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"in_order_to"	"the"	"∅"	"enemy"	"∅_in_order_to"	"in_order_to_the"	"the_enemy"	"∅_∅_in_order_to"	"∅_in_order_to_the"	"in_order_to_the_enemy"	"the_enemy_'s"	"ε"	"ε"	"RB"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"destroy"	"the"	"enemy"	"mobile"	"moving"	"or"	"imprecisely"	"located"	"strategic"	"forces"	"we"	"must"	"have"	"a"	"hunter-killer"	"capability"	"in_addition"	"to"	"our"	"missiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"their"	"find"	"strategic"	"find_and"	"and_their"	"their_strategic"	"to_find_and"	"find_and_their"	"and_their_strategic"	"their_strategic_forces"	"TO"	"VB"	"CC"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"it"	"seem"	"reasonable"	"that"	"if"	"general"	"nuclear"	"war"	"is"	"not"	"to"	"be"	"one"	"cataclysmic"	"act"	"of"	"burn"	"each"	"citizens"	"to"	"cinders"	"we"	"must"	"have"	"a"	"manned"	"strategic"	"force"	"of"	"long-endurance"	"aircraft"	"capable_of"	"go_into"	"china"	"or"	"to"	"find"	"and"	"destroy"	"their"	"strategic"	"forces"	"which"	"continue"	"to"	"threaten"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"a"	","	"strategic"	",_to"	"to_a"	"a_strategic"	"weeks_,_to"	",_to_a"	"to_a_strategic"	"a_strategic_force"	"NNS"	"ε"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"survivability"	"of"	"our"	"strategic"	"forces"	"polaris"	"mobile"	"and"	"hardened"	"minuteman"	"hardened"	"atlas"	"and"	"titan"	"and"	"airborne"	"skybolt"	"mean"	"that"	"it"	"will"	"some"	"time"	"perhaps"	"weeks"	"to"	"destroy"	"a"	"strategic"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"."	"be_found"	"∅"	"be_found_and"	"and_."	"._∅"	"must_be_found_and"	"be_found_and_."	"and_._∅"	"._∅_∅"	"MD"	"VB"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"forces"	"which"	"survive"	"initial"	"attack"	"must"	"be_found"	"and"	"destroy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"mobile"	"find"	"targets"	"find_and"	"and_mobile"	"mobile_targets"	"able_to_find_and"	"find_and_mobile"	"and_mobile_targets"	"mobile_targets_."	"JJ"	"VB"	"CC"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some_day"	"many"	"years"	"in_the_future"	"true"	"spacecraft"	"be"	"able_to"	"find"	"and"	"destroy"	"mobile"	"targets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
