"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:30:00::"	"to"	"out-of-town"	"a._m."	"members"	"a._m._to"	"to_out-of-town"	"out-of-town_members"	"9_a._m._to"	"a._m._to_out-of-town"	"to_out-of-town_members"	"out-of-town_members_to"	"CD"	"NNP"	"TO"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"casualties"	"but"	"the"	"guerrillas"	"admit"	"to"	"be"	"a_little"	"tired"	"when"	"the"	"leaders"	"call"	"halt"	"at"	"a._m."	"to"	"enable"	"out-of-town"	"members"	"to"	"catch"	"a"	"plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"us"	"court"	"to"	"court_,"	",_us"	"us_to"	"the_court_,"	"court_,_us"	",_us_to"	"us_to_utilize"	"DT"	"NN"	"ε"	"VB"	"PRP"	"TO"	"VB"	"affirmative"	"step"	"could"	"be"	"take"	"to"	"this"	"end"	"than"	"repeal"	"of"	"the"	"connally"	"amendment"	"an"	"act"	"which"	"could"	"expose"	"the"	"united_states"	"to"	"no"	"practical"	"risk"	"yet"	"would"	"put"	"an"	"end"	"to"	"our"	"self-judging"	"attitude"	"toward"	"the"	"court"	"us"	"to"	"utilize"	"it"	"and"	"advance"	"in"	"a"	"tangible"	"way"	"the"	"cause"	"of"	"international_law"	"and"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"-"	"fiat"	"marshall_plan"	"to"	"marshall_plan_-"	"-_fiat"	"fiat_to"	"the_marshall_plan_-"	"marshall_plan_-_fiat"	"-_fiat_to"	"fiat_to_turn_out"	"DT"	"NNP"	"ε"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"modern"	"equipment"	"much"	"of_it"	"supply"	"the"	"marshall_plan"	"enable"	"fiat"	"to"	"turn_out"	"cars"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"that"	"president_balaguer"	"force"	"to"	"force_that"	"that_president_balaguer"	"president_balaguer_to"	"of_force_that"	"force_that_president_balaguer"	"that_president_balaguer_to"	"president_balaguer_to_prevent"	"IN"	"NN"	"WDT"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"dominican_republic"	"achieve"	"free"	"democratic"	"government"	"it"	"will"	"be_due"	"large"	"part"	"to"	"the"	"u._s."	"show"	"of"	"force"	"that"	"enable"	"president_balaguer"	"to"	"prevent"	"a"	"threatened"	"restoration"	"of"	"trujillo"	"dictatorship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"students"	"∅"	"and"	"∅_to"	"to_students"	"students_and"	"∅_∅_to"	"∅_to_students"	"to_students_and"	"students_and_the"	"ε"	"ε"	"TO"	"VB"	"NNS"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enable"	"students"	"and"	"the"	"public"	"to"	"spot"	"sloan"	"forgeries"	"the"	"delaware_art_center"	"according"	"to"	"its"	"director"	"bruce_st._john"	"will"	"maintain"	"a"	"complete"	"file"	"of"	"photographs"	"of"	"all"	"sloan"	"works"	"as_well"	"as"	"a"	"card"	"index"	"file"	
"2:30:00::"	"would"	"one"	"which"	"to"	"which_would"	"would_one"	"one_to"	"premise_which_would"	"which_would_one"	"would_one_to"	"one_to_make"	"NN"	"WDT"	"MD"	"VB"	"CD"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"missing"	"in"	"the"	"governor"	"argument"	"as"	"in"	"so"	"similar"	"arguments"	"be"	"a"	"premise"	"which"	"would"	"enable"	"one"	"to"	"make"	"the"	"ethical"	"leap"	"from"	"what"	"might"	"be"	"militarily"	"desirable"	"to"	"what"	"be"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"counties"	"voting_machines"	"to"	"voting_machines_,"	",_counties"	"counties_to"	"of_voting_machines_,"	"voting_machines_,_counties"	",_counties_to"	"counties_to_repay"	"IN"	"NN"	"ε"	"VB"	"NNS"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sheets"	"say"	"that"	"his"	"proposed"	"law"	"would"	"offer"	"financing"	"aid"	"for"	"the"	"purchase"	"of"	"voting_machines"	"enable"	"counties"	"to"	"repay"	"the"	"loan"	"over"	"a"	"year"	"period"	"without"	"interest"	"or"	"charge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"us"	"comedy"	"to"	"comedy_,"	",_us"	"us_to"	"border_on_comedy_,"	"comedy_,_us"	",_us_to"	"us_to_tell"	"VB"	"NN"	"ε"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"this"	"near"	"tragedy"	"which"	"us"	"border_on"	"comedy"	"enable"	"us"	"to"	"tell"	"the"	"story"	"over_and_over_again"	"always"	"warm"	"ourselves"	"with"	"a"	"glow"	"of"	"complacency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"the"	"necessary"	"commission"	"necessary_to"	"to_the"	"the_commission"	"be_necessary_to"	"necessary_to_the"	"to_the_commission"	"the_commission_to"	"VB"	"JJ"	"TO"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"is"	"hereby"	"authorize"	"to"	"be"	"appropriate"	"out"	"of"	"any"	"money"	"in"	"treasury"	"not"	"appropriate"	"such"	"sum"	"as"	"may"	"be"	"necessary"	"to"	"enable"	"the"	"commission"	"to"	"carry_out"	"its"	"function"	"under"	"this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"would"	"more"	"assistance"	"emphasis"	"assistance_would"	"would_more"	"more_emphasis"	"financial_assistance_would"	"assistance_would_more"	"would_more_emphasis"	"more_emphasis_to"	"JJ"	"NN"	"MD"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"personal"	"assistance"	"would"	"enable"	"more"	"emphasis"	"to"	"be"	"placed"	"on"	"the"	"interest"	"of"	"the"	"individual"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
