"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:38:00::"	"to"	"the"	"business"	"u._s."	"business_to"	"to_the"	"the_u._s."	"foreign_business_to"	"business_to_the"	"to_the_u._s."	"the_u._s._."	"JJ"	"NN"	"TO"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hodges"	"is"	"try"	"to"	"more"	"foreign"	"business"	"to"	"go_to"	"the"	"u._s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"the"	"∅"	"hall"	"∅_i"	"i_the"	"the_hall"	"∅_∅_i"	"∅_i_the"	"i_the_hall"	"the_hall_in"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_to"	"the"	"hall"	"in"	"the"	"afternoons"	"only"	"on"	"these"	"preliminary"	"matters"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"hands"	"her"	"her"	"hair"	"her_hands"	"hands_her"	"her_hair"	",_her_hands"	"her_hands_her"	"hands_her_hair"	"her_hair_."	"ε"	"PRP$"	"NNS"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"rub"	"her"	"eyes"	"and"	"then"	"sit_up"	"her"	"hands"	"go_to"	"her"	"hair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"who"	"the"	"airmen"	"congo"	"airmen_who"	"who_the"	"the_congo"	"italian_airmen_who"	"airmen_who_the"	"who_the_congo"	"the_congo_to"	"JJ"	"NNS"	"WP"	"VB"	"DT"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thirteen"	"airmen"	"who"	"go_to"	"the"	"congo"	"to"	"serve"	"the"	"cause"	"of"	"peace"	"under"	"the"	"united_nations"	"banner"	"have"	"instead"	"meet"	"violent_death"	"at"	"the"	"hands"	"of"	"congolese"	"troops"	"supposedly"	"their"	"friends"	
"2:38:00::"	"sunday"	"the"	"early"	"home"	"early_sunday"	"sunday_the"	"the_home"	"thomas_early_sunday"	"early_sunday_the"	"sunday_the_home"	"the_home_of"	"NNP"	"JJ"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thomas"	"sunday"	"go_to"	"the"	"home"	"of"	"his"	"uncle"	"and"	"aunt"	"mr."	"and"	"mrs._r._c._thomas"	"blanche_st."	"nw"	"look_for"	"his"	"wife"	"margaret_lou_thomas"	"and"	"their"	"month-old"	"baby"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"then"	"the"	","	"bathroom"	",_then"	"then_the"	"the_bathroom"	"pick_up_,_then"	",_then_the"	"then_the_bathroom"	"the_bathroom_for"	"VB"	"ε"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"close"	"the"	"last"	"bag"	"and"	"stand"	"all"	"three"	"the"	"door"	"for"	"the"	"bellboy"	"to"	"pick_up"	"then"	"go_to"	"the"	"bathroom"	"for"	"a"	"drink"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"they"	"a"	"now"	"high_school"	"now_they"	"they_a"	"a_high_school"	"∅_now_they"	"now_they_a"	"they_a_high_school"	"a_high_school_that"	"ε"	"RB"	"PRP"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"go_to"	"a"	"high_school"	"that"	"be"	"two"	"miles"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"ever"	"church"	"she"	"."	"she_ever"	"ever_church"	"church_."	"if_she_ever"	"she_ever_church"	"ever_church_."	"church_._∅"	"IN"	"PRP"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"i"	"sleep_in"	"this"	"morning"	"she"	"say"	"drowsily"	"and"	"as"	"she"	"against"	"him"	"he"	"wonder"	"if"	"she"	"ever"	"go_to"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"were"	"a"	"they"	"late"	"they_were"	"were_a"	"a_late"	"think_they_were"	"they_were_a"	"were_a_late"	"a_late_mass"	"VB"	"PRP"	"VBD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"half-hour"	"later"	"he"	"get_up"	"her"	"up"	"to"	"go_out"	"for"	"breakfast"	"so"	"the"	"hear"	"them"	"hurry"	"down"	"the"	"stairs"	"would"	"think"	"they"	"were"	"go_to"	"a"	"late"	"mass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"person"	"do"	"'s"	"do_was"	"was_person"	"person_'s"	"to_do_was"	"do_was_person"	"was_person_'s"	"person_'s_house"	"TO"	"VB"	"VBD"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"person"	"want"	"to"	"do"	"was"	"go_to"	"person"	"house"	"and"	"do"	"whatever"	"detective"	"do"	"and"	"get"	"her"	"clothes"	"and"	"handbag"	"contain"	"her"	"identification"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"all"	"mama"	"they"	"and"	"they_all"	"all_mama"	"mama_and"	"every_night_they_all"	"they_all_mama"	"all_mama_and"	"mama_and_papa"	"RB"	"PRP"	"DT"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every_night"	"all"	"go_to"	"mama"	"and"	"papa"	"person"	"and"	"sit"	"on"	"the"	"open"	"front_porch"	"where"	"they"	"could"	"get"	"the"	"breeze"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
