"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"1:26:00::"	"little"	"of"	"seem"	"agreement"	"seem_little"	"little_of"	"of_agreement"	"there_seem_little"	"seem_little_of"	"little_of_agreement"	"of_agreement_."	"EX"	"VB"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"be"	"a"	"difference"	"in"	"belief"	"where"	"there"	"seem"	"little"	"chance"	"of"	"agreement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"his"	"the"	"have"	"very"	"have_his"	"his_the"	"the_very"	"he_have_his"	"have_his_the"	"his_the_very"	"the_very_next"	"PRP"	"VB"	"PRP$"	"NN"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"his"	"chance"	"the"	"very"	"next"	"morning"	"for"	"exactly"	"the"	"same"	"thing"	"happen"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"that"	"."	"get"	"∅"	"get_that"	"that_."	"._∅"	"never_get_that"	"get_that_."	"that_._∅"	"._∅_∅"	"RB"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"get"	"that"	"chance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"minimal"	"of"	"a"	"either"	"a_minimal"	"minimal_of"	"of_either"	"represent_a_minimal"	"a_minimal_of"	"minimal_of_either"	"of_either_attain"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"boyhood"	"a"	"minimal"	"chance"	"of"	"either"	"attain"	"greatness"	"or"	"serve"	"his"	"people"	"so"	"well"	"and"	"over"	"so"	"long"	"a"	"span"	"of"	"life"	"0"	"0"	"0"	
"1:26:00::"	"his"	"of"	"lower"	"a"	"lower_his"	"his_of"	"of_a"	",_lower_his"	"lower_his_of"	"his_of_a"	"of_a_bull's_eye"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"a"	"round"	"of"	"target_practice"	"the"	"sun"	"come"	"from"	"a"	"cloud"	"and"	"dazzle"	"the"	"marksman"	"lower"	"his"	"chance"	"of"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"for"	"''"	"a"	"''_a"	"a_for"	"for_a"	"chorine_''_a"	"''_a_for"	"a_for_a"	"for_a_nostalgic"	"NN"	"ε"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"party"	"at"	"person"	"penthouse"	"the"	"chorine"	"a"	"chance"	"for"	"a"	"nostalgic"	"frolic"	"through"	"all"	"those"	"hackneyed"	"routine"	"which"	"have"	"become"	"a"	"classic"	"choreographic"	"statement"	"of"	"the"	"era"	"nonsense"	
"1:26:00::"	"two"	"to"	"only"	"applaud"	"only_two"	"two_to"	"to_applaud"	"have_only_two"	"only_two_to"	"two_to_applaud"	"to_applaud_."	"VB"	"JJ"	"JJ"	"NN"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crowd"	"of"	"only"	"two"	"chance"	"to"	"applaud"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"no"	"of"	"be"	"avoid"	"be_no"	"no_of"	"of_avoid"	"there_be_no"	"be_no_of"	"no_of_avoid"	"of_avoid_them"	"EX"	"VB"	"DT"	"NN"	"IN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"succeed"	"in"	"elude"	"the"	"curious"	"the"	"hotel"	"but"	"there"	"be"	"no"	"chance"	"of"	"avoid"	"them"	"at"	"the"	"nightclub"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"."	"get"	"∅"	"get_the"	"the_."	"._∅"	"never_get_the"	"get_the_."	"the_._∅"	"._∅_∅"	"RB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"mean"	"to"	"say"	"more"	"he"	"never"	"get"	"the"	"chance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"by"	"alone"	"reach"	"."	"reach_by"	"by_alone"	"alone_."	"be_reach_by"	"reach_by_alone"	"by_alone_."	"alone_._∅"	"VB"	"VB"	"RB"	"NN"	"RB"	"ε"	"ε"	"a"	"well-known"	"relationship"	"between"	"probability"	"and"	"entropy"	"which"	"state"	"that"	"f"	"where"	"be"	"the"	"probability"	"that"	"state"	"i.e."	"volume"	"for"	"an"	"ideal_gas"	"could"	"be"	"reach"	"by"	"chance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"goddamned"	"for"	"no"	"no"	"no_goddamned"	"goddamned_for"	"for_no"	"take_a_chance_no_goddamned"	"no_goddamned_for"	"goddamned_for_no"	"for_no_jew"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"ai"	"n't"	"no"	"goddamned"	"chance"	"for"	"no"	"jew"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
