"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"1:10:00::"	"of"	"information"	"amount"	"that"	"amount_of"	"of_information"	"information_that"	"the_amount_of"	"amount_of_information"	"of_information_that"	"information_that_have"	"DT"	"NN"	"IN"	"NN"	"NN"	"WDT"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"technique"	"reduce"	"the"	"amount"	"of"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"'s"	"organize"	"content"	"organize_the"	"the_'s"	"'s_content"	"all_organize_the"	"organize_the_'s"	"the_'s_content"	"'s_content_around"	"DT"	"VB"	"DT"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"technique"	"for"	"reduce"	"the"	"amount"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"only"	"information"	"select"	"require"	"select_only"	"only_information"	"information_require"	"for_select_only"	"select_only_information"	"only_information_require"	"information_require_by"	"IN"	"VB"	"RB"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"propose"	"a"	"for"	"select"	"only"	"dictionary"	"information"	"require"	"by"	"the"	"text"	"being"	"translate"	"and"	"a"	"means"	"for"	"pass"	"the"	"information"	"directly"	"to"	"the"	"occurrence"	"in"	"text"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"be"	"∅"	"a"	"∅_the"	"the_be"	"be_a"	"∅_∅_the"	"∅_the_be"	"the_be_a"	"be_a_form"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dictionary"	"be"	"a"	"form"	"dictionary"	"at_least"	"in"	"the"	"sense"	"that"	"complete"	"form"	"are"	"use"	"as"	"the"	"basis"	"for"	"match"	"text"	"occurrence"	"with"	"dictionary_entry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"form"	","	"a"	"at_least"	"a_form"	"form_,"	",_at_least"	"be_a_form"	"a_form_,"	"form_,_at_least"	",_at_least_in"	"VB"	"DT"	"NN"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dictionary"	"a"	"form"	"dictionary"	"at_least"	"in"	"the"	"sense"	"that"	"complete"	"form"	"are"	"use"	"as"	"the"	"basis"	"for"	"match"	"text"	"occurrence"	"with"	"dictionary_entry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"each"	"form"	"∅"	"is"	"∅_each"	"each_form"	"form_is"	"∅_∅_each"	"∅_each_form"	"each_form_is"	"form_is_look_up"	"ε"	"ε"	"DT"	"NN"	"NN"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dictionary"	"form"	"is"	"look_up"	"in"	"the"	"text"	"form"	"list"	"by"	"the"	"same"	"method"	"use"	"to"	"look_up"	"a"	"new"	"text"	"occurrence"	"in"	"the"	"form"	"list"	"during"	"text"	"reading"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"are"	"in"	"record"	"in_the"	"the_are"	"are_record"	"form_in_the"	"in_the_are"	"the_are_record"	"are_record_in"	"NN"	"IN"	"DT"	"NN"	"VBP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"grammatic"	"description"	"all"	"form"	"in"	"the"	"dictionary"	"are"	"record"	"in"	"a"	"part"	"of"	"the"	"dictionary"	"file"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"file"	"of"	"."	"of_the"	"the_file"	"file_."	"part_of_the"	"of_the_file"	"the_file_."	"file_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"grammatic"	"description"	"of"	"all"	"form"	"in"	"dictionary"	"are"	"record"	"in"	"a"	"part"	"of"	"the"	"dictionary"	"file"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"on"	"information"	"requirement"	"make"	"requirement_on"	"on_information"	"information_make"	"only_requirement_on"	"requirement_on_information"	"on_information_make"	"information_make_by"	"JJ"	"NN"	"IN"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"requirement"	"on"	"dictionary"	"information"	"make"	"by"	"the"	"text"	"lookup"	"operation"	"be"	"that"	"each"	"form"	"represent"	"by"	"the"	"dictionary"	"be"	"available"	"for"	"lookup"	"in"	"the"	"text"	"form"	"list"	"and"	"that"	"information"	"for"	"each"	"form"	"be"	"available"	"in"	"a"	"sequence"	"identical"	"with"	"the"	"sequence"	"of"	"the"	"form"	
"1:10:00::"	"the"	"be"	"by"	"available"	"by_the"	"the_be"	"be_available"	"represent_by_the"	"by_the_be"	"the_be_available"	"be_available_for"	"VB"	"IN"	"DT"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"requirement"	"on"	"dictionary"	"information"	"make"	"by"	"the"	"lookup"	"operation"	"be"	"that"	"each"	"form"	"represent"	"by"	"the"	"dictionary"	"be"	"available"	"for"	"lookup"	"in"	"the"	"text"	"form"	"list"	"and"	"that"	"information"	"for"	"each"	"form"	"be"	"available"	"in"	"a"	"sequence"	"identical"	"with"	"the"	"sequence"	"of"	"the"	"form"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
