"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"4:02:00::"	"fight"	"three"	","	"month"	",_fight"	"fight_three"	"three_month"	"vientiane_,_fight"	",_fight_three"	"fight_three_month"	"three_month_earlier"	"NN"	"ε"	"VB"	"RB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"damage"	"had"	"been"	"do"	"the"	"battle"	"of"	"vientiane"	"fight"	"less_than"	"three"	"month"	"earlier"	"when"	"four"	"successive"	"government"	"had"	"rule"	"here"	"in"	"three"	"day"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"me"	"five"	"take"	"minute"	"take_me"	"me_five"	"five_minute"	"it_take_me"	"take_me_five"	"me_five_minute"	"five_minute_to"	"PRP"	"VB"	"PRP"	"RB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"be"	"only"	"two"	"or"	"three"	"mile"	"the"	"group"	"and"	"it"	"take"	"me"	"less_than"	"five"	"minute"	"to"	"get"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"in"	"two"	"bag"	"minute"	"bag_in"	"in_two"	"two_minute"	"equipment_bag_in"	"bag_in_two"	"in_two_minute"	"two_minute_,"	"NN"	"NN"	"IN"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"in"	"his"	"car"	"his"	"camera"	"and"	"equipment"	"bag"	"in"	"less_than"	"two"	"minute"	"and"	"it"	"take"	"him"	"only"	"three"	"more"	"to"	"reach"	"the"	"corner"	"a"	"block"	"from"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"percentage"	"33"	"allotment"	"-"	"allotment_percentage"	"percentage_33"	"33_-"	"an_allotment_percentage"	"allotment_percentage_33"	"percentage_33_-"	"33_-_1"	"DT"	"NN"	"NN"	"RB"	"CD"	"ε"	"JJ"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"by"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"no"	"state"	"shall"	"have"	"allotment"	"percentage"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"its"	")"	"minimum"	")_be"	"be_its"	"its_minimum"	"above_)_be"	")_be_its"	"be_its_minimum"	"its_minimum_("	"RB"	"ε"	"VB"	"RB"	"PRP$"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"in"	"item"	"above"	"be"	"less_than"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"so"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"minimum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"share"	"50"	"federal"	"%"	"federal_share"	"share_50"	"50_%"	"a_federal_share"	"federal_share_50"	"share_50_%"	"50_%_nor"	"DT"	"JJ"	"NN"	"RB"	"NN"	"ε"	"CC"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"by"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"no"	"state"	"shall"	"have"	"federal"	"share"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"owe"	"$"	"you"	"1"	"you_owe"	"owe_$"	"$_1"	"unless_you_owe"	"you_owe_$"	"owe_$_1"	"$_1_,"	"IN"	"PRP"	"VB"	"RB"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"your"	"computation"	"on"	"form_1040"	"or"	"form_1040_a"	"show"	"you"	"owe"	"additional"	"tax"	"it"	"should"	"be"	"remit"	"with"	"return"	"unless"	"you"	"owe"	"less_than"	"in"	"which"	"case"	"it"	"is"	"forgive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"of"	"$"	"refund"	"1"	"refund_of"	"of_$"	"$_1"	"∅_refund_of"	"refund_of_$"	"of_$_1"	"$_1_will"	"ε"	"NN"	"IN"	"RB"	"ε"	"JJ"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"less_than"	"will"	"not"	"be"	"make"	"unless"	"you"	"attach"	"a"	"application"	"to"	"your"	"return"	"request"	"such"	"a"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"of"	"$"	"income"	"600"	"income_of"	"of_$"	"$_600"	"gross_income_of"	"income_of_$"	"of_$_600"	"$_600_be"	"JJ"	"NN"	"IN"	"RB"	"ε"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"who"	"gross"	"income"	"of"	"less_than"	"be"	"entitled"	"to"	"a"	"refund"	"if"	"income_tax"	"was"	"withhold"	"from"	"his"	"wage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"its"	"maximum"	"at"	"violence"	"at_its"	"its_maximum"	"maximum_violence"	"newport_at_its"	"at_its_maximum"	"its_maximum_violence"	"maximum_violence_,"	"NN"	"IN"	"PRP$"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"anyone"	"who"	"newport"	"at"	"its"	"less_than"	"maximum"	"violence"	"this"	"view"	"of"	"what"	"the"	"boy"	"and"	"girl"	"do"	"in"	"the"	"springtime"	"before"	"they"	"wing"	"north"	"for"	"the"	"jazz_festival"	"ought"	"to"	"prove"	"entertaining"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"with"	"a"	"all"	"10"	"all_with"	"with_a"	"a_10"	"but_all_with"	"all_with_a"	"with_a_10"	"a_10_-"	"CC"	"DT"	"IN"	"RB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"information"	"on"	"snake"	"vary"	"in"	"size"	"but"	"all"	"with"	"less_than"	"a"	"foot"	"maximum"	"show"	"when"	"consider"	"with"	"the"	"foregoing"	"that"	"there"	"be"	"probably"	"no"	"correlation"	"between"	"the"	"length"	"of"	"a"	"snake"	"and"	"the"	"time"	"require"	"for"	"it"	"to"	"mature"	
