"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:35:02::"	","	"the"	"pieces"	"ends"	"pieces_,"	",_the"	"the_ends"	"the_pieces_,"	"pieces_,_the"	",_the_ends"	"the_ends_smooth"	"DT"	"NNS"	"ε"	"VB"	"DT"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"cut"	"pieces"	"dress"	"the"	"ends"	"smooth"	"and"	"square"	"with"	"a"	"smooth"	"file"	"or"	"sanding"	"disk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"after"	","	","	"be"	",_after"	"after_,"	",_be"	"girls_,_after"	",_after_,"	"after_,_be"	",_be_indignant"	"NNS"	"ε"	"IN"	"VB"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"after"	"dress"	"be"	"indignant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"to"	"than"	"way"	"college_students"	"way_to"	"to_than"	"than_college_students"	"the_way_to"	"way_to_than"	"to_than_college_students"	"than_college_students_."	"DT"	"NN"	"TO"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"high_school"	"students"	"have"	"more"	"of"	"the"	"way"	"to"	"dress"	"than"	"college_students"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"she"	"and"	"∅"	"the"	"∅_she"	"she_and"	"and_the"	"∅_∅_she"	"∅_she_and"	"she_and_the"	"and_the_accustomed"	"ε"	"ε"	"PRP"	"VB"	"CC"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dress"	"and"	"the"	"accustomed"	"routine"	"restore"	"to"	"her"	"a"	"sense"	"of"	"normal"	"everyday"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"n't"	"for"	"have"	"the"	"have_n't"	"n't_for"	"for_the"	"you_have_n't"	"have_n't_for"	"n't_for_the"	"for_the_occasion"	"PRP"	"VBP"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"n't"	"dress"	"for"	"the"	"occasion"	"they"	"point_out"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"i'm"	"as"	"``"	"i"	"``_i'm"	"i'm_as"	"as_i"	"∅_``_i'm"	"``_i'm_as"	"i'm_as_i"	"as_i_always"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dress"	"as"	"i"	"always"	"am"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"was"	"as"	"i"	"carefully"	"i_was"	"was_as"	"as_carefully"	"door_i_was"	"i_was_as"	"was_as_carefully"	"as_carefully_as"	"NN"	"PRP"	"VBD"	"VB"	"RB"	"RB"	"IN"	"five"	"o'clock"	"that"	"night"	"it"	"be"	"already"	"dark"	"and"	"behind"	"closed"	"door"	"was"	"dress"	"as"	"carefully"	"as"	"a"	"groom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"all"	"as"	"("	"if"	"(_all"	"all_as"	"as_if"	"traveller_(_all"	"(_all_as"	"all_as_if"	"as_if_for"	"NN"	"ε"	"JJ"	"VB"	"IN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"when"	"i"	"ascend"	"to_it"	"with"	"fellow"	"subway"	"traveller"	"all"	"dress"	"as"	"if"	"for"	"a"	"huge"	"wedding"	"in"	"a"	"family"	"of"	"which"	"we"	"be"	"all"	"distant"	"member"	"be"	"nearly"	"impassable"	"the"	"sidewalk"	"swarming_with"	"celebrant"	"with"	"bundled-up"	"sailor"	"and"	"soldier"	"already"	"hug"	"their"	"girl"	"and"	"their"	"rationed"	"bottle"	"of"	"whiskey"	
"2:29:00::"	"he"	","	"∅"	"and"	"∅_he"	"he_,"	",_and"	"∅_∅_he"	"∅_he_,"	"he_,_and"	",_and_speed"	"ε"	"ε"	"PRP"	"VB"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dress"	"and"	"speed"	"outdoors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"they"	"and"	"light"	"straighten"	"light_they"	"they_and"	"and_straighten"	"underwater_light_they"	"light_they_and"	"they_and_straighten"	"and_straighten_up"	"JJ"	"NN"	"PRP"	"VB"	"CC"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"underwater"	"light"	"they"	"dress"	"and"	"straighten"	"up"	"the"	"room"	"and"	"then"	"they"	"go"	"across"	"the"	"hall"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
