"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:41:00::"	"east_greenwich_fire_district"	"parts"	"the"	"of"	"the_east_greenwich_fire_district"	"east_greenwich_fire_district_parts"	"parts_of"	"∅_the_east_greenwich_fire_district"	"the_east_greenwich_fire_district_parts"	"east_greenwich_fire_district_parts_of"	"parts_of_warwick"	"ε"	"DT"	"NNP"	"VB"	"NNS"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"east_greenwich_fire_district"	"service"	"parts"	"of"	"warwick"	"as_well"	"as"	"east_greenwich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"area"	"potowomut"	"area_to"	"to_the"	"the_potowomut"	"disposal_area_to"	"area_to_the"	"to_the_potowomut"	"the_potowomut_and"	"NN"	"NN"	"TO"	"VB"	"DT"	"NNP"	"CC"	"put_out_feelers"	"last"	"year"	"to"	"the"	"city"	"of"	"warwick"	"as"	"report"	"in"	"your"	"newspapers"	"suggest"	"investigation"	"of"	"a"	"common"	"rubbish"	"disposal"	"area"	"to"	"the"	"potowomut"	"and"	"cowessett"	"areas"	"of"	"warwick"	"along"	"with"	"east_greenwich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"for"	"be"	"need"	"here"	"need_for"	"for_be"	"be_here"	"∅_need_for"	"need_for_be"	"for_be_here"	"be_here_to"	"ε"	"NN"	"IN"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"service"	"be"	"here"	"to"	"stay"	"and"	"the"	"problem"	"is"	"going_to"	"be"	"tough"	"to"	"solve"	"in"	"the"	"sixties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"customer"	"require"	"good"	"as"	"good_customer"	"customer_require"	"require_as"	"provide_good_customer"	"good_customer_require"	"customer_require_as"	"require_as_thorough"	"VB"	"JJ"	"NN"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"provide"	"customer"	"service"	"require"	"as"	"thorough"	"a"	"marketing"	"and"	"general"	"management"	"planning"	"job"	"as"	"the"	"original"	"selling"	"of"	"the"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"good"	"start"	"∅"	"with"	"∅_good"	"good_start"	"start_with"	"∅_∅_good"	"∅_good_start"	"good_start_with"	"start_with_product"	"ε"	"ε"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"service"	"start"	"with"	"product"	"design"	"and"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"of"	"and"	"importance"	"give"	"importance_of"	"of_and"	"and_give"	"the_importance_of"	"importance_of_and"	"of_and_give"	"and_give_it"	"DT"	"NN"	"IN"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"the"	"importance"	"of"	"service"	"and"	"give"	"it"	"proper"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:07::"	"and"	"program"	"benefit"	"?"	"benefit_and"	"and_program"	"program_?"	"your_benefit_and"	"benefit_and_program"	"and_program_?"	"program_?_∅"	"PRP$"	"NN"	"CC"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"long"	"has"	"it"	"be"	"since"	"review"	"the"	"objective"	"of"	"your"	"benefit"	"and"	"service"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:05::;1:04:00::"	"buying"	"for"	"free"	"employee"	"free_buying"	"buying_for"	"for_employee"	"too_much_free_buying"	"free_buying_for"	"buying_for_employee"	"for_employee_?"	"RB"	"JJ"	"NN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"your"	"purchasing_agent"	"too_much"	"free"	"buying"	"service"	"for"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"of"	"our"	"kind"	"expanding"	"kind_of"	"of_our"	"our_expanding"	"the_kind_of"	"kind_of_our"	"of_our_expanding"	"our_expanding_population"	"DT"	"NN"	"RB"	"NN"	"PRP$"	"JJ"	"NN"	"0"	"0"	"person"	"for"	"several"	"year"	"now"	"the"	"commuter"	"railroad"	"serve"	"our"	"large"	"metropolitan"	"area"	"have"	"find"	"it"	"increasingly"	"difficult"	"render"	"the"	"of"	"service"	"our"	"expanding"	"population"	"want"	"and"	"is"	"entitled"	"to"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:08::"	"the"	"of"	"acquire"	"chemist"	"acquire_the"	"the_of"	"of_chemist"	"∅_acquire_the"	"acquire_the_of"	"the_of_chemist"	"of_chemist_,"	"ε"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"service"	"of"	"chemist"	"physicist"	"engineer"	"and"	"personnel"	"by"	"contract"	"or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
