"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:31:00::"	"officials"	"the"	"∅"	"annual"	"∅_officials"	"officials_the"	"the_annual"	"∅_∅_officials"	"∅_officials_the"	"officials_the_annual"	"the_annual_tax_boost"	"ε"	"ε"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"estimate"	"the"	"annual"	"tax_boost"	"for"	"the"	"medical"	"plan"	"would"	"amount"	"to"	"billion"	"dollars"	"and"	"that"	"medical"	"benefits"	"pay_out"	"would"	"run"	"billion"	"or"	"more"	"in"	"the"	"first"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"was"	"in_the_beginning"	"what"	"."	"what_was"	"was_in_the_beginning"	"in_the_beginning_."	"twice_what_was"	"what_was_in_the_beginning"	"was_in_the_beginning_."	"in_the_beginning_._∅"	"RB"	"WP"	"VBD"	"VB"	"RB"	"ε"	"ε"	"portion"	"of"	"the"	"essex"	"bridge"	"be"	"well"	"worth"	"the"	"cost"	"of"	"construction"	"although"	"it"	"prove"	"to"	"be"	"twice"	"what"	"in_the_beginning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"since"	"cannot"	"the"	"cannot_be"	"be_since"	"since_the"	"furlough_cannot_be"	"cannot_be_since"	"be_since_the"	"since_the_lay-offs"	"VB"	"MD"	"VB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"spokesman"	"say"	"the"	"to"	"be"	"furlough"	"cannot"	"be"	"estimate"	"since"	"the"	"lay-offs"	"must"	"be"	"carry_out"	"in"	"each"	"area"	"depending_on"	"what"	"men"	"are"	"most"	"need"	"on_the_job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"that"	"it"	"multiple"	"it_is"	"is_that"	"that_multiple"	",_it_is"	"it_is_that"	"is_that_multiple"	"that_multiple_unit"	"ε"	"PRP"	"VBZ"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"it"	"estimate"	"that"	"multiple"	"unit"	"dwellings"	"will"	"account_for"	"nearly"	"per_cent"	"of"	"the"	"starts"	"in"	"residential"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"one_shot"	"by"	"and"	"the"	"and_one_shot"	"one_shot_by"	"by_the"	"blast_and_one_shot"	"and_one_shot_by"	"one_shot_by_the"	"by_the_japanese"	"NN"	"CC"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assume"	"the"	"lower"	"figure"	"the"	"big"	"blast"	"and"	"one_shot"	"estimate"	"by"	"the"	"japanese"	"at"	"megatons"	"a"	"conservative"	"computation"	"be"	"that"	"the"	"announced"	"tests"	"produce"	"a"	"total"	"yield"	"of"	"at_least"	"megatons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"which"	"a"	","	"6.9"	",_which"	"which_a"	"a_6.9"	"review_,_which"	",_which_a"	"which_a_6.9"	"a_6.9_billion"	"NN"	"ε"	"WDT"	"VB"	"DT"	"CD"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"administration"	"official"	"review"	"which"	"estimate"	"a"	"billion"	"dollar"	"deficit"	"for"	"the"	"current"	"fiscal_year"	"is"	"n't"	"make"	"anyone"	"happy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"builder"	"the"	"your"	"size"	"your_builder"	"builder_the"	"the_size"	"let_your_builder"	"your_builder_the"	"builder_the_size"	"the_size_of"	"VB"	"PRP$"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"safest"	"procedure"	"to"	"let"	"your"	"builder"	"estimate"	"the"	"size"	"of"	"the"	"unit"	"you"	"need"	"rather_than"	"try"	"to"	"do"	"this"	"yourself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"has"	"that"	"weather_bureau"	"radioactive"	"weather_bureau_has"	"has_that"	"that_radioactive"	"the_weather_bureau_has"	"weather_bureau_has_that"	"has_that_radioactive"	"that_radioactive_fallout"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"estimate"	"that"	"radioactive"	"fallout"	"from"	"the"	"test"	"might"	"arrive"	"here"	"next"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"prosecutors"	"that"	"federal"	"the"	"federal_prosecutors"	"prosecutors_that"	"that_the"	"∅_federal_prosecutors"	"federal_prosecutors_that"	"prosecutors_that_the"	"that_the_amount"	"ε"	"NNP"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prosecutors"	"estimate"	"that"	"the"	"amount"	"may"	"total"	"altho"	"a"	"spokesman"	"for"	"the"	"association"	"estimate"	"its"	"loss"	"at"	"approximately"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"association"	"its"	"the"	"loss"	"the_association"	"association_its"	"its_loss"	"for_the_association"	"the_association_its"	"association_its_loss"	"its_loss_at"	"IN"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"federal"	"prosecutors"	"estimate"	"that"	"the"	"amount"	"may"	"total"	"altho"	"a"	"spokesman"	"the"	"association"	"estimate"	"its"	"loss"	"at"	"approximately"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
