"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:21:00::"	"enough"	"to"	"furnish"	"meet"	"furnish_enough"	"enough_to"	"to_meet"	"and_furnish_enough"	"furnish_enough_to"	"enough_to_meet"	"to_meet_fixed"	"CC"	"VB"	"JJ"	"NN"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"give"	"a"	"measure"	"of"	"security"	"if"	"the"	"regular"	"job"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"and"	"furnish"	"enough"	"income"	"to"	"meet"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"retirement"	"."	"supplement"	"∅"	"supplement_retirement"	"retirement_."	"._∅"	"to_supplement_retirement"	"supplement_retirement_."	"retirement_._∅"	"._∅_∅"	"TO"	"VB"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"some"	"retired_person"	"part-time"	"farming"	"be"	"good"	"way"	"to"	"supplement"	"retirement"	"income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"you"	"bring_in"	"expect"	"bring_in_the"	"the_you"	"you_expect"	"to_bring_in_the"	"bring_in_the_you"	"the_you_expect"	"you_expect_."	"VB"	"VB"	"DT"	"NN"	"PRP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"how"	"much"	"land"	"you"	"want"	"take_into_account"	"amount"	"you"	"need"	"to"	"bring_in"	"the"	"income"	"you"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"farm"	","	"net"	"subtract"	"net_farm"	"farm_,"	",_subtract"	"estimated_net_farm"	"net_farm_,"	"farm_,_subtract"	",_subtract_estimated"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"find"	"net"	"farm"	"income"	"subtract"	"estimated"	"annual"	"farming"	"expenditure"	"from"	"probable"	"gross"	"income"	"from"	"farming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"gross"	"from"	"probable"	"farming"	"probable_gross"	"gross_from"	"from_farming"	"from_probable_gross"	"probable_gross_from"	"gross_from_farming"	"from_farming_."	"IN"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"find"	"estimated"	"net"	"farm"	"income"	"subtract"	"annual"	"farming"	"expenditure"	"from"	"probable"	"gross"	"income"	"from"	"farming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"investment"	","	"in_terms_of"	"divide"	"in_terms_of_investment"	"investment_,"	",_divide"	"farm_in_terms_of_investment"	"in_terms_of_investment_,"	"investment_,_divide"	",_divide_the"	"NN"	"JJ"	"NN"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"the"	"value"	"the"	"farm"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	
"1:21:00::"	"farm"	"by"	"net"	"the"	"net_farm"	"farm_by"	"by_the"	"annual_net_farm"	"net_farm_by"	"farm_by_the"	"by_the_percentage"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"the"	"value"	"of"	"the"	"farm"	"in_terms_of"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"."	"its"	"∅"	"its_per_capita"	"per_capita_."	"._∅"	"by_its_per_capita"	"its_per_capita_."	"per_capita_._∅"	"._∅_∅"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"in_order"	"to"	"assist"	"the"	"state"	"in"	"maintain"	"basic"	"vocational_rehabilitation"	"services"	"section"	"of"	"the"	"amended"	"act"	"provide"	"that"	"allotment"	"to"	"state"	"for"	"support"	"of"	"such"	"services"	"be"	"base"	"on"	"need"	"as"	"measure"	"by"	"a"	"state"	"population"	"and"	"fiscal"	"capacity"	"as"	"measure"	"by"	"its"	"per_capita"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"based_on"	"average"	"the"	"average_per_capita"	"per_capita_based_on"	"based_on_the"	"determine_average_per_capita"	"average_per_capita_based_on"	"per_capita_based_on_the"	"based_on_the_last"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"each"	"state"	"except"	"puerto_rico"	"guam"	"the"	"virgin_islands"	"and"	"prior"	"to"	"alaska"	"hawaii"	"determine"	"average"	"per_capita"	"income"	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"for"	"average"	"the"	"average_per_capita"	"per_capita_for"	"for_the"	"the_average_per_capita"	"average_per_capita_for"	"per_capita_for_the"	"for_the_u.s."	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"average"	"per_capita"	"income"	"for"	"the"	"u.s."	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"of"	"average"	"the"	"average_per_capita"	"per_capita_of"	"of_the"	"the_average_per_capita"	"average_per_capita_of"	"per_capita_of_the"	"of_the_u.s."	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"bear"	"average"	"to"	"average_per_capita"	"per_capita_bear"	"bear_to"	"'s_average_per_capita"	"average_per_capita_bear"	"per_capita_bear_to"	"bear_to_the"	"POS"	"JJ"	"JJ"	"NN"	"VB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"of"	"average"	"the"	"average_per_capita"	"per_capita_of"	"of_the"	"the_average_per_capita"	"average_per_capita_of"	"per_capita_of_the"	"of_the_u.s."	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"for"	"average"	"the"	"average_per_capita"	"per_capita_for"	"for_the"	"the_average_per_capita"	"average_per_capita_for"	"per_capita_for_the"	"for_the_last"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"determine"	"the"	"average"	"per_capita"	"income"	"for"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"for"	"average"	"the"	"average_per_capita"	"per_capita_for"	"for_the"	"the_average_per_capita"	"average_per_capita_for"	"per_capita_for_the"	"for_the_united_states"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"average"	"per_capita"	"income"	"for"	"the"	"united_states"	"for"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"of"	"average"	"the"	"average_per_capita"	"per_capita_of"	"of_the"	"the_average_per_capita"	"average_per_capita_of"	"per_capita_of_the"	"of_the_united_states"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"bear"	"average"	"to"	"average_per_capita"	"per_capita_bear"	"bear_to"	"'s_average_per_capita"	"average_per_capita_bear"	"per_capita_bear_to"	"bear_to_the"	"POS"	"JJ"	"JJ"	"NN"	"VB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"as"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"per_capita"	"of"	"average"	"the"	"average_per_capita"	"per_capita_of"	"of_the"	"the_average_per_capita"	"average_per_capita_of"	"per_capita_of_the"	"of_the_united_states"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
