"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"1:15:02::"	"a"	"a"	"take_up"	"hill"	"take_up_a"	"a_a"	"a_hill"	"and_take_up_a"	"take_up_a_a"	"a_a_hill"	"a_hill_to"	"CC"	"VB"	"DT"	"IN"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"force"	"flank"	"company"	"and"	"take_up"	"a"	"position"	"a"	"hill"	"to"	"the"	"rear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"political"	"the"	"'s"	"world"	"'s_political"	"political_the"	"the_world"	"america_'s_political"	"'s_political_the"	"political_the_world"	"the_world_has"	"NN"	"POS"	"JJ"	"IN"	"DT"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"charge"	"be"	"america"	"political"	"position"	"the"	"world"	"has"	"progressively"	"deteriorate"	"in"	"recent"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"protestant"	","	"the"	"particularly"	"the_protestant"	"protestant_,"	",_particularly"	"behind_the_protestant"	"the_protestant_,"	"protestant_,_particularly"	",_particularly_,"	"IN"	"DT"	"JJ"	"CC"	"ε"	"RB"	"ε"	"point_out"	"person"	"managing_editor"	"of"	"commonweal"	"catholic"	"run_roughshod"	"over"	"protestant"	"sensibility"	"in"	"this"	"matter"	"by"	"failure"	"consider"	"the"	"reasoning"	"behind"	"the"	"protestant"	"particularly"	"by"	"their"	"jibe"	"at"	"the"	"fact"	"that"	"protestant"	"opinion"	"on"	"birth_control"	"has"	"change"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"receptionist"	"∅"	"was"	"∅_the"	"the_receptionist"	"receptionist_was"	"∅_∅_the"	"∅_the_receptionist"	"the_receptionist_was"	"receptionist_was_open"	"ε"	"ε"	"DT"	"IN"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"position"	"receptionist"	"was"	"open"	"in"	"a"	"large"	"office"	"and"	"an"	"announcement"	"was"	"made"	"to"	"the"	"girl"	"already"	"work"	"that"	"they"	"could"	"apply"	"for"	"this"	"job"	"which"	"have"	"high"	"prestige"	"and"	"slightly"	"high"	"salary"	"than"	"typing"	"and"	"clerking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"one"	"take_up"	"side"	"take_up_a"	"a_one"	"one_side"	"to_take_up_a"	"take_up_a_one"	"a_one_side"	"one_side_of"	"TO"	"VB"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"say"	"this"	"of_course"	"to"	"take_up"	"a"	"position"	"one"	"side"	"of"	"a"	"controversy"	"go_on"	"now"	"for"	"some"	"two"	"hundred"	"year"	"or"	"at_any_rate"	"since"	"the"	"beginning"	"of"	"the"	"distinctively"	"modern"	"period"	"in"	"theological"	"thought"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"our"	"clear"	"of"	"as"	"of_our"	"our_clear"	"clear_as"	"implication_of_our"	"of_our_clear"	"our_clear_as"	"clear_as_,"	"NN"	"IN"	"PRP$"	"RB"	"JJ"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order"	"to"	"make"	"implication"	"of"	"our"	"position"	"clear"	"as"	"possible"	"may"	"develop"	"this"	"argument"	"at"	"greater"	"length"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"``"	"time"	"∅"	"''"	"∅_``"	"``_time"	"time_''"	"∅_∅_``"	"∅_``_time"	"``_time_''"	"time_''_,"	"ε"	"ε"	"ε"	"DT"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"time"	"person"	"say"	"and"	"she"	"even"	"keep_on"	"wiggle"	"a_bit"	"little"	"bit"	"while"	"she"	"was"	"just"	"talk"	"you"	"going_to"	"tell"	"me"	"what"	"i"	"be"	"and"	"what"	"i'm"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	"he"	"shift"	"at_last"	"shift_,"	",_he"	"he_at_last"	"not_shift_,"	"shift_,_he"	",_he_at_last"	"he_at_last_lower"	"RB"	"VB"	"ε"	"CC"	"PRP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"shift"	"position"	"he"	"at_last"	"lower"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"ridiculous"	"an"	"the"	"age"	"the_ridiculous"	"ridiculous_an"	"an_age"	"to_the_ridiculous"	"the_ridiculous_an"	"ridiculous_an_age"	"an_age_when"	"TO"	"DT"	"JJ"	"IN"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"addlebrained"	"knight-errant"	"self"	"to"	"the"	"ridiculous"	"position"	"an"	"age"	"when"	"armor"	"had"	"already"	"been"	"relegate"	"to"	"museum"	"and"	"the"	"chivalrous"	"code"	"of"	"knight_errantry"	"had"	"become"	"a"	"joke"	"be"	"as"	"person"	"no_doubt"	"intend"	"a"	"gaunt"	"but"	"gracious"	"symbol"	"of"	"good"	"move"	"soberly"	"and"	"sincerely"	"in"	"a"	"world"	"of"	"cynic"	"hypocrite"	"and"	"rogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"reasonable"	"the"	"three"	"hydrogen_atom"	"three_reasonable"	"reasonable_the"	"the_hydrogen_atom"	"be_three_reasonable"	"three_reasonable_the"	"reasonable_the_hydrogen_atom"	"the_hydrogen_atom_:"	"VB"	"JJ"	"JJ"	"IN"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"bond"	"be"	"linear"	"there"	"be"	"three"	"reasonable"	"position"	"the"	"hydrogen_atom"	"the"	"hydrogen_atom"	"be"	"centered"	"and"	"hence"	"all"	"lie"	"on"	"a"	"sheet"	"midway"	"between"	"the"	"oxygen"	"sheet"	"all"	"hydrogen_atom"	"lie"	"on"	"a"	"sheet"	"but"	"the"	"sheet"	"be"	"close"	"to"	"one"	"oxygen"	"sheet"	"than"	"to"	"the"	"other"	"hydrogen_atom"	"be"	"asymmetrically"	"place"	"either"	"randomly"	"or"	"in"	"an"	"ordered"	"way"	"so"	"that"	"some"	"hydrogen_atom"	"be"	"close"	"to"	"the"	"upper"	"oxygen"	"atom"	"while"	"be"	"close"	"to"	"the"	"lower"	"oxygen"	"atom"	
