"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"5:00:00:continuous:01"	"three"	"year"	"for"	","	"for_three"	"three_year"	"year_,"	"∅_for_three"	"for_three_year"	"three_year_,"	"year_,_person"	"ε"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"straight"	"year"	"person"	"patrol"	"the"	"southern"	"wyoming"	"pasture"	"and"	"how_many"	"man"	"he"	"kill"	"after"	"person"	"and"	"person"	"if"	"he"	"kill"	"person"	"and"	"person"	"will"	"never"	"be"	"known"	
"4:02:05::"	"("	"ahead"	"supply_closet"	")"	"supply_closet_("	"(_ahead"	"ahead_)"	"'s_supply_closet_("	"supply_closet_(_ahead"	"(_ahead_)"	"ahead_)_."	"POS"	"NN"	"ε"	"RB"	"RB"	"ε"	"ε"	"safe"	"at"	"group"	"stand"	"next"	"to"	"the"	"gum"	"machine"	"in"	"a"	"narrow"	"passageway"	"that"	"lead"	"to"	"person"	"office"	"to"	"the"	"left"	"the"	"lieutenant"	"office"	"far"	"along"	"and"	"to"	"the"	"left"	"and"	"the"	"janitor"	"supply_closet"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"with"	"instead"	"mouse"	"of"	"mouse_with"	"with_instead"	"instead_of"	"of_mouse_with"	"mouse_with_instead"	"with_instead_of"	"instead_of_wavy"	"IN"	"NN"	"IN"	"JJ"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"litter"	"of"	"eight"	"mouse"	"from"	"parent"	"the"	"number"	"of"	"mouse"	"with"	"straight"	"instead"	"of"	"wavy"	"hair"	"be"	"an"	"integer"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"``"	"haired"	"as"	"''"	"as_``"	"``_haired"	"haired_''"	"mouse_as_``"	"as_``_haired"	"``_haired_''"	"haired_''_or"	"NN"	"IN"	"ε"	"JJ"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"classify"	"as"	"straight"	"haired"	"or"	"wavy"	"haired"	"but"	"a"	"hairless"	"mouse"	"appear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"thrust"	"to"	"person"	"the"	"person_thrust"	"thrust_to"	"to_the"	"when_person_thrust"	"person_thrust_to"	"thrust_to_the"	"to_the_core"	"WRB"	"NNP"	"VB"	"RB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that_is"	"when"	"thrust"	"straight"	"to"	"the"	"core"	"of"	"the"	"music"	"spark"	"fly"	"bow"	"shred"	"violin"	"singing"	"glitter"	"and"	"sometimes"	"spit"	"person"	"could"	"go_along"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:continuous:01"	"two"	"over"	"make_it"	"indianapolis"	"make_it_two"	"two_over"	"over_indianapolis"	"group_make_it_two"	"make_it_two_over"	"two_over_indianapolis"	"over_indianapolis_,"	"NNP"	"VB"	"NN"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rookie"	"person"	"continue"	"his"	"pinpoint"	"pitching"	"night"	"as"	"the"	"group"	"make_it"	"two"	"straight"	"over"	"indianapolis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:continuous:01"	"third"	"victory"	"'"	"of"	"'_third"	"third_victory"	"victory_of"	"person_'_third"	"'_third_victory"	"third_victory_of"	"victory_of_the"	"NNP"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"third"	"straight"	"victory"	"of"	"the"	"new"	"season"	"and"	"run"	"the"	"group"	"winning"	"streak"	"to"	"four"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:continuous:01"	"four"	"."	"to"	"∅"	"to_four"	"four_."	"._∅"	"streak_to_four"	"to_four_."	"four_._∅"	"._∅_∅"	"NN"	"TO"	"NN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"person"	"third"	"straight"	"victory"	"of"	"the"	"new"	"and"	"run"	"the"	"group"	"winning"	"streak"	"to"	"four"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"hole"	"down"	"a"	"into"	"a_hole"	"hole_down"	"down_into"	"dig_a_hole"	"a_hole_down"	"hole_down_into"	"down_into_the"	"VB"	"DT"	"NN"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"having"	"mate"	"an"	"female"	"dig"	"a"	"hole"	"straight"	"down"	"into"	"the"	"ground"	"form"	"a"	"burrow"	"about"	"the"	"size"	"of"	"a"	"lead_pencil"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:continuous:01"	"sixth"	"spring"	"their"	"exhibition"	"their_sixth"	"sixth_spring"	"spring_exhibition"	"drop_their_sixth"	"their_sixth_spring"	"sixth_spring_exhibition"	"spring_exhibition_decision"	"VB"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tonight"	"retain"	"the"	"distinction"	"of"	"be"	"the"	"only"	"team"	"among"	"the"	"eighteen"	"major-league_club"	"as"	"they"	"drop"	"their"	"sixth"	"straight"	"spring"	"exhibition"	"decision"	"this"	"one"	"to"	"the"	"kansas_city"	"group"	"by"	"a"	"score"	"of"	"to"	"0"	"0"	"0"	
