"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"5:00:00:cardinal:00"	"exceed"	"per_centum"	"to"	"of"	"to_exceed"	"exceed_per_centum"	"per_centum_of"	"not_to_exceed"	"to_exceed_per_centum"	"exceed_per_centum_of"	"per_centum_of_the"	"RB"	"TO"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"additional"	"of"	"not"	"to"	"exceed"	"per_centum"	"of"	"the"	"unpaid"	"principal"	"of"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"june"	","	"on"	"1950"	"on_june"	"june_,"	",_1950"	",_on_june"	"on_june_,"	"june_,_1950"	",_1950_,"	"ε"	"IN"	"NN"	"JJ"	"ε"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"korean_war"	"on"	"june"	"the"	"anniversary"	"of"	"the"	"day"	"person"	"had"	"go_down"	"fight"	"at"	"the"	"location"	"and"	"the"	"day"	"the"	"regiment"	"had"	"assault"	"the"	"beachhead"	"of"	"leyte"	"during"	"world_war_2"	"the"	"group"	"be"	"not"	"in"	"the"	"best"	"fighting"	"condition"	
"5:00:00:cardinal:00"	"at"	"be"	"and"	"the"	"and_at"	"at_be"	"be_the"	",_and_at"	"and_at_be"	"at_be_the"	"be_the_young"	"ε"	"CC"	"IN"	"JJ"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"war"	"as"	"a"	"major-general"	"a"	"full"	"division"	"and"	"at"	"be"	"the"	"young"	"major-general"	"in"	"the"	"history"	"of"	"the"	"u.s."	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"-"	"yr"	"20"	"."	"20_-"	"-_yr"	"yr_."	"last_20_-"	"20_-_yr"	"-_yr_."	"yr_._∅"	"JJ"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"ε"	"in"	"the"	"new"	"decade"	"will"	"be"	"no"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"experience"	"in"	"the"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"october"	","	"on"	"1957"	"on_october"	"october_,"	",_1957"	"decree_on_october"	"on_october_,"	"october_,_1957"	",_1957_."	"NN"	"IN"	"NN"	"JJ"	"ε"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"government"	"submit"	"proposed"	"decree"	"on"	"october"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"to"	"gram"	"10"	"per"	"10_to"	"to_gram"	"gram_per"	"feed_10_to"	"10_to_gram"	"to_gram_per"	"gram_per_ton"	"VB"	"JJ"	"TO"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"and"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"of"	"complete"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	","	"out"	"253"	"of"	"253_,"	",_out"	"out_of"	"of_253_,"	"253_,_out"	",_out_of"	"out_of_100"	"IN"	"CD"	"ε"	"NN"	"IN"	"IN"	"NN"	"have"	"left"	"as"	"reasonably"	"comparable"	"be"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"with"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"ratio"	"versus"	"verb"	"term"	"ratio"	"versus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"about"	"minute"	"practice"	","	"practice_about"	"about_minute"	"minute_,"	"bat_practice_about"	"practice_about_minute"	"about_minute_,"	"minute_,_and"	"VB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"throw"	"practice"	"about"	"minute"	"and"	"he"	"look"	"good"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"as_many_as"	"home_run"	"hit"	"and"	"hit_as_many_as"	"as_many_as_home_run"	"home_run_and"	"person_hit_as_many_as"	"hit_as_many_as_home_run"	"as_many_as_home_run_and"	"home_run_and_steal"	"NNP"	"VB"	"IN"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"four"	"of"	"his"	"previous"	"season"	"person"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"as_many_as"	"base"	"steal"	"."	"steal_as_many_as"	"as_many_as_base"	"base_."	"and_steal_as_many_as"	"steal_as_many_as_base"	"as_many_as_base_."	"base_._∅"	"CC"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"four"	"of"	"his"	"nine"	"previous"	"season"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
