"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:38:00::"	"i"	"every_day"	"far"	"?"	"far_i"	"i_every_day"	"every_day_?"	"how_far_i"	"far_i_every_day"	"i_every_day_?"	"every_day_?_∅"	"WRB"	"RB"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"you"	"have"	"any"	"how"	"far"	"i"	"travel"	"every_day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"∅"	"through"	"∅"	"the"	"∅_∅"	"∅_through"	"through_the"	"∅_∅_∅"	"∅_∅_through"	"∅_through_the"	"through_the_south"	"ε"	"ε"	"ε"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"the"	"south"	"over"	"miles"	"with"	"two"	"great_danes"	"an"	"afghan"	"and"	"a"	"persian"	"kitten"	"we"	"work_up"	"a"	"regular"	"routine"	"for"	"acceptance"	"at"	"motels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"which"	"each_day"	"over"	"suburbanite"	"over_which"	"which_each_day"	"each_day_suburbanite"	",_over_which"	"over_which_each_day"	"which_each_day_suburbanite"	"each_day_suburbanite_businessmen"	"ε"	"IN"	"WDT"	"VB"	"RB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nostalgic"	"yankee"	"readers"	"of"	"erskine_caldwell"	"are"	"today"	"inform"	"by"	"proud"	"georgians"	"tobacco_road"	"is"	"bury"	"beneath"	"a"	"four-lane"	"super"	"highway"	"over"	"which"	"travel"	"each_day"	"suburbanite"	"businessmen"	"more"	"concerned"	"with"	"the"	"dow-jones"	"average"	"than"	"with"	"the"	"cotton"	"crop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"you"	"around"	"``"	"the"	"``_you"	"you_around"	"around_the"	",_``_you"	"``_you_around"	"you_around_the"	"around_the_world"	"ε"	"ε"	"PRP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"easy"	"for"	"you"	"to"	"talk"	"counter"	"a"	"year"	"old"	"law_student"	"you"	"travel"	"around"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:04::"	"who"	"widely"	"nelson_rector"	"call_on"	"nelson_rector_who"	"who_widely"	"widely_call_on"	"and_nelson_rector_who"	"nelson_rector_who_widely"	"who_widely_call_on"	"widely_call_on_business_firms"	"CC"	"NNP"	"WP"	"VB"	"RB"	"VB"	"NN"	"exciting"	"years"	"i"	"have"	"be"	"fortunate"	"for"	"although"	"i"	"have"	"never"	"offer"	"great"	"financial"	"inducements"	"talent"	"has"	"find"	"its"	"way"	"to"	"me"	"william_boal"	"who"	"so"	"ably"	"organize"	"business"	"operations"	"john_beach"	"who"	"guide"	"circulation"	"irving_granville"	"and"	"nelson_rector"	"who"	"widely"	"call_on"	"business_firms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"who"	"long"	"people"	"distances"	"people_who"	"who_long"	"long_distances"	"be_people_who"	"people_who_long"	"who_long_distances"	"long_distances_to"	"VB"	"NNS"	"WP"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"people"	"who"	"travel"	"long"	"distances"	"to"	"assure"	"my"	"continued"	"existence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"can"	"south"	"weekends"	"with"	"weekends_can"	"can_south"	"south_with"	"long_weekends_can"	"weekends_can_south"	"can_south_with"	"south_with_their"	"JJ"	"NNS"	"MD"	"VB"	"RB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more_and_more"	"boats"	"move"	"overland"	"on"	"wheels"	"million"	"trailers"	"be"	"in_use"	"and"	"midwesterners"	"taking"	"long"	"weekends"	"can"	"travel"	"south"	"with"	"their"	"craft"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"never"	"the"	"have"	"width"	"have_never"	"never_the"	"the_width"	"who_have_never"	"have_never_the"	"never_the_width"	"the_width_and"	"WP"	"VBP"	"RB"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"those"	"have"	"never"	"travel"	"the"	"width"	"and"	"length"	"of_this"	"land"	"cannot"	"conceive"	"on"	"the"	"basis"	"of"	"textbook"	"description"	"alone"	"the"	"overwhelming"	"space"	"and"	"variety"	"of_this"	"country"	"hold"	"together"	"under"	"one"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:04::"	"when"	"from"	"stopover"	"chicago"	"stopover_when"	"when_from"	"from_chicago"	"a_stopover_when"	"stopover_when_from"	"when_from_chicago"	"from_chicago_."	"DT"	"NN"	"WRB"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wisconsin_dells"	"where"	"fantastically"	"scenic"	"rocks"	"carve"	"by"	"the"	"wisconsin_river"	"be"	"with"	"fern"	"and"	"foliage"	"rate"	"a"	"stopover"	"when"	"travel"	"from"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"north"	"as"	"into"	"as_he"	"he_north"	"north_into"	"lights_as_he"	"as_he_north"	"he_north_into"	"north_into_wilmette"	"NNS"	"IN"	"PRP"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"car"	"spin"	"around"	"again"	"simms"	"say"	"before"	"stickney"	"could"	"turn"	"north"	"prairie"	"avenue"	"and_then"	"violate"	"two"	"stop"	"lights"	"as"	"he"	"travel"	"north"	"into"	"wilmette"	"in"	"prairie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
