"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:18:00::"	"georgia"	","	"splendid"	"differ"	"splendid_georgia"	"georgia_,"	",_differ"	"a_splendid_georgia"	"splendid_georgia_,"	"georgia_,_differ"	",_differ_from"	"DT"	"JJ"	"NN"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"georgia"	"soldier"	"differ"	"from"	"most_of"	"his"	"comrade"	"in"	"the"	"rank"	"in"	"that"	"he"	"be"	"the"	"owner"	"of"	"a"	"large"	"plantation"	"well-educated"	"and"	"nearly"	"fifty"	"year"	"of_age"	
"1:18:00::"	"the"	"who"	"∅"	"comprise"	"∅_the"	"the_who"	"who_comprise"	"∅_∅_the"	"∅_the_who"	"the_who_comprise"	"who_comprise_the"	"ε"	"ε"	"DT"	"NN"	"WP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soldier"	"who"	"comprise"	"the"	"rank_and_file"	"of"	"the"	"civil_war"	"army"	"be"	"an"	"earthy"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"georgia"	"give"	"a"	"his"	"a_georgia"	"georgia_give"	"give_his"	"∅_a_georgia"	"a_georgia_give"	"georgia_give_his"	"give_his_wife"	"ε"	"DT"	"NN"	"NN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"georgia"	"soldier"	"give"	"his"	"wife"	"the"	"following"	"description"	"of"	"the"	"cause"	"and"	"consequence"	"of"	"diarrhoea"	"i"	"have"	"be"	"a_little"	"sick"	"with"	"diarrhea"	"two"	"or"	"three"	"day"	
"1:18:00::"	"of"	"husband"	"that"	"to"	"that_of"	"of_husband"	"husband_to"	"be_that_of"	"that_of_husband"	"of_husband_to"	"husband_to_their"	"VB"	"IN"	"IN"	"NN"	"NN"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"common"	"type"	"letter"	"be"	"that"	"of"	"soldier"	"husband"	"to"	"their"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"unmarried"	"carry_on"	"∅"	"correspondence"	"∅_unmarried"	"unmarried_carry_on"	"carry_on_correspondence"	"∅_∅_unmarried"	"∅_unmarried_carry_on"	"unmarried_carry_on_correspondence"	"carry_on_correspondence_with"	"ε"	"ε"	"JJ"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soldier"	"carry_on"	"correspondence"	"with"	"sweetheart"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"from"	"correspondent"	"elicit"	"choice"	"elicit_from"	"from_correspondent"	"correspondent_choice"	"sometimes_elicit_from"	"elicit_from_correspondent"	"from_correspondent_choice"	"correspondent_choice_comment"	"RB"	"VB"	"IN"	"NN"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"initiation"	"into"	"sometimes"	"elicit"	"from"	"soldier"	"correspondent"	"choice"	"comment"	"about"	"their"	"experience"	"and"	"reaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"by"	"in"	"make"	"their"	"make_by"	"by_in"	"in_their"	"remark_make_by"	"make_by_in"	"by_in_their"	"in_their_letter"	"NN"	"VB"	"IN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"the"	"remark"	"make"	"by"	"soldier"	"in"	"their"	"letter"	"be"	"in"	"disparagement"	"of"	"unpopular"	"officer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"northern"	"."	"of"	"∅"	"of_northern"	"northern_."	"._∅"	"letter_of_northern"	"of_northern_."	"northern_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"similar"	"comment"	"about"	"officer"	"are"	"to"	"find"	"in"	"the"	"letter"	"of"	"northern"	"soldier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"answer"	"∅"	"in"	"∅_the"	"the_answer"	"answer_in"	"∅_∅_the"	"∅_the_answer"	"the_answer_in"	"answer_in_a"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soldier"	"answer"	"in"	"a"	"curious"	"muffled"	"voice"	"his"	"lip"	"barely"	"move"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"∅"	"voice"	"∅_the"	"the_'s"	"'s_voice"	"∅_∅_the"	"∅_the_'s"	"the_'s_voice"	"'s_voice_be"	"ε"	"ε"	"DT"	"NN"	"POS"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soldier"	"voice"	"be"	"muffled"	"again"	"stricken"	"with"	"chagrin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
