"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"1:04:02::"	"such"	"as"	"take"	"may"	"take_such"	"such_as"	"as_may"	"shall_take_such"	"take_such_as"	"such_as_may"	"as_may_be"	"MD"	"VB"	"JJ"	"NN"	"IN"	"MD"	"VB"	"the"	"penalty"	"provide"	"in"	"title"	"united_states"	"code"	"section"	"any"	"person"	"guilty"	"of"	"any"	"act"	"as"	"provide"	"therein"	"with_respect_to"	"any"	"matter"	"under"	"this"	"title"	"shall"	"forfeit"	"all"	"right"	"under"	"this"	"title"	"and"	"if"	"payment"	"shall"	"have"	"make"	"or"	"grant"	"the"	"commission"	"shall"	"take"	"such"	"action"	"may"	"be"	"necessary"	"to"	"recover"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"and"	"on"	"consideration"	"item"	"consideration_and"	"and_on"	"on_item"	"defer_consideration_and"	"consideration_and_on"	"and_on_item"	"on_item_of"	"VB"	"NN"	"CC"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"may"	"in"	"its"	"discretion"	"enter"	"an"	"award"	"with_respect_to"	"one"	"or"	"more"	"deem"	"to"	"have"	"been"	"clearly"	"establish"	"in"	"an"	"individual"	"claim"	"while"	"defer"	"consideration"	"and"	"action"	"on"	"item"	"of"	"the"	"same"	"claim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::;1:04:02::"	"whatever"	"be"	"take"	"appropriate"	"take_whatever"	"whatever_be"	"be_appropriate"	"would_take_whatever"	"take_whatever_be"	"whatever_be_appropriate"	"be_appropriate_to"	"MD"	"VB"	"WDT"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"the"	"full"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"be"	"clear"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"rearguard"	"against"	","	"the"	",_rearguard"	"rearguard_against"	"against_the"	"desperate_,_rearguard"	",_rearguard_against"	"rearguard_against_the"	"against_the_expanding"	"JJ"	"ε"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"american"	"life"	"be"	"committed"	"above_all"	"to"	"productivity"	"and"	"a"	"high"	"standard"	"of"	"economic"	"the"	"countervailing"	"force"	"of"	"residential"	"and"	"religious"	"exclusiveness"	"have"	"fight"	"a"	"desperate"	"rearguard"	"action"	"against"	"the"	"expanding"	"interdependence"	"of"	"the"	"metropolis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"taken"	"of"	"or"	"of_the"	"the_taken"	"taken_or"	"session_of_the"	"of_the_taken"	"the_taken_or"	"taken_or_institute"	"NN"	"IN"	"DT"	"NN"	"VBN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"shall"	"make"	"report"	"to"	"the"	"president"	"and"	"congress"	"at"	"the"	"beginning"	"of"	"each"	"regular"	"session"	"of"	"the"	"action"	"taken"	"or"	"institute"	"by"	"him"	"under"	"the"	"provision"	"of_this"	"act"	"and"	"of"	"prospective"	"action"	"during"	"the"	"ensuing"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"prospective"	"during"	"of"	"the"	"of_prospective"	"prospective_during"	"during_the"	"and_of_prospective"	"of_prospective_during"	"prospective_during_the"	"during_the_ensuing"	"CC"	"IN"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"shall"	"make"	"report"	"to"	"the"	"president"	"and"	"the"	"congress"	"at"	"the"	"beginning"	"of"	"each"	"session"	"of"	"the"	"action"	"taken"	"or"	"institute"	"by"	"him"	"under"	"the"	"provision"	"of_this"	"act"	"and"	"of"	"prospective"	"action"	"during"	"the"	"ensuing"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"of"	"by"	"government"	"by_the"	"the_of"	"of_government"	"affected_by_the"	"by_the_of"	"the_of_government"	"of_government_,"	"JJ"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"guard"	"against"	"the"	"tyranny"	"of"	"a"	"numerical"	"majority"	"person"	"develop"	"his"	"theory"	"of"	"concurrent"	"majority"	"which"	"he"	"say"	"by"	"give"	"to"	"each"	"portion"	"the"	"community"	"which"	"may"	"be"	"unequally"	"affected"	"by"	"the"	"action"	"of"	"government"	"a"	"negative"	"on"	"the"	"prevent"	"all"	"partial"	"or"	"local"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"such"	"."	"in"	"∅"	"in_such"	"such_."	"._∅"	"anglican_in_such"	"in_such_."	"such_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"protestant_denomination"	"precede"	"anglican"	"in"	"such"	"action"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"take"	"in"	"in"	"in_the"	"the_take"	"take_in"	"reflect_in_the"	"in_the_take"	"the_take_in"	"take_in_february"	"VB"	"IN"	"DT"	"NN"	"VB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"development"	"reflect"	"in"	"the"	"action"	"take"	"in"	"february"	"by"	"the"	"general"	"board"	"of"	"the"	"group"	"the"	"largest"	"protestant"	"organization"	"in"	"the"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"an"	"once"	"∅"	"universally"	"∅_an"	"an_once"	"once_universally"	"∅_∅_an"	"∅_an_once"	"an_once_universally"	"once_universally_condemn"	"ε"	"ε"	"DT"	"NN"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"action"	"once"	"universally"	"condemn"	"by"	"all"	"christian_church"	"and"	"forbid"	"by"	"the"	"civil_law"	"is"	"now"	"not_only"	"approve"	"by"	"the"	"overwhelming"	"majority"	"of"	"protestant_denomination"	"but"	"also"	"deem"	"at"	"certain"	"time"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
