"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:40:00::"	"to"	"shares"	"demand"	"in"	"demand_to"	"to_shares"	"shares_in"	"the_demand_to"	"demand_to_shares"	"to_shares_in"	"shares_in_the"	"DT"	"NN"	"TO"	"VB"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"many"	"reasons"	"demand"	"to"	"buy"	"shares"	"in"	"the"	"dallas-headquartered"	"company"	"be"	"tremendous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"400"	"bid"	"shares"	"bid_to"	"to_400"	"400_shares"	"a_bid_to"	"bid_to_400"	"to_400_shares"	"400_shares_find"	"DT"	"NN"	"TO"	"VB"	"CD"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"investors"	"who"	"want"	"shares"	"in"	"many"	"cases"	"end_up"	"with"	"customers"	"who"	"had"	"put_in"	"a"	"bid"	"to"	"buy"	"shares"	"find"	"themselves"	"with"	"and"	"count"	"themselves"	"lucky"	"to"	"get"	"that"	"many"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"already"	"one"	"n't"	","	"n't_already"	"already_one"	"one_,"	"have_n't_already"	"n't_already_one"	"already_one_,"	"one_,_be"	"VBP"	"RB"	"RB"	"VB"	"CD"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"general"	"things"	"to"	"look_for"	"in"	"site"	"if"	"you"	"have"	"n't"	"already"	"buy"	"one"	"be"	"accessibility"	"water"	"drainage"	"and"	"orientation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"consumer"	"in"	"of"	"march"	"of_consumer"	"consumer_in"	"in_march"	"surge_of_consumer"	"of_consumer_in"	"consumer_in_march"	"in_march_."	"NN"	"IN"	"NN"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"commerce_department"	"officials"	"were_inclined"	"to"	"explain"	"the"	"april"	"sales"	"as"	"a"	"reaction"	"from"	"a"	"surge"	"of"	"consumer"	"buy"	"in"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"i"	"50"	"∅"	"shares"	"∅_i"	"i_50"	"50_shares"	"∅_∅_i"	"∅_i_50"	"i_50_shares"	"50_shares_of"	"ε"	"ε"	"PRP"	"VB"	"CD"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"buy"	"shares"	"of"	"diversified"	"growth_stock"	"fund"	"on"	"oct."	"and"	"more"	"shares"	"of"	"the"	"same"	"mutual_fund"	"on"	"feb."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"of"	"over"	"advantage"	"rent"	"advantage_of"	"of_over"	"over_rent"	"cost_advantage_of"	"advantage_of_over"	"of_over_rent"	"over_rent_has"	"NN"	"NN"	"IN"	"VB"	"IN"	"VB"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"reasons"	"mention"	"by"	"one-third"	"or"	"more"	"of"	"the"	"be"	"resistance"	"to"	"high"	"interest_rates"	"cost"	"advantage"	"of"	"buy"	"over"	"rent"	"has"	"narrow"	"shelter"	"market"	"near"	"saturation"	"and"	"prospects"	"unable"	"to"	"qualify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"a"	"collect"	"12"	"collect_to"	"to_a"	"a_12"	"were_collect_to"	"collect_to_a"	"to_a_12"	"a_12_-"	"VBD"	"VB"	"TO"	"VB"	"DT"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enough"	"trading_stamps"	"collect"	"to"	"buy"	"a"	"passenger"	"station_wagon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"who"	"toll-road"	"investors"	"bonds"	"investors_who"	"who_toll-road"	"toll-road_bonds"	",_investors_who"	"investors_who_toll-road"	"who_toll-road_bonds"	"toll-road_bonds_when"	"ε"	"NNS"	"WP"	"VB"	"NN"	"NNS"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"result"	"of"	"the"	"outlook"	"for"	"turnpikes"	"investors"	"who"	"buy"	"toll-road"	"bonds"	"when"	"these"	"securities"	"rank"	"as"	"outright"	"speculations"	"are"	"now"	"find"	"new"	"hope"	"for"	"their"	"investments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"had"	"their"	"they"	"house"	"they_had"	"had_their"	"their_house"	"∅_they_had"	"they_had_their"	"had_their_house"	"their_house_in"	"ε"	"PRP"	"VBD"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"buy"	"their"	"house"	"in"	"catatonia"	"after"	"investigate"	"all"	"the"	"regions"	"of"	"suburbia"	"surrounding"	"new_york"	"they"	"had"	"choose"	"catatonia"	"because"	"of"	"its"	"reputation"	"for"	"excellent"	"schools"	"beaches"	"and"	"abundance"	"of"	"names"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"the"	"pay"	"best"	"pay_to"	"to_the"	"the_best"	"it_pay_to"	"pay_to_the"	"to_the_best"	"the_best_equipment"	"PRP"	"VB"	"TO"	"VB"	"DT"	"JJS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"experience"	"has"	"teach"	"that"	"it"	"pay"	"to"	"buy"	"the"	"best"	"equipment"	"from"	"pipes"	"to"	"brushes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
