"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"
"1:23:00::"	"21"	"wavelength"	"at"	","	"at_21"	"21_wavelength"	"wavelength_,"	"line_at_21"	"at_21_wavelength"	"21_wavelength_,"	"wavelength_,_the"	"NN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"the"	"well-known"	"line"	"at"	"cm"	"wavelength"	"the"	"spectrum"	"of"	"extraterrestrial"	"radio_source"	"may"	"contain"	"sharp"	"line"	"characteristic"	"of"	"atom"	"ion"	"and"	"small"	"molecule"	
"1:23:00::"	"15"	"long"	"about"	"."	"about_15"	"15_long"	"long_."	"and_about_15"	"about_15_long"	"15_long_."	"long_._∅"	"CC"	"IN"	"JJ"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sample"	"for"	"liquid"	"phase"	"thermal"	"reaction"	"study"	"were"	"prepare"	"pyrex"	"capillary_tubing"	"mm"	"i.d."	"and"	"about"	"cm"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"29.2"	"."	"to"	"∅"	"to_29.2"	"29.2_."	"._∅"	"14.7_to_29.2"	"to_29.2_."	"29.2_._∅"	"._∅_∅"	"CD"	"TO"	"CD"	"NN"	"ε"	"ε"	"ε"	"series"	"the"	"relative"	"light"	"intensity"	"was"	"vary"	"by"	"vary"	"the"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"1"	"in"	"up_to"	"diameter"	"up_to_1"	"1_in"	"in_diameter"	"measure_up_to_1"	"up_to_1_in"	"1_in_diameter"	"in_diameter_."	"VB"	"TO"	"JJ"	"NN"	"RB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gallbladder"	"contain"	"about"	"cc"	"of"	"green"	"brown"	"bile"	"and"	"dark-green"	"calculus"	"measure"	"up_to"	"cm"	"in"	"diameter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"14"	"area"	"a"	"."	"a_14"	"14_area"	"area_."	"over_a_14"	"a_14_area"	"14_area_."	"area_._∅"	"RB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mucosa"	"of"	"the"	"stomach"	"be"	"and"	"irregularly"	"blacken"	"over"	"a"	"cm"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"wavelength"	"1.25"	"by"	"1.25_-"	"-_wavelength"	"wavelength_by"	"at_1.25_-"	"1.25_-_wavelength"	"-_wavelength_by"	"wavelength_by_person"	"IN"	"CD"	"ε"	"NN"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"the"	"study"	"of"	"the"	"radio_emission"	"of"	"the"	"moon"	"and"	"planet"	"begin"	"with"	"the"	"detection"	"of"	"the"	"thermal"	"radiation"	"of"	"the"	"at"	"cm"	"wavelength"	"by"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"75"	","	"to"	"and"	"to_75"	"75_,"	",_and"	"mm_to_75"	"to_75_,"	"75_,_and"	",_and_the"	"NN"	"TO"	"CD"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"radio_observation"	"of"	"the"	"moon"	"have"	"been"	"made"	"over"	"range"	"of"	"wavelength"	"from"	"mm"	"to"	"cm"	"and"	"the"	"result"	"are"	"summarize"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"3.15"	"and"	"at"	"of"	"at_3.15"	"3.15_and"	"and_of"	"person_at_3.15"	"at_3.15_and"	"3.15_and_of"	"and_of_person"	"NNP"	"IN"	"CD"	"NN"	"CC"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"observation"	"of"	"person"	"person"	"person"	"at"	"cm"	"and"	"of"	"person"	"at"	"cm"	"have"	"not"	"previously"	"been"	"publish"	"and"	"will"	"be"	"briefly"	"describe"	"0"	"0"	
"1:23:00::"	"10.3"	"have"	"at"	"not"	"at_10.3"	"10.3_have"	"have_not"	"person_at_10.3"	"at_10.3_have"	"10.3_have_not"	"have_not_previously"	"NNP"	"IN"	"CD"	"NN"	"VBP"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"observation"	"of"	"person"	"person"	"and"	"person"	"at"	"and"	"of"	"person"	"at"	"cm"	"have"	"not"	"previously"	"been"	"publish"	"and"	"will"	"be"	"briefly"	"describe"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"observation"	"10.3"	"of"	"10.3_-"	"-_observation"	"observation_of"	"the_10.3_-"	"10.3_-_observation"	"-_observation_of"	"observation_of_person"	"DT"	"CD"	"ε"	"NN"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"observation"	"of"	"person"	"was"	"make"	"on"	"may"	"use"	"the"	"foot"	"reflector"	"at"	"the"	"group"	"of"	"the"	"group"	"0"	"0"	"0"	
