"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:04:00::"	"the"	"of"	"in_connection_with"	"their"	"in_connection_with_the"	"the_of"	"of_their"	"home_in_connection_with_the"	"in_connection_with_the_of"	"the_of_their"	"of_their_services"	"NN"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"employee"	"deduct"	"expense"	"of"	"travel"	"meal"	"and"	"while"	"away"	"from"	"home"	"in_connection_with"	"the"	"performance"	"of"	"their"	"services"	"as"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"their"	"."	"into"	"∅"	"into_their"	"their_."	"._∅"	"insight_into_their"	"into_their_."	"their_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"point_of_view"	"of"	"the"	"applicant"	"less"	"time"	"was"	"waste"	"in"	"being"	"evaluate"	"they"	"get"	"a"	"meal"	"out"	"of"	"it"	"as_well_as"	"some"	"insight"	"into"	"their"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"in"	"suffer"	"decrement"	"by"	"decrement_in"	"in_suffer"	"suffer_by"	"marked_decrement_in"	"decrement_in_suffer"	"in_suffer_by"	"suffer_by_the"	"JJ"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"striking"	"aspect"	"of"	"the"	"demonstrate"	"be"	"the"	"marked"	"decrement"	"in"	"performance"	"suffer"	"by"	"the"	"highly"	"anxious"	"child"	"in"	"unstructured"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"his"	"will"	"that"	"be"	"that_his"	"his_will"	"will_be"	"and_that_his"	"that_his_will"	"his_will_be"	"will_be_impair"	"CC"	"IN"	"PRP$"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"et_al."	"present"	"evidence"	"that"	"the"	"anxious"	"child"	"will"	"in"	"the"	"test"	"like"	"situation"	"and"	"that"	"his"	"performance"	"will"	"be"	"impair"	"unless"	"he"	"receive"	"supporting"	"and"	"accepting"	"treatment"	"from"	"the"	"teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"each"	"of"	"∅"	"an"	"∅_each"	"each_of"	"of_an"	"∅_∅_each"	"∅_each_of"	"each_of_an"	"of_an_n-trial"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"performance"	"of"	"an"	"n-trial"	"binomial"	"experiment"	"result"	"in"	"some"	"whole_number"	"from"	"through"	"n"	"as"	"the"	"value"	"of"	"the"	"random_variable"	"x"	"where"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"first-rate"	"it"	"really"	"merit"	"really_first-rate"	"first-rate_it"	"it_merit"	"the_really_first-rate"	"really_first-rate_it"	"first-rate_it_merit"	"it_merit_."	"DT"	"RB"	"JJ"	"NN"	"PRP"	"VB"	"ε"	"after"	"the"	"little"	"operetta"	"had"	"been"	"give"	"its"	"feeble"	"amateur"	"rendering"	"everyone"	"insist"	"that"	"it"	"be"	"too"	"good"	"to"	"be"	"lost"	"forever"	"and"	"that"	"the"	"group"	"must"	"now"	"have"	"the"	"manuscript"	"in_order"	"to"	"give"	"it"	"really"	"first-rate"	"it"	"merit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"public"	"."	"a"	"∅"	"a_public"	"public_."	"._∅"	"permit_a_public"	"a_public_."	"public_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"aware"	"that"	"he"	"must"	"seem"	"like"	"a"	"hypocrite"	"there"	"and"	"argue"	"that"	"he"	"could"	"not"	"permit"	"a"	"public"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"public"	","	"a"	"he"	"a_public"	"public_,"	",_he"	"to_a_public"	"a_public_,"	"public_,_he"	",_he_would"	"TO"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had_to"	"admit"	"that"	"though"	"could"	"n't"	"agree"	"to"	"a"	"public"	"performance"	"he"	"would"	"indeed"	"just"	"for"	"his"	"own"	"private"	"satisfaction"	"dearly"	"love"	"to"	"know"	"how"	"his"	"work"	"would"	"sound"	"when"	"do"	"by"	"professional"	"musician"	"and"	"by"	"trained"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"of"	"wind_up"	"a_new_way_to_pay_old_debts"	"wind_up_a"	"a_of"	"of_a_new_way_to_pay_old_debts"	"was_wind_up_a"	"wind_up_a_of"	"a_of_a_new_way_to_pay_old_debts"	"of_a_new_way_to_pay_old_debts_."	"VBD"	"VB"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"boston"	"person"	"wind_up"	"a"	"performance"	"of"	"a_new_way_to_pay_old_debts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"live"	"by"	"with"	"musician"	"with_live"	"live_by"	"by_musician"	"past_with_live"	"with_live_by"	"live_by_musician"	"by_musician_of"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"script"	"big"	"problem"	"be"	"how"	"to"	"picture"	"and"	"music"	"of"	"the"	"past"	"with"	"live"	"performance"	"by"	"musician"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
