"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:41:13::"	"council"	"to"	"the"	"accept"	"the_council"	"council_to"	"to_accept"	"after_the_council"	"the_council_to"	"council_to_accept"	"to_accept_them"	"IN"	"DT"	"NN"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"william_a._martinelli"	"chairman"	"of"	"the"	"citizens"	"group"	"of"	"johnston"	"transfer"	"the"	"petitions"	"his"	"left_hand"	"to"	"his"	"right_hand"	"after"	"the"	"council"	"vote"	"to"	"accept"	"them"	"at"	"the"	"suggestion"	"of"	"council_president_raymond_fortin_sr."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"thursday"	"to"	"election"	"decertify"	"election_thursday"	"thursday_to"	"to_decertify"	"board_election_thursday"	"election_thursday_to"	"thursday_to_decertify"	"to_decertify_local"	"NNP"	"NN"	"NNP"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"employes"	"of"	"montgomery_ward"	"co."	"at"	"the"	"dalles"	"a"	"national_labor"	"relations"	"board"	"election"	"thursday"	"vote"	"to"	"decertify"	"local"	"retail"	"clerks"	"international_association"	"afl"	"cio"	"as"	"their"	"collective_bargaining"	"agent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"eight"	"against"	"voters"	"the"	"voters_eight"	"eight_against"	"against_the"	"eligible_voters_eight"	"voters_eight_against"	"eight_against_the"	"against_the_union"	"JJ"	"NNS"	"CD"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nlrb"	"say"	"that"	"potentially"	"eligible"	"voters"	"eight"	"vote"	"against"	"the"	"union"	"two"	"vote"	"for"	"it"	"and"	"one"	"vote"	"was"	"challenge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"two"	"for"	","	"it"	",_two"	"two_for"	"for_it"	"union_,_two"	",_two_for"	"two_for_it"	"for_it_,"	"NN"	"ε"	"CD"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nlrb"	"say"	"that"	"of"	"potentially"	"eligible"	"eight"	"vote"	"against"	"the"	"union"	"two"	"vote"	"for"	"it"	"and"	"one"	"vote"	"was"	"challenge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:10::"	"so"	"by"	"when"	"51"	"when_so"	"so_by"	"by_51"	"at_any_time_when_so"	"when_so_by"	"so_by_51"	"by_51_per_cent"	"RB"	"WRB"	"RB"	"VB"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"and"	"federal"	"approval"	"to"	"walk_out"	"at_any_time"	"when"	"so"	"vote"	"by"	"per_cent"	"of"	"the"	"prisoners"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"also"	"$"	"senate"	"5.2"	"senate_also"	"also_$"	"$_5.2"	"the_senate_also"	"senate_also_$"	"also_$_5.2"	"$_5.2_billion"	"DT"	"NNP"	"RB"	"VB"	"ε"	"CD"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"also"	"vote"	"billion"	"to"	"finance"	"the"	"government"	"health"	"welfare"	"and"	"labor"	"activities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:10::"	"-"	"the"	"abstain"	"resolution"	"abstain_-"	"-_the"	"the_resolution"	"great_britain_abstain_-"	"abstain_-_the"	"-_the_resolution"	"the_resolution_which"	"NN"	"VB"	"ε"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"july_14"	"the"	"security_council"	"with"	"and"	"great_britain"	"abstain"	"vote"	"the"	"resolution"	"which"	"draw"	"the"	"u._n."	"into"	"the"	"congo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:10::"	"usually"	"with"	"who"	"the"	"who_usually"	"usually_with"	"with_the"	"members_who_usually"	"who_usually_with"	"usually_with_the"	"with_the_administration"	"NNS"	"WP"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"education"	"bill"	"appear"	"to"	"be"	"temporarily"	"stall"	"in"	"rules_committee"	"where"	"two"	"northern"	"democratic"	"members"	"who"	"usually"	"vote"	"with"	"the"	"administration"	"are"	"balk"	"because"	"of"	"the"	"religious"	"controversy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"to"	"on"	"willing"	"the"	"willing_to"	"to_on"	"on_the"	"not_willing_to"	"willing_to_on"	"to_on_the"	"on_the_public-school"	"RB"	"JJ"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._delaney"	"and"	"mr._o"	"neill"	"not"	"willing"	"to"	"vote"	"on"	"the"	"public-school"	"measure"	"until"	"the"	"defense"	"education"	"bill"	"clear"	"the"	"house_education"	"and"	"labor_committee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:13::"	"consistently"	"to"	"has"	"aid"	"has_consistently"	"consistently_to"	"to_aid"	"douglas_has_consistently"	"has_consistently_to"	"consistently_to_aid"	"to_aid_the"	"NNP"	"VBZ"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"douglas"	"consistently"	"vote"	"to"	"aid"	"the"	"people"	"who"	"kill"	"masaryk"	"and"	"against"	"principles"	"masaryk"	"die"	"to"	"uphold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
