"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"1:23:00::"	"of"	"%"	"ratio"	"to"	"ratio_of"	"of_%"	"%_to"	"the_ratio_of"	"ratio_of_%"	"of_%_to"	"%_to_the"	"DT"	"NN"	"IN"	"NN"	"ε"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"ratio"	"of"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	
"1:23:00::"	"divide"	"by"	"("	"the"	"(_divide"	"divide_by"	"by_the"	"u.s._(_divide"	"(_divide_by"	"divide_by_the"	"by_the_result"	"NN"	"ε"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"to"	"the"	"average"	"income"	"of"	"the"	"u.s."	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"to"	"%"	"ratio"	"as"	"ratio_to"	"to_%"	"%_as"	"same_ratio_to"	"ratio_to_%"	"to_%_as"	"%_as_the"	"JJ"	"NN"	"TO"	"NN"	"ε"	"IN"	"DT"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"0"	"0"	"0"	
"1:23:00::"	"less_than"	"%"	"share"	"nor"	"share_less_than"	"less_than_%"	"%_nor"	"federal_share_less_than"	"share_less_than_%"	"less_than_%_nor"	"%_nor_more_than"	"JJ"	"NN"	"RB"	"NN"	"ε"	"CC"	"RB"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"by"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"no"	"state"	"shall"	"a"	"federal"	"share"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"deduct"	"%"	"also"	"of"	"also_deduct"	"deduct_%"	"%_of"	"you_also_deduct"	"also_deduct_%"	"deduct_%_of"	"%_of_the"	"PRP"	"RB"	"VB"	"JJ"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"deduct"	"of"	"the"	"excess"	"of"	"net"	"long-term"	"capital_gain"	"over"	"net"	"short-term"	"capital_loss"	"in"	"determine"	"adjusted_gross_income"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"than"	"gram"	"less"	"of"	"less_than"	"than_gram"	"gram_of"	"not_less_than"	"less_than_gram"	"than_gram_of"	"gram_of_aureomycin"	"RB"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"calf"	"feed"	"less"	"than"	"gram"	"of"	"aureomycin"	"per"	"ton"	"complete"	"feed"	"as"	"an"	"aid"	"in"	"prevent"	"bacterial"	"diarrhea"	"and"	"foot_rot"	
"5:00:00:cardinal:00"	"than"	"gram"	"more"	"of"	"more_than"	"than_gram"	"gram_of"	"not_more_than"	"more_than_gram"	"than_gram_of"	"gram_of_aureomycin"	"RB"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"as"	"an"	"aid"	"in"	"reduce"	"loss"	"due_to"	"enterotoxemia"	"overeating"	"disease"	"feed"	"a"	"complete"	"ration"	"contain"	"not"	"less"	"than"	"not"	"more"	"than"	"gram"	"of"	"aureomycin"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"about"	"hour"	"for"	"with"	"for_about"	"about_hour"	"hour_with"	"illuminate_for_about"	"for_about_hour"	"about_hour_with"	"hour_with_a"	"VB"	"IN"	"RB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"liter"	"quantity"	"of"	"mallinckrodt"	"low"	"sulfur"	"reagent"	"grade"	"carbon_tetrachloride"	"saturate"	"with"	"f"	"and"	"f"	"and"	"illuminate"	"about"	"hour"	"with"	"a"	"watt"	"tungsten"	"lamp"	"at"	"a"	"distance"	"of"	"a_few"	"inch"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"$"	"million"	"of"	"worth"	"of_$"	"$_million"	"million_worth"	"issuance_of_$"	"of_$_million"	"$_million_worth"	"million_worth_of"	"NN"	"IN"	"ε"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"open"	"his"	"race"	"for"	"governor"	"in"	"with"	"a"	"in"	"the"	"legislature"	"against"	"the"	"issuance"	"of"	"million"	"worth"	"of"	"additional"	"rural"	"road"	"bond"	"propose"	"by"	"then"	"person"	
"5:00:00:cardinal:00"	"with"	"-"	"twice"	"100"	"twice_with"	"with_-"	"-_100"	"absorb_twice_with"	"twice_with_-"	"with_-_100"	"-_100_mg"	"VB"	"RB"	"IN"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"first"	"few"	"experiment"	"f"	"was"	"dowex-2-chloride"	"twice"	"and"	"absorb"	"twice"	"with"	"mg"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
