"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"5:00:00:cardinal:00"	"and"	"lens"	"camera"	"make"	"camera_and"	"and_lens"	"lens_make"	"three_camera_and"	"camera_and_lens"	"and_lens_make"	"lens_make_him"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"be"	"person"	"of"	"the"	"group"	"whose"	"three"	"camera"	"and"	"eight"	"lens"	"make"	"him"	"look"	"as"	"formidable"	"as"	"any"	"fighting"	"man"	"we"	"meet"	"person"	"our"	"interpreter"	"and"	"myself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"take"	"ship"	"person"	"and"	"person_take"	"take_ship"	"ship_and"	"∅_person_take"	"person_take_ship"	"take_ship_and"	"ship_and_go"	"ε"	"NNP"	"VB"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take"	"eight"	"ship"	"and"	"go"	"south"	"across"	"the"	"location"	"and"	"along"	"the"	"north"	"coast"	"of"	"location"	"to"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"be"	"or"	"who"	"ten"	"who_be"	"be_or"	"or_ten"	",_who_be"	"who_be_or"	"be_or_ten"	"or_ten_year"	"ε"	"WP"	"VB"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"keep"	"his"	"smile"	"fixed"	"but"	"some"	"small"	"inner"	"disturbance"	"was"	"him"	"as"	"he"	"think"	"again"	"about"	"person"	"who"	"be"	"eight"	"or"	"ten"	"year"	"old"	"than"	"the"	"girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"be"	";"	"person"	"and"	"person_be"	"be_;"	";_and"	"when_person_be"	"person_be_;"	"be_;_and"	";_and_the"	"WRB"	"NNP"	"VB"	"JJ"	"ε"	"CC"	"DT"	"father"	"and"	"mother"	"and"	"each_other"	"say"	"person"	"on"	"the"	"first"	"page"	"of"	"person"	"little_women"	"and"	"i"	"do"	"think"	"that"	"family"	"be"	"the"	"most"	"beautiful"	"thing"	"in"	"all"	"the"	"world"	"burst_out"	"person"	"some"	"five_hundred"	"page"	"later"	"in"	"that"	"popular"	"story"	"of"	"the"	"person"	"family"	"which"	"had"	"first"	"appear"	"when"	"person"	"be"	"eight"	"the"	"person"	"family"	"as"	"it"	"develop"	"bear"	"a"	"striking"	"resemblance"	"to"	"the"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"first"	"of"	"the"	"these"	"the_first"	"first_of"	"of_these"	"∅_the_first"	"the_first_of"	"first_of_these"	"of_these_eighteen"	"ε"	"DT"	"JJ"	"JJ"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"eight"	"of"	"these"	"eighteen"	"statement"	"which"	"receive"	"at_least"	"one-half"	"of"	"the"	"vote"	"were"	"duplicate"	"to"	"form"	"an"	"analysis"	"checklist"	"for"	"the"	"particular"	"manager"	"and"	"when"	"this"	"particular"	"manager"	"roleplay"	"in"	"situation"	"the"	"member"	"check"	"any"	"item"	"that"	"appear"	
"5:00:00:cardinal:00"	","	","	"past"	"ten"	"past_,"	",_,"	",_ten"	"the_past_,"	"past_,_,"	",_,_ten"	",_ten_,"	"RB"	"NN"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"universal"	"list"	"as"	"his"	"weapon"	"person"	"has"	"extend"	"march"	"of"	"conquest"	"farther"	"and"	"farther"	"into"	"the"	"past"	"eight"	"ten"	"twelve"	"millennium"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"mouse"	"litter"	"from"	"litter_of"	"of_mouse"	"mouse_from"	"in_litter_of"	"litter_of_mouse"	"of_mouse_from"	"mouse_from_similar"	"IN"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"of"	"eight"	"mouse"	"from"	"similar"	"parent"	"the"	"number"	"of"	"mouse"	"with"	"straight"	"instead"	"of"	"wavy"	"hair"	"be"	"an"	"integer"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"("	"litter"	"*"	"litter_of"	"of_("	"(_*"	"to_litter_of"	"litter_of_("	"of_(_*"	"(_*_*"	"TO"	"NN"	"IN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"marksman"	"we"	"study"	"set"	"of"	"five"	"shot"	"f"	"for"	"the"	"we"	"restrict"	"attention"	"to"	"litter"	"of"	"eight"	"f"	"and"	"for"	"the"	"ace"	"we"	"toss"	"three"	"dice"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"have"	"man"	"champion"	"hit"	"champion_have"	"have_man"	"man_hit"	"the_champion_have"	"champion_have_man"	"have_man_hit"	"man_hit_over"	"DT"	"NN"	"VB"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"the"	"group"	"bat"	"quiet_down"	"a_bit"	"in"	"over"	"the"	"weekend"	"the"	"champion"	"have"	"eight"	"man"	"hit"	"over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"their"	"hit"	"of"	"for"	"of_their"	"their_hit"	"hit_for"	"three_of_their"	"of_their_hit"	"their_hit_for"	"hit_for_two"	"JJ"	"IN"	"PRP$"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"work_on"	"a"	"when"	"group"	"bunch"	"three"	"of"	"their"	"eight"	"hit"	"for"	"two"	"run"	"in"	"the"	"sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
