"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"1:04:00::"	"his"	","	"army"	"he"	"army_his"	"his_,"	",_he"	"the_army_his"	"army_his_,"	"his_,_he"	",_he_want"	"DT"	"NN"	"PRP$"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"been"	"commission"	"in"	"the"	"group"	"and"	"was"	"serve"	"as"	"a"	"personnel"	"officer"	"for"	"the"	"group"	"when"	"he"	"that"	"if"	"he"	"was"	"going_to"	"make"	"the"	"army"	"his"	"career"	"he"	"want"	"to"	"be"	"in"	"the"	"fighting"	"part"	"of"	"it"	
"1:04:01::"	"distinguished"	"in"	"from"	"american"	"from_distinguished"	"distinguished_in"	"in_american"	"retirement_from_distinguished"	"from_distinguished_in"	"distinguished_in_american"	"in_american_journalism"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"should_like"	"at"	"this"	"time"	"person"	"to"	"pay"	"warm"	"tribute"	"to"	"and"	"person"	"on"	"the"	"occasion"	"of"	"their"	"retirement"	"from"	"distinguished"	"career"	"in"	"american"	"journalism"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"promising"	"for"	"a"	"marriage"	"a_promising"	"promising_for"	"for_marriage"	"sacrifice_a_promising"	"a_promising_for"	"promising_for_marriage"	"for_marriage_."	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"be"	"likely"	"to"	"be"	"young"	"sophisticated"	"smart_as_a_whip"	"a"	"girl"	"who"	"has"	"sacrifice"	"a"	"promising"	"career"	"for"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"that"	"bound"	"suggest"	"husband"	"suggest_that"	"that_bound"	"bound_husband"	",_suggest_that"	"suggest_that_bound"	"that_bound_husband"	"bound_husband_often"	"ε"	"VB"	"IN"	"NN"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"psychologist"	"in_fact"	"that"	"career"	"bound"	"husband"	"often"	"be"	"more"	"to"	"blame"	"for"	"topsy-turvy"	"marriage"	"than"	"their"	"wife"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"write"	"."	"song"	"∅"	"song_write"	"write_."	"._∅"	"'s_song_write"	"song_write_."	"write_._∅"	"._∅_∅"	"POS"	"NN"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"person"	"person"	"association"	"bring"	"him"	"into"	"contact"	"with"	"person"	"whose"	"snowball"	"person"	"relyric"	"as"	"lazybones"	"in"	"which"	"form"	"it"	"become"	"a"	"hit"	"and"	"mark"	"the"	"real"	"beginning"	"of"	"person"	"song"	"write"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"my"	"?"	"wreck"	"∅"	"wreck_my"	"my_?"	"?_∅"	"to_wreck_my"	"wreck_my_?"	"my_?_∅"	"?_∅_∅"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dammit"	"person"	"are"	"you"	"try"	"wreck"	"my"	"career"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"professional"	"in_charge"	"his"	"of"	"his_professional"	"professional_in_charge"	"in_charge_of"	"begin_his_professional"	"his_professional_in_charge"	"professional_in_charge_of"	"in_charge_of_an"	"VB"	"PRP$"	"JJ"	"NN"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"century"	"open"	"person"	"begin"	"his"	"professional"	"career"	"in_charge"	"of"	"an"	"apothecary"	"shop"	"in"	"copenhagen"	"and"	"as"	"lecturer"	"at"	"the"	"university"	"0"	"0"	
"1:04:01::"	"academic"	"with"	"his"	"the"	"his_academic"	"academic_with"	"with_the"	"assume_his_academic"	"his_academic_with"	"academic_with_the"	"with_the_same"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"his"	"academic"	"career"	"with"	"the"	"same"	"intensity"	"and"	"thoroughness"	"that"	"had"	"mark"	"every"	"step"	"in"	"his"	"rise"	"from"	"boyhood"	"0"	
"1:04:00::"	"college"	","	"his"	"person"	"his_college"	"college_,"	",_person"	"during_his_college"	"his_college_,"	"college_,_person"	",_person_be"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"college"	"career"	"person"	"be"	"captain"	"of"	"his"	"basketball_team"	"and"	"be"	"a"	"football"	"letterman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"in"	"which"	"period"	","	"period_in"	"in_which"	"which_,"	"any_period_in"	"period_in_which"	"in_which_,"	"which_,_to"	"DT"	"NN"	"IN"	"NN"	"WDT"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"top"	"talent"	"of"	"the"	"time"	"person"	"and"	"person"	"have"	"hit"	"the"	"ball"	"hard"	"and"	"more"	"successfully"	"this"	"early"	"season"	"than"	"at"	"any"	"period"	"in"	"career"	"which"	"to"	"be"	"frank"	"about"	"it"	"never"	"have"	"quite"	"reach"	"expectation"	
